"","Tm","R/G","Outs","RC","RC/G","AIR","BAbip","BA","lgBA","OBP","lgOBP","SLG","lgSLG","OPS","lgOPS","OPS+","OWn%","BtRuns","BtWins","TotA","SecA","ISO","PwrSpd","Year"
"75","Los Angeles Dodgers","4.40","4378","737","4.5","100",".291",".264",".256",".320",".329",".409",".408",".729",".736","98",".471","-15.4","-1.7",".668",".233",".146","118.6",2002
"76","Milwaukee Brewers","3.87","4353","688","4.2","105",".294",".253",".264",".320",".337",".390",".419",".711",".756","88",".443","-96.4","-9.5",".651",".238",".137","112.2",2002
"77","Minnesota Twins","4.77","4333","804","5.0","105",".309",".272",".264",".332",".332",".437",".425",".769",".757","103",".502","22.5","2.0",".717",".253",".165","107.3",2002
"78","Montreal Expos","4.54","4384","797","4.9","110",".298",".261",".269",".334",".344",".418",".428",".752",".772","95",".506","-47.4","-4.8",".715",".271",".157","136.5",2002
"79","New York Mets","4.29","4376","709","4.3","104",".289",".256",".261",".322",".334",".395",".415",".717",".750","92",".454","-70.8","-7.0",".657",".235",".139","112.7",2002
"80","New York Yankees","5.57","4313","926","5.7","105",".310",".275",".264",".354",".332",".455",".425",".809",".757","114",".568","120.5","11.2",".791",".305",".180","138.1",2002
"81","Oakland Athletics","4.94","4312","831","5.1","104",".284",".261",".262",".339",".329",".432",".421",".771",".750","106",".519","48.2","4.5",".734",".285",".171","75.1",2002
"82","Philadelphia Phillies","4.41","4373","827","5.1","102",".294",".259",".259",".339",".332",".422",".412",".761",".743","105",".525","50.2","4.6",".733",".290",".163","127.6",2002
"83","Pittsburgh Pirates","3.98","4285","694","4.3","109",".281",".244",".268",".319",".342",".381",".427",".700",".769","82",".454","-141.5","-14.0",".653",".244",".137","107.1",2002
"84","San Diego Padres","4.09","4384","705","4.3","98",".288",".253",".254",".321",".326",".381",".404",".702",".729","93",".451","-41.1","-4.2",".640",".233",".129","93.3",2002
"85","Seattle Mariners","5.02","4332","847","5.2","103",".307",".275",".261",".350",".328",".419",".419",".769",".747","107",".526","70.8","6.6",".747",".271",".144","144.1",2002
"86","San Francisco Giants","4.83","4309","891","5.5","103",".289",".267",".260",".344",".333",".442",".413",".786",".746","110",".565","90.8","8.1",".760",".297",".175","107.7",2002
"87","St. Louis Cardinals","4.86","4327","816","5.1","105",".292",".268",".264",".338",".337",".425",".419",".763",".756","102",".523","14.3","1.2",".723",".263",".157","115.3",2002
"88","Tampa Bay Devil Rays","4.18","4427","698","4.2","103",".293",".253",".261",".314",".328",".390",".420",".704",".747","89",".428","-91.3","-8.8",".644",".228",".137","115.5",2002
"89","Texas Rangers","5.20","4369","883","5.4","110",".292",".269",".271",".338",".339",".455",".436",".794",".776","104",".541","26.5","2.3",".758",".290",".187","97.7",2002
"90","Toronto Blue Jays","5.02","4346","808","5.0","109",".295",".261",".269",".327",".337",".430",".432",".757",".769","96",".503","-35.1","-3.5",".713",".272",".169","102.9",2002
"91","Anaheim Angels","4.54","4300","759","4.7","105",".291",".268",".265",".330",".331",".413",".425",".743",".756","97",".471","-22.2","-2.2",".697",".243",".144","138.7",2003
"92","Arizona Diamondbacks","4.43","4382","797","4.9","116",".295",".263",".278",".330",".351",".417",".446",".746",".797","87",".494","-117.0","-11.4",".697",".255",".153","101.3",2003
"93","Atlanta Braves","5.60","4322","978","6.1","110",".302",".284",".270",".349",".342",".475",".433",".824",".775","112",".593","94.7","8.7",".798",".296",".192","105.5",2003
"94","Baltimore Orioles","4.56","4399","754","4.6","106",".293",".268",".267",".323",".333",".405",".427",".729",".759","92",".457","-67.6","-6.5",".666",".223",".138","112.3",2003
"95","Boston Red Sox","5.93","4351","1043","6.4","111",".307",".289",".274",".360",".341",".491",".438",".851",".778","118",".609","155.0","14.3",".843",".319",".202","128.5",2003
"96","Chicago Cubs","4.47","4380","750","4.6","110",".297",".259",".270",".323",".342",".416",".433",".739",".775","91",".467","-82.7","-8.0",".685",".254",".157","102.5",2003
"97","Chicago White Sox","4.88","4287","821","5.1","109",".279",".263",".270",".331",".337",".446",".432",".777",".769","102",".508","7.0","0.5",".738",".286",".182","114.1",2003
"98","Cincinnati Reds","4.28","4394","737","4.5","105",".289",".245",".263",".318",".334",".395",".421",".713",".755","89",".457","-88.3","-8.7",".666",".254",".150","111.1",2003
"99","Cleveland Indians","4.31","4435","709","4.3","103",".286",".254",".263",".316",".329",".401",".421",".717",".749","92",".426","-65.5","-6.3",".655",".236",".148","111.4",2003
"100","Colorado Rockies","5.27","4316","872","5.4","122",".302",".267",".285",".344",".360",".445",".458",".790",".818","93",".542","-68.4","-6.8",".756",".296",".179","95.6",2003
"101","Detroit Tigers","3.65","4445","630","3.8","101",".272",".240",".259",".300",".324",".375",".415",".675",".739","83",".373","-131.8","-12.6",".609",".222",".135","119.5",2003
"102","Florida Marlins","4.64","4342","796","4.9","108",".296",".266",".266",".333",".338",".421",".427",".754",".765","97",".498","-25.1","-2.6",".719",".263",".155","153.4",2003
"103","Houston Astros","4.97","4371","845","5.2","112",".289",".263",".272",".336",".344",".431",".436",".767",".781","96",".522","-36.0","-3.7",".728",".275",".169","98.1",2003
"104","Kansas City Royals","5.16","4332","821","5.1","113",".301",".274",".276",".336",".343",".427",".441",".763",".784","95",".503","-49.5","-4.8",".724",".253",".153","137.9",2003
"105","Los Angeles Dodgers","3.54","4386","629","3.8","104",".275",".243",".261",".303",".332",".368",".419",".671",".751","79",".388","-166.4","-16.0",".599",".208",".125","97.3",2003
"106","Milwaukee Brewers","4.41","4424","792","4.8","108",".294",".256",".266",".329",".338",".419",".427",".748",".765","96",".487","-39.2","-4.0",".704",".272",".163","131.6",2003
"107","Minnesota Twins","4.94","4365","839","5.1","108",".312",".277",".269",".341",".335",".431",".430",".772",".766","102",".51","17.4","1.5",".728",".254",".154","117.0",2003
"108","Montreal Expos","4.39","4327","739","4.6","114",".290",".258",".274",".326",".347",".401",".440",".727",".787","85",".466","-129.4","-12.6",".675",".250",".143","118.0",2003
"109","New York Mets","3.99","4314","652","4.0","107",".282",".247",".265",".314",".336",".374",".425",".688",".761","81",".411","-144.7","-14.0",".623",".227",".128","89.5",2003
"110","New York Yankees","5.38","4334","925","5.7","105",".295",".271",".265",".356",".331",".453",".425",".810",".756","114",".557","130.0","12.0",".796",".316",".182","137.4",2003
"111","Oakland Athletics","4.74","4306","773","4.8","106",".273",".254",".267",".327",".333",".417",".427",".743",".759","96",".478","-28.1","-2.8",".698",".270",".162","75.4",2003
"112","Philadelphia Phillies","4.88","4328","840","5.2","103",".301",".261",".260",".343",".331",".419",".417",".762",".748","104",".524","52.1","4.7",".731",".283",".158","100.4",2003
"113","Pittsburgh Pirates","4.65","4355","834","5.1","111",".302",".267",".271",".338",".343",".420",".435",".758",".778","95",".518","-45.2","-4.5",".719",".257",".153","112.6",2003
"114","San Diego Padres","4.19","4362","734","4.5","101",".301",".261",".258",".333",".328",".388",".413",".721",".741","96",".459","-16.7","-1.7",".666",".236",".127","95.4",2003
"115","Seattle Mariners","4.91","4300","811","5.0","102",".306",".271",".262",".344",".327",".410",".419",".754",".746","103",".501","40.8","3.7",".718",".257",".139","121.6",2003
"116","San Francisco Giants","4.69","4298","825","5.1","108",".291",".264",".267",".338",".339",".425",".429",".763",".768","99",".519","-8.8","-1.3",".718",".273",".161","81.9",2003
"117","St. Louis Cardinals","5.41","4401","947","5.8","107",".302",".279",".265",".350",".336",".454",".425",".804",".761","111",".571","98.6","9.0",".777",".286",".175","115.6",2003
"118","Tampa Bay Devil Rays","4.41","4385","748","4.6","102",".301",".265",".262",".320",".327",".404",".419",".724",".746","94",".455","-42.7","-4.2",".675",".231",".139","139.5",2003
"119","Texas Rangers","5.10","4364","872","5.3","116",".287",".266",".280",".330",".348",".454",".448",".784",".796","96",".527","-52.1","-5.1",".744",".281",".188","102.2",2003
"120","Toronto Blue Jays","5.52","4319","910","5.6","110",".313",".279",".272",".349",".339",".455",".436",".803",".775","107",".552","62.7","5.7",".763",".274",".175","61.9",2003
"121","Anaheim Angels","5.16","4338","852","5.3","107",".312",".282",".267",".341",".334",".429",".428",".770",".763","102",".507","17.3","1.4",".731",".243",".147","151.9",2004
"122","Arizona Diamondbacks","3.80","4405","688","4.2","115",".286",".253",".275",".310",".348",".393",".446",".703",".794","77",".417","-208.7","-20.0",".628",".223",".140","76.1",2004
"123","Atlanta Braves","4.96","4345","870","5.4","112",".309",".270",".271",".343",".343",".434",".439",".777",".781","99",".53","-8.7","-1.1",".745",".279",".164","116.0",2004
"124","Baltimore Orioles","5.20","4397","882","5.4","108",".309",".281",".268",".345",".336",".432",".430",".776",".766","103",".516","33.5","2.9",".737",".253",".150","126.4",2004
"125","Boston Red Sox","5.86","4327","1007","6.2","115",".319",".282",".278",".360",".346",".472",".445",".832",".792","110",".583","92.0","8.3",".821",".312",".190","104.1",2004
"126","Chicago Cubs","4.87","4394","868","5.3","113",".292",".268",".272",".328",".344",".458",".441",".786",".785","99",".524","-19.4","-2.1",".743",".284",".190","103.1",2004
"127","Chicago White Sox","5.34","4323","847","5.3","111",".288",".268",".273",".333",".341",".457",".438",".790",".779","102",".506","5.5","0.3",".750",".284",".189","118.0",2004
"128","Cincinnati Reds","4.63","4368","806","4.9","108",".295",".250",".266",".331",".337",".418",".431",".749",".768","95",".492","-39.0","-3.9",".714",".286",".168","110.2",2004
