"","Tm","R/G","Outs","RC","RC/G","AIR","BAbip","BA","lgBA","OBP","lgOBP","SLG","lgSLG","OPS","lgOPS","OPS+","OWn%","BtRuns","BtWins","TotA","SecA","ISO","PwrSpd","Year"
"322","Pittsburgh Pirates","3.62","4329","639","3.9","101",".288",".242",".260",".304",".329",".373",".409",".678",".738","84",".432","-128.5","-12.9",".612",".227",".131","102.9",2010
"323","San Diego Padres","4.10","4377","672","4.1","94",".290",".246",".251",".317",".320",".371",".396",".689",".716","93",".45","-37.2","-3.8",".642",".238",".125","127.9",2010
"324","Seattle Mariners","3.17","4366","570","3.5","94",".282",".236",".252",".298",".319",".339",".395",".637",".713","79",".369","-144.0","-14.2",".578",".208",".104","118.0",2010
"325","San Francisco Giants","4.30","4384","729","4.4","100",".293",".257",".258",".321",".328",".408",".407",".729",".735","98",".486","-16.0","-1.8",".664",".244",".151","82.1",2010
"326","St. Louis Cardinals","4.54","4357","773","4.7","100",".296",".263",".258",".332",".328",".402",".407",".733",".735","100",".516","3.5","0.0",".681",".244",".139","103.5",2010
"327","Tampa Bay Rays","4.95","4331","785","4.8","96",".293",".247",".255",".333",".321",".403",".399",".736",".720","105",".516","53.0","5.1",".730",".303",".156","165.8",2010
"328","Texas Rangers","4.86","4363","828","5.1","107",".307",".276",".271",".338",".340",".419",".424",".757",".763","98",".537","-18.0","-2.1",".714",".247",".143","139.8",2010
"329","Toronto Blue Jays","4.66","4315","788","4.9","102",".269",".248",".263",".312",".331",".454",".411",".766",".742","105",".519","21.8","2.0",".722",".299",".206","94.6",2010
"330","Washington Nationals","4.04","4347","709","4.4","101",".294",".250",".261",".318",".331",".390",".411",".708",".741","91",".477","-69.9","-7.1",".659",".246",".140","126.6",2010
"331","Arizona Diamondbacks","4.51","4284","759","4.8","101",".294",".250",".262",".322",".330",".413",".408",".736",".739","99",".533","-14.9","-1.7",".706",".275",".163","150.0",2011
"332","Atlanta Braves","3.96","4445","677","4.1","99",".284",".243",".260",".308",".328",".387",".405",".695",".733","90",".464","-88.3","-9.1",".633",".241",".144","106.6",2011
"333","Baltimore Orioles","4.37","4397","727","4.4","100",".288",".257",".261",".316",".326",".413",".412",".729",".738","97",".481","-28.8","-3.0",".668",".247",".156","113.8",2011
"334","Boston Red Sox","5.40","4360","935","5.8","103",".314",".280",".264",".349",".330",".461",".418",".810",".747","116",".599","132.6","12.8",".784",".292",".181","135.8",2011
"335","Chicago Cubs","4.04","4367","718","4.4","99",".301",".256",".260",".314",".328",".401",".405",".715",".733","95",".499","-48.5","-5.1",".650",".229",".144","94.1",2011
"336","Chicago White Sox","4.04","4391","692","4.2","104",".280",".252",".265",".319",".331",".388",".419",".706",".750","89",".46","-90.9","-9.1",".646",".227",".136","106.2",2011
"337","Cincinnati Reds","4.54","4440","785","4.8","102",".297",".256",".264",".326",".332",".408",".410",".734",".742","98",".532","-23.7","-2.6",".690",".255",".152","126.8",2011
"338","Cleveland Indians","4.35","4356","709","4.4","94",".297",".250",".251",".317",".315",".396",".398",".714",".713","100",".474","10.6","0.9",".661",".244",".146","112.8",2011
"339","Colorado Rockies","4.54","4388","787","4.8","113",".300",".258",".280",".329",".350",".410",".435",".739",".785","88",".538","-101.1","-10.4",".703",".266",".152","136.9",2011
"340","Detroit Tigers","4.86","4293","836","5.2","100",".318",".277",".261",".340",".326",".434",".412",".773",".738","109",".556","74.8","7.1",".722",".256",".157","76.0",2011
"341","Florida Marlins","3.86","4433","712","4.3","99",".291",".247",".260",".318",".328",".388",".405",".706",".733","93",".488","-56.4","-5.8",".657",".250",".142","116.0",2011
"342","Houston Astros","3.80","4403","677","4.1","97",".308",".258",".257",".311",".324",".374",".400",".684",".723","89",".468","-82.3","-8.4",".618",".203",".116","105.3",2011
"343","Kansas City Royals","4.51","4403","783","4.8","98",".311",".275",".257",".329",".322",".415",".407",".744",".729","104",".515","33.0","3.1",".696",".235",".140","140.0",2011
"344","Los Angeles Angels of Anaheim","4.12","4379","692","4.2","92",".288",".253",".249",".313",".313",".402",".394",".714",".706","102",".461","19.5","1.8",".662",".244",".149","144.3",2011
"345","Los Angeles Dodgers","4.00","4296","699","4.4","95",".299",".257",".254",".322",".321",".375",".396",".697",".717","95",".494","-32.7","-3.6",".648",".226",".118","121.3",2011
"346","Milwaukee Brewers","4.45","4299","794","5.0","101",".293",".261",".262",".325",".330",".425",".408",".750",".739","102",".552","10.5","0.7",".706",".264",".164","124.7",2011
"347","Minnesota Twins","3.82","4340","618","3.8","98",".288",".247",".257",".306",".322",".360",".407",".666",".729","84",".414","-127.0","-12.7",".594",".202",".113","97.2",2011
"348","New York Mets","4.43","4383","782","4.8","95",".307",".264",".254",".335",".321",".391",".396",".725",".717","103",".536","35.7","3.4",".689",".246",".127","118.0",2011
"349","New York Yankees","5.35","4345","863","5.3","104",".292",".263",".265",".343",".331",".444",".419",".788",".750","110",".565","77.4","7.5",".775",".313",".181","176.9",2011
"350","Oakland Athletics","3.98","4375","648","4.0","97",".283",".244",".256",".311",".321",".369",".405",".680",".726","88",".432","-82.4","-8.2",".627",".232",".125","115.5",2011
"351","Philadelphia Phillies","4.40","4405","750","4.6","99",".283",".253",".260",".323",".328",".395",".405",".717",".733","96",".515","-35.2","-3.7",".672",".252",".142","118.0",2011
"352","Pittsburgh Pirates","3.77","4390","640","3.9","94",".301",".244",".253",".309",".320",".368",".394",".676",".714","90",".444","-69.6","-7.2",".614",".224",".123","107.5",2011
"353","San Diego Padres","3.66","4384","621","3.8","92",".294",".237",".251",".305",".317",".349",".391",".653",".708","85",".431","-96.5","-9.9",".609",".227",".112","118.5",2011
"354","Seattle Mariners","3.43","4359","575","3.5","90",".283",".233",".246",".292",".310",".348",".390",".640",".700","84",".38","-106.7","-10.6",".580",".211",".115","116.5",2011
"355","San Francisco Giants","3.52","4432","626","3.8","91",".281",".242",".250",".303",".316",".368",".389",".671",".704","91",".43","-59.6","-6.2",".602",".214",".126","99.9",2011
"356","St. Louis Cardinals","4.70","4351","808","5.0","97",".305",".273",".257",".341",".324",".425",".400",".766",".723","112",".554","93.5","9.1",".708",".253",".151","84.3",2011
"357","Tampa Bay Rays","4.36","4347","740","4.6","93",".281",".244",".250",".322",".314",".402",".396",".724",".710","104",".495","41.9","3.9",".698",".281",".159","163.1",2011
"358","Texas Rangers","5.28","4328","894","5.5","106",".304",".283",".268",".340",".335",".460",".424",".800",".759","110",".582","71.8","6.9",".769",".279",".177","170.1",2011
"359","Toronto Blue Jays","4.59","4413","756","4.6","102",".283",".249",".263",".317",".328",".413",".416",".730",".744","96",".498","-38.9","-4.1",".692",".273",".164","153.7",2011
"360","Washington Nationals","3.88","4377","673","4.1","98",".292",".242",".259",".309",".327",".383",".403",".691",".730","89",".468","-84.9","-8.7",".639",".239",".140","125.6",2011
"361","Arizona Diamondbacks","4.53","4311","777","4.8","103",".307",".259",".264",".328",".330",".418",".419",".746",".750","99",".531","-7.4","-1.0",".703",".265",".159","119.0",2012
"362","Atlanta Braves","4.32","4323","718","4.4","103",".296",".247",".263",".320",".329",".389",".417",".709",".747","90",".493","-72.4","-7.4",".666",".259",".142","120.4",2012
"363","Baltimore Orioles","4.40","4434","716","4.3","100",".286",".247",".258",".311",".323",".417",".416",".728",".739","97",".474","-32.2","-3.4",".666",".261",".170","91.3",2012
"364","Boston Red Sox","4.53","4370","760","4.7","102",".301",".260",".260",".315",".326",".415",".419",".730",".745","96",".508","-34.0","-3.6",".676",".243",".155","122.2",2012
"365","Chicago Cubs","3.78","4350","631","3.9","102",".286",".240",".262",".302",".328",".378",".416",".680",".744","83",".432","-137.8","-14.0",".614",".230",".138","111.5",2012
"366","Chicago White Sox","4.62","4331","757","4.7","102",".289",".255",".260",".318",".326",".422",".419",".740",".745","98",".51","-22.1","-2.4",".695",".262",".167","143.7",2012
"367","Cincinnati Reds","4.13","4337","750","4.6","104",".296",".251",".266",".315",".332",".411",".421",".726",".753","93",".512","-64.0","-6.7",".678",".258",".159","115.6",2012
"368","Cleveland Indians","4.12","4381","696","4.3","94",".288",".251",".249",".324",".313",".381",".401",".705",".713","99",".466","5.3","0.4",".655",".243",".131","121.6",2012
"369","Colorado Rockies","4.68","4336","808","5.0","115",".321",".274",".280",".330",".348",".436",".443",".766",".791","93",".546","-63.9","-6.5",".715",".254",".163","124.8",2012
"370","Detroit Tigers","4.48","4263","786","4.9","103",".307",".268",".262",".335",".327",".422",".421",".757",".748","103",".534","19.9","1.6",".702",".254",".154","86.6",2012
"371","Houston Astros","3.60","4375","627","3.8","101",".288",".236",".261",".302",".326",".371",".414",".673",".740","82",".426","-141.4","-14.2",".614",".232",".135","122.2",2012
"372","Kansas City Royals","4.17","4379","719","4.4","100",".302",".265",".258",".317",".323",".400",".416",".716",".739","94",".481","-49.8","-5.1",".657",".224",".135","131.5",2012
"373","Los Angeles Angels of Anaheim","4.73","4277","809","5.1","94",".311",".274",".249",".332",".313",".433",".401",".764",".714","114",".546","110.8","10.7",".722",".258",".159","156.1",2012
"374","Los Angeles Dodgers","3.93","4372","663","4.0","97",".298",".252",".256",".317",".321",".374",".406",".690",".727","91",".452","-64.5","-6.6",".628",".221",".122","109.7",2012
"375","Miami Marlins","3.76","4365","686","4.2","103",".289",".244",".263",".308",".329",".382",".417",".690",".747","85",".468","-120.1","-12.3",".644",".247",".138","142.7",2012
"376","Milwaukee Brewers","4.79","4376","827","5.0","105",".299",".259",".267",".325",".333",".437",".423",".762",".756","101",".552","-1.5","-0.4",".736",".282",".177","177.3",2012
"377","Minnesota Twins","4.33","4389","721","4.4","97",".298",".260",".254",".325",".318",".390",".408",".715",".726","98",".481","-8.8","-1.1",".666",".238",".130","133.0",2012
"378","New York Mets","4.01","4343","682","4.2","97",".298",".249",".255",".316",".320",".386",".405",".701",".724","94",".468","-38.1","-4.0",".642",".237",".137","100.7",2012
"379","New York Yankees","4.96","4305","855","5.3","102",".293",".265",".260",".337",".326",".453",".419",".790",".745","112",".568","91.1","8.9",".763",".303",".188","134.8",2012
"380","Oakland Athletics","4.40","4402","726","4.4","94",".281",".238",".250",".310",".314",".404",".403",".714",".717","99",".483","-2.5","-0.4",".679",".282",".166","150.1",2012
"381","Philadelphia Phillies","4.22","4378","734","4.5","103",".290",".255",".263",".317",".329",".400",".417",".716",".747","92",".498","-68.5","-7.0",".667",".243",".144","133.8",2012
"382","Pittsburgh Pirates","4.02","4356","679","4.2","97",".291",".243",".255",".304",".320",".395",".405",".699",".724","93",".464","-56.9","-5.9",".637",".238",".152","102.1",2012
"383","San Diego Padres","4.02","4326","709","4.4","93",".297",".247",".250",".319",".314",".380",".397",".699",".711","97",".487","-3.6","-0.7",".664",".252",".133","135.9",2012
"384","Seattle Mariners","3.82","4406","617","3.8","92",".276",".234",".247",".296",".310",".369",".397",".665",".707","88",".409","-79.5","-8.0",".605",".232",".135","122.5",2012
"385","San Francisco Giants","4.43","4346","764","4.7","91",".315",".269",".248",".327",".312",".397",".393",".724",".704","106",".519","64.8","6.1",".672",".229",".128","110.0",2012
"386","St. Louis Cardinals","4.72","4386","826","5.0","99",".316",".271",".259",".338",".324",".421",".410",".759",".734","107",".551","59.7","5.7",".713",".254",".150","115.8",2012
"387","Tampa Bay Rays","4.30","4358","696","4.3","94",".284",".240",".250",".317",".314",".394",".403",".711",".717","99",".469","1.1","0.0",".675",".277",".155","151.8",2012
"388","Texas Rangers","4.99","4318","840","5.2","106",".306",".273",".266",".334",".332",".446",".428",".780",".760","105",".559","34.5","3.2",".738",".267",".173","125.1",2012
"389","Toronto Blue Jays","4.42","4369","713","4.4","100",".281",".245",".258",".309",".323",".407",".416",".716",".739","94",".478","-54.5","-5.6",".672",".262",".161","151.7",2012
"390","Washington Nationals","4.51","4378","793","4.8","102",".308",".261",".262",".322",".328",".428",".416",".750",".744","101",".533","3.6","0.2",".705",".264",".166","136.3",2012
"391","Arizona Diamondbacks","4.23","4502","724","4.3","98",".301",".259",".260",".323",".325",".391",".404",".715",".730","96",".502","-28.1","-3.1",".645",".228",".133","84.0",2013
"392","Atlanta Braves","4.25","4330","727","4.5","97",".300",".249",".259",".321",".324",".402",".402",".723",".726","99",".522","-8.8","-1.1",".672",".259",".153","94.6",2013
"393","Baltimore Orioles","4.60","4366","773","4.8","100",".288",".260",".260",".313",".325",".431",".411",".744",".736","101",".521","-1.2","-0.4",".688",".254",".171","115.1",2013
"394","Boston Red Sox","5.27","4315","912","5.7","100",".329",".277",".260",".349",".325",".446",".411",".795",".736","116",".601","136.0","13.3",".777",".290",".169","145.5",2013
"395","Chicago Cubs","3.72","4416","657","4.0","98",".275",".238",".260",".300",".325",".392",".404",".693",".730","89",".466","-87.1","-9.1",".627",".240",".154","92.2",2013
"396","Chicago White Sox","3.69","4411","639","3.9","100",".291",".249",".261",".302",".326",".378",".413",".680",".739","84",".43","-130.1","-13.0",".611",".214",".129","122.8",2013
"397","Cincinnati Reds","4.31","4424","738","4.5","97",".293",".249",".259",".327",".324",".391",".402",".718",".726","98",".519","-6.2","-1.0",".670",".254",".142","93.6",2013
"398","Cleveland Indians","4.60","4303","764","4.8","93",".300",".255",".251",".327",".314",".410",".396",".737",".711","107",".522","65.8","6.4",".704",".273",".155","138.9",2013
"399","Colorado Rockies","4.36","4331","785","4.9","111",".317",".270",".277",".323",".345",".418",".431",".741",".776","91",".556","-84.5","-8.9",".687",".239",".149","131.4",2013
"400","Detroit Tigers","4.91","4355","874","5.4","100",".320",".283",".261",".346",".326",".434",".413",".780",".739","111",".578","91.6","8.8",".725",".246",".151","58.4",2013
"401","Houston Astros","3.77","4405","619","3.8","96",".304",".240",".255",".299",".320",".375",".404",".674",".723","86",".416","-104.3","-10.5",".610",".223",".136","126.2",2013
"402","Kansas City Royals","4.00","4348","679","4.2","100",".300",".260",".260",".315",".325",".379",".411",".694",".736","89",".464","-89.0","-9.0",".637",".216",".119","129.3",2013
"403","Los Angeles Angels of Anaheim","4.52","4397","769","4.7","92",".307",".264",".250",".329",".313",".414",".395",".743",".708","110",".515","85.1","8.2",".691",".253",".150","109.3",2013
"404","Los Angeles Dodgers","4.01","4321","739","4.6","93",".308",".264",".253",".326",".318",".396",".394",".722",".711","103",".53","33.4","3.1",".663",".229",".133","99.7",2013
"405","Miami Marlins","3.17","4435","552","3.4","98",".280",".231",".260",".293",".325",".335",".404",".627",".730","73",".387","-210.7","-21.8",".549",".192",".104","85.7",2013
"406","Milwaukee Brewers","3.95","4371","700","4.3","99",".294",".252",".261",".311",".327",".398",".406",".708",".733","93",".5","-64.3","-6.8",".656",".236",".145","149.1",2013
"407","Minnesota Twins","3.79","4415","679","4.1","98",".298",".242",".258",".312",".322",".380",".407",".692",".730","90",".457","-74.0","-7.5",".632",".237",".138","77.4",2013
"408","New York Mets","3.82","4467","660","4.0","91",".291",".237",".251",".306",".315",".366",".390",".672",".705","91",".463","-60.4","-6.4",".619",".235",".129","121.5",2013
"409","New York Yankees","4.01","4352","658","4.1","97",".285",".242",".256",".307",".321",".376",".406",".683",".727","88",".449","-90.5","-9.2",".628",".234",".133","127.9",2013
"410","Oakland Athletics","4.73","4324","781","4.9","96",".289",".254",".254",".327",".318",".419",".402",".745",".720","107",".53","57.1","5.5",".706",".277",".165","105.9",2013
"411","Philadelphia Phillies","3.77","4349","651","4.0","97",".293",".248",".258",".306",".323",".384",".401",".690",".724","91",".469","-75.9","-7.9",".619",".220",".135","96.0",2013
"412","Pittsburgh Pirates","3.91","4393","708","4.3","92",".294",".245",".252",".313",".316",".396",".392",".709",".708","100",".503","3.9","0.1",".656",".246",".151","118.7",2013
"413","San Diego Padres","3.81","4387","672","4.1","89",".294",".245",".247",".308",".311",".378",".384",".686",".695","97",".48","-10.8","-1.3",".633",".233",".133","130.5",2013
"414","Seattle Mariners","3.85","4439","672","4.1","90",".279",".237",".247",".306",".310",".390",".391",".695",".701","98",".449","-9.3","-1.0",".633",".252",".152","77.7",2013
"415","San Francisco Giants","3.88","4371","702","4.3","91",".304",".260",".250",".320",".314",".381",".388",".702",".702","100",".501","13.0","1.1",".631",".213",".121","82.4",2013
"416","St. Louis Cardinals","4.83","4339","764","4.7","97",".314",".269",".259",".332",".324",".401",".402",".733",".726","102",".543","22.1","1.9",".665",".223",".133","66.2",2013
"417","Tampa Bay Rays","4.29","4374","754","4.6","95",".295",".257",".253",".329",".317",".408",".400",".737",".717","106",".509","53.5","5.2",".688",".264",".151","101.2",2013
"418","Texas Rangers","4.48","4377","757","4.7","100",".294",".262",".260",".323",".325",".412",".411",".735",".736","100",".51","-6.9","-0.8",".693",".251",".150","161.4",2013
"419","Toronto Blue Jays","4.40","4380","739","4.5","99",".284",".252",".259",".318",".324",".411",".409",".729",".733","99",".499","-15.1","-1.7",".680",".263",".158","139.5",2013
"420","Washington Nationals","4.05","4321","710","4.4","99",".292",".251",".261",".313",".327",".398",".406",".710",".733","94",".512","-54.3","-5.8",".653",".243",".146","113.8",2013
"421","Arizona Diamondbacks","3.80","4413","651","4.0","96",".293",".248",".259",".302",".323",".376",".399",".678",".722","88",".472","-101.3","-10.7",".605",".209",".127","99.5",2014
"422","Atlanta Braves","3.54","4386","630","3.9","93",".298",".241",".254",".305",".317",".360",".392",".665",".709","88",".46","-89.6","-9.5",".599",".217",".119","107.2",2014
"423","Baltimore Orioles","4.35","4365","742","4.6","95",".296",".256",".257",".311",".320",".422",".396",".734",".717","104",".526","15.6","1.4",".668",".242",".166","72.8",2014
"424","Boston Red Sox","3.91","4431","674","4.1","95",".297",".244",".258",".316",".322",".369",".398",".684",".720","91",".475","-64.0","-6.8",".622",".228",".124","83.3",2014
"425","Chicago Cubs","3.79","4425","661","4.0","96",".296",".239",".259",".300",".323",".385",".399",".684",".722","89",".478","-87.0","-9.3",".619",".231",".146","91.9",2014
"426","Chicago White Sox","4.07","4363","690","4.3","90",".306",".253",".250",".310",".313",".398",".386",".708",".699","102",".493","13.3","1.1",".643",".230",".146","109.8",2014
"427","Cincinnati Reds","3.67","4366","613","3.8","94",".284",".238",".256",".296",".320",".365",".396",".661",".716","85",".45","-113.4","-12.0",".601",".217",".127","126.3",2014
"428","Cleveland Indians","4.13","4417","714","4.3","95",".296",".253",".257",".317",".320",".389",".396",".706",".717","97",".503","-21.4","-2.4",".653",".240",".136","120.1",2014
"429","Colorado Rockies","4.66","4337","836","5.2","107",".326",".276",".274",".327",".340",".445",".422",".772",".762","102",".594","5.9","0.3",".716",".246",".169","116.7",2014
"430","Detroit Tigers","4.67","4336","797","4.9","93",".319",".277",".255",".331",".318",".426",".393",".757",".711","113",".562","94.7","9.4",".704",".240",".150","125.9",2014
"431","Houston Astros","3.88","4347","667","4.1","92",".298",".242",".254",".309",".316",".383",".391",".692",".708","96",".479","-34.1","-3.7",".643",".247",".141","139.6",2014
"432","Kansas City Royals","4.02","4336","664","4.1","95",".302",".263",".258",".314",".321",".376",".398",".690",".719","92",".478","-63.3","-6.5",".628",".203",".113","117.2",2014
"433","Los Angeles Angels of Anaheim","4.77","4419","760","4.6","88",".305",".259",".248",".322",".310",".406",".382",".728",".692","110",".531","81.5","8.1",".675",".242",".147","106.4",2014
"434","Los Angeles Dodgers","4.43","4343","788","4.9","91",".318",".265",".252",".333",".315",".406",".388",".738",".703","110",".567","83.3","8.3",".699",".249",".140","136.0",2014
"435","Miami Marlins","3.98","4413","683","4.2","94",".316",".253",".256",".317",".320",".378",".396",".694",".716","94",".494","-42.1","-4.6",".624",".222",".125","78.6",2014
"436","Milwaukee Brewers","4.01","4381","690","4.2","97",".293",".250",".260",".311",".324",".397",".401",".708",".725","95",".502","-41.5","-4.5",".647",".235",".147","121.4",2014
"437","Minnesota Twins","4.41","4357","730","4.5","94",".309",".254",".256",".324",".319",".389",".395",".713",".714","100",".52","6.3","0.5",".667",".244",".135","111.6",2014
"438","New York Mets","3.88","4415","651","4.0","89",".286",".239",".250",".308",".312",".364",".385",".673",".697","93",".472","-35.9","-3.9",".618",".232",".126","111.7",2014
"439","New York Yankees","3.91","4361","665","4.1","92",".282",".245",".254",".307",".316",".380",".391",".687",".708","94",".476","-46.0","-4.8",".632",".232",".135","127.1",2014
"440","Oakland Athletics","4.50","4391","706","4.3","91",".278",".244",".251",".320",".314",".381",".388",".700",".701","100",".501","6.6","0.5",".653",".254",".137","105.8",2014
"441","Philadelphia Phillies","3.82","4463","649","3.9","95",".292",".242",".258",".302",".321",".363",".397",".665",".719","85",".466","-114.1","-11.9",".605",".215",".121","116.5",2014
"442","Pittsburgh Pirates","4.21","4363","777","4.8","94",".307",".259",".255",".330",".319",".404",".394",".734",".713","106",".558","49.6","4.8",".688",".249",".145","124.8",2014
"443","San Diego Padres","3.30","4348","552","3.4","88",".277",".226",".247",".292",".309",".342",".381",".634",".691","84",".405","-101.7","-10.7",".567",".215",".115","99.2",2014
"444","Seattle Mariners","3.91","4345","623","3.9","88",".290",".244",".248",".300",".310",".376",".382",".676",".692","95",".448","-37.4","-4.0",".608",".214",".132","112.6",2014
"445","San Francisco Giants","4.10","4350","688","4.3","90",".304",".255",".251",".311",".313",".388",".387",".699",".700","100",".504","-3.9","-0.6",".627",".216",".133","78.6",2014
"446","St. Louis Cardinals","3.82","4330","655","4.1","94",".300",".253",".256",".320",".320",".369",".396",".689",".716","93",".484","-42.0","-4.5",".619",".208",".116","73.9",2014
"447","Tampa Bay Rays","3.78","4413","659","4.0","90",".287",".247",".250",".317",".312",".367",".386",".684",".698","96",".467","-15.3","-1.6",".621",".222",".120","81.9",2014
"448","Texas Rangers","3.93","4353","637","3.9","95",".305",".256",".258",".314",".322",".375",".398",".689",".720","92",".458","-62.5","-6.6",".617",".204",".119","107.9",2014
"449","Toronto Blue Jays","4.46","4338","766","4.8","92",".295",".259",".254",".323",".316",".414",".391",".736",".708","108",".543","55.0","5.3",".684",".256",".155","108.3",2014
"450","Washington Nationals","4.23","4378","737","4.5","98",".303",".253",".261",".321",".325",".393",".402",".714",".728","96",".533","-28.1","-3.1",".667",".247",".140","121.4",2014
"451","Arizona Diamondbacks","4.44","4436","796","4.8","103",".316",".264",".266",".324",".331",".414",".419",".738",".749","97",".54","-28.2","-3.2",".691",".252",".150","142.2",2015
"452","Atlanta Braves","3.54","4338","623","3.9","97",".297",".251",".257",".314",".320",".359",".404",".674",".725","87",".438","-90.2","-9.3",".597",".202",".108","81.7",2015
"453","Baltimore Orioles","4.40","4319","708","4.4","100",".291",".250",".258",".307",".321",".421",".417",".728",".738","97",".485","-35.4","-3.7",".661",".251",".171","73.2",2015
"454","Boston Red Sox","4.62","4371","773","4.7","104",".305",".265",".264",".325",".327",".415",".426",".740",".753","97",".52","-27.9","-3.0",".682",".242",".149","98.5",2015
"455","Chicago Cubs","4.25","4355","748","4.6","98",".305",".244",".258",".321",".322",".398",".406",".719",".728","98",".52","-9.7","-1.3",".681",".268",".154","122.1",2015
"456","Chicago White Sox","3.84","4386","646","3.9","95",".296",".250",".251",".306",".313",".380",".406",".686",".719","92",".437","-62.3","-6.3",".611",".208",".130","90.7",2015
"457","Cincinnati Reds","3.95","4426","721","4.4","99",".290",".248",".260",".312",".324",".394",".410",".706",".734","92",".496","-61.3","-6.5",".661",".252",".146","148.7",2015
"458","Cleveland Indians","4.16","4303","731","4.6","104",".299",".256",".264",".325",".327",".401",".426",".725",".753","93",".501","-47.9","-5.0",".675",".253",".144","106.8",2015
"459","Colorado Rockies","4.55","4328","771","4.8","113",".313",".265",".280",".315",".346",".432",".441",".748",".787","89",".536","-102.0","-10.5",".689",".246",".167","127.5",2015
"460","Detroit Tigers","4.28","4351","765","4.7","98",".322",".270",".255",".328",".317",".420",".411",".748",".729","105",".517","40.9","3.9",".683",".237",".150","107.1",2015
"461","Houston Astros","4.50","4317","758","4.7","96",".292",".250",".253",".315",".315",".437",".408",".752",".722","107",".517","54.6","5.3",".717",".289",".187","158.6",2015
"462","Kansas City Royals","4.47","4326","747","4.6","102",".301",".269",".260",".322",".324",".412",".420",".734",".744","98",".509","-22.4","-2.4",".674",".225",".144","119.0",2015
"463","Los Angeles Angels of Anaheim","4.08","4313","676","4.2","93",".280",".246",".249",".307",".310",".396",".402",".702",".713","97",".465","-16.9","-1.9",".635",".234",".150","80.3",2015
"464","Los Angeles Dodgers","4.12","4287","743","4.6","95",".292",".250",".254",".326",".318",".413",".401",".739",".718","106",".524","49.8","4.8",".690",".272",".163","89.7",2015
"465","Miami Marlins","3.78","4332","663","4.1","96",".307",".260",".256",".310",".319",".384",".402",".694",".721","93",".467","-58.9","-6.1",".621",".205",".124","115.9",2015
"466","Milwaukee Brewers","4.04","4350","679","4.2","99",".303",".251",".260",".307",".324",".393",".410",".700",".734","91",".476","-77.3","-8.0",".632",".227",".142","106.4",2015
"467","Minnesota Twins","4.30","4360","661","4.1","98",".292",".247",".256",".305",".318",".399",".413",".704",".732","92",".45","-60.5","-6.2",".637",".239",".152","96.6",2015
"468","New York Mets","4.22","4392","708","4.3","97",".287",".244",".257",".312",".320",".400",".404",".712",".725","96",".491","-25.5","-2.8",".651",".249",".156","79.2",2015
"469","New York Yankees","4.72","4378","785","4.8","99",".283",".251",".257",".323",".320",".421",".415",".744",".735","102",".526","22.5","2.1",".703",".276",".170","97.1",2015
"470","Oakland Athletics","4.28","4400","698","4.3","96",".288",".251",".252",".312",".315",".395",".408",".707",".722","96",".47","-28.8","-3.0",".645",".238",".144","101.7",2015
"471","Philadelphia Phillies","3.86","4388","646","3.9","97",".299",".249",".257",".303",".320",".382",".404",".684",".725","89",".449","-88.6","-9.1",".613",".213",".133","105.0",2015
"472","Pittsburgh Pirates","4.30","4433","749","4.5","98",".314",".260",".259",".323",".323",".396",".408",".719",".731","97",".512","-18.5","-2.1",".664",".227",".136","115.3",2015
"473","San Diego Padres","4.01","4364","654","4.0","95",".292",".243",".254",".300",".318",".385",".401",".685",".718","91",".457","-70.7","-7.3",".620",".230",".142","105.5",2015
"474","Seattle Mariners","4.05","4406","725","4.4","94",".292",".249",".250",".311",".312",".411",".404",".722",".716","101",".487","12.1","1.0",".661",".253",".162","102.3",2015
"475","San Francisco Giants","4.30","4339","750","4.6","98",".313",".267",".259",".326",".323",".406",".408",".732",".731","101",".523","4.4","0.3",".672",".231",".139","110.5",2015
"476","St. Louis Cardinals","3.99","4345","719","4.4","100",".303",".253",".262",".321",".325",".394",".412",".716",".737","95",".503","-39.8","-4.2",".658",".240",".142","91.8",2015
"477","Tampa Bay Rays","3.98","4334","711","4.4","95",".300",".252",".251",".314",".313",".406",".406",".720",".719","100",".485","7.6","0.6",".664",".241",".154","114.4",2015
"478","Texas Rangers","4.64","4327","771","4.8","102",".300",".257",".262",".325",".325",".413",".422",".739",".747","98",".523","-13.5","-1.5",".699",".258",".156","127.3",2015
"479","Toronto Blue Jays","5.50","4290","878","5.5","101",".298",".269",".259",".340",".322",".457",".419",".797",".741","115",".586","119.3","11.6",".771",".304",".188","127.6",2015
"480","Washington Nationals","4.34","4323","736","4.6","101",".300",".251",".263",".321",".327",".403",".413",".724",".740","96",".516","-30.7","-3.5",".670",".257",".151","86.2",2015
"481","Arizona Diamondbacks","4.64","4415","810","4.9","111",".315",".261",".268",".320",".339",".432",".438",".752",".777","93",".522","-72.0","-7.3",".714",".271",".171","159.2",2016
"482","Atlanta Braves","4.03","4405","706","4.3","103",".305",".255",".258",".321",".328",".384",".422",".705",".749","89",".46","-78.5","-7.9",".642",".228",".130","92.9",2016
"483","Baltimore Orioles","4.59","4296","777","4.8","104",".291",".256",".260",".317",".324",".443",".428",".760",".752","101",".511","4.8","0.4",".702",".273",".188","35.3",2016
"484","Boston Red Sox","5.42","4281","929","5.8","107",".320",".282",".264",".348",".329",".461",".435",".810",".764","112",".594","100.7","9.5",".779",".288",".179","118.7",2016
