"","Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","Pull%","Cent%","Oppo%","WPA","cWPA","RE24","RS%","SB%","XBT%","Year","EV","HardH%"
"56","San Diego Padres",".334","101",".297",".147","2.6%","20.3%","10.8%","26.1%","38.5%","29.6%","0.64","25.1%","51.4%","23.5%","5.8","1.5%","58.8","32%","75%","43%",2001,NA,NA
"57","Seattle Mariners",".362","120",".320",".157","2.6%","15.3%","9.5%","26.2%","39.7%","27.2%","0.68","26.7%","51.1%","22.2%","17.0","4.3%","167.1","35%","81%","44%",2001,NA,NA
"58","San Francisco Giants",".350","112",".290",".194","3.7%","17.0%","9.8%","24.2%","37.2%","30.3%","0.62","31.5%","51.3%","17.3%","3.8","3.3%","55.5","29%","58%","37%",2001,NA,NA
"59","St. Louis Cardinals",".345","99",".302",".172","3.2%","17.6%","8.6%","24.5%","40.6%","27.0%","0.72","27.0%","52.8%","20.2%","3.2","3.0%","61.5","33%","72%","48%",2001,NA,NA
"60","Tampa Bay Devil Rays",".321","89",".303",".130","2.0%","18.3%","7.5%","24.9%","43.2%","24.9%","0.79","30.3%","50.0%","19.7%","-8.7","-1.1%","-102.6","30%","69%","41%",2001,NA,NA
"61","Texas Rangers",".361","110",".300",".195","3.9%","17.1%","8.6%","25.0%","38.2%","30.8%","0.63","30.3%","50.5%","19.2%","4.2","0.4%","90.1","33%","75%","42%",2001,NA,NA
"62","Toronto Blue Jays",".337","94",".293",".167","3.1%","17.4%","7.5%","24.8%","40.2%","28.1%","0.69","30.7%","49.6%","19.7%","-6.3","-3.1%","-34.7","31%","74%","35%",2001,NA,NA
"63","League Average",".338","97",".296",".163","2.9%","17.3%","8.5%","24.6%","40.4%","27.7%","0.70","28.6%","51.3%","20.1%","-1","0%","2","31%","69%","42%",2001,NA,NA
"64","",".338","97",".296",".163","2.9%","17.3%","8.5%","24.6%","40.4%","27.7%","0.70","28.6%","51.3%","20.1%","-22.5","6.3%","52.4","31%","69%","42%",2001,NA,NA
"65","Anaheim Angels",".346","106",".303",".150","2.4%","12.7%","7.3%","28.5%","34.5%","29.5%","0.54","30.4%","49.9%","19.7%","5.3","4.4%","75.1","34%","70%","39%",2002,NA,NA
"66","Arizona Diamondbacks",".348","93",".298",".156","2.6%","16.1%","10.2%","27.8%","40.0%","24.5%","0.70","27.2%","53.2%","19.6%","5.5","3.9%","79.9","32%","67%","42%",2002,NA,NA
"67","Atlanta Braves",".335","91",".290",".150","2.6%","16.5%","9.0%","23.3%","42.8%","26.2%","0.79","27.7%","52.9%","19.3%","0.7","0.4%","-15.9","29%","66%","40%",2002,NA,NA
"68","Baltimore Orioles",".317","91",".271",".157","2.7%","16.3%","7.4%","25.6%","36.8%","28.8%","0.60","33.9%","48.7%","17.4%","-10.8","-1.4%","-105.3","29%","70%","40%",2002,NA,NA
"69","Boston Red Sox",".352","107",".302",".168","2.8%","14.9%","8.6%","27.7%","38.9%","26.9%","0.65","31.0%","50.4%","18.6%","3.5","0.7%","78.5","33%","74%","38%",2002,NA,NA
"70","Chicago Cubs",".332","93",".283",".167","3.2%","20.3%","9.4%","27.5%","39.8%","24.8%","0.69","29.0%","51.3%","19.6%","-6.2","-1.8%","-9.5","28%","75%","37%",2002,NA,NA
"71","Chicago White Sox",".350","107",".287",".181","3.5%","15.3%","8.9%","24.8%","37.1%","29.2%","0.62","31.4%","48.6%","20.0%","2.9","1.0%","86.3","34%","71%","40%",2002,NA,NA
"72","Cincinnati Reds",".334","88",".293",".155","2.7%","19.0%","9.3%","26.6%","39.2%","25.8%","0.68","28.1%","51.3%","20.6%","-3.3","-0.5%","-29.2","28%","69%","46%",2002,NA,NA
"73","Cleveland Indians",".328","98",".271",".163","3.2%","16.4%","8.9%","24.9%","40.5%","26.6%","0.70","30.8%","51.9%","17.3%","-0.2","-2.2%","-24.6","31%","58%","38%",2002,NA,NA
"74","Colorado Rockies",".341","85",".311",".149","2.5%","16.9%","8.1%","27.9%","41.8%","23.0%","0.75","25.5%","54.2%","20.3%","0.4","-0.2%","19.1","33%","66%","48%",2002,NA,NA
"75","Detroit Tigers",".302","85",".283",".132","2.1%","17.5%","6.1%","26.0%","38.2%","27.9%","0.64","28.6%","51.3%","20.1%","-14.1","-1.5%","-176.2","27%","60%","45%",2002,NA,NA
"76","Florida Marlins",".334","95",".301",".142","2.3%","18.0%","9.5%","26.6%","40.9%","24.1%","0.72","27.0%","52.4%","20.6%","-2.4","-0.3%","-14.9","28%","71%","39%",2002,NA,NA
"77","Houston Astros",".342","92",".300",".156","2.7%","17.9%","9.4%","28.2%","37.5%","26.6%","0.62","28.8%","51.1%","20.1%","-2.6","-2.5%","13.0","30%","72%","40%",2002,NA,NA
"78","Kansas City Royals",".325","82",".282",".143","2.3%","14.8%","8.4%","26.8%","38.8%","26.5%","0.66","27.2%","53.0%","19.8%","-8.8","-1.5%","-83.2","32%","68%","47%",2002,NA,NA
"79","Los Angeles Dodgers",".330","98",".291",".146","2.5%","15.3%","7.0%","25.8%","41.4%","25.0%","0.75","26.0%","54.5%","19.5%","0.7","0.8%","18.9","31%","72%","43%",2002,NA,NA
"80","Milwaukee Brewers",".321","86",".294",".137","2.3%","18.5%","8.2%","26.3%","42.1%","23.9%","0.77","24.8%","53.8%","21.3%","-16.4","-2.2%","-91.9","27%","65%","39%",2002,NA,NA
"81","Minnesota Twins",".339","103",".309",".165","2.7%","17.6%","7.6%","25.8%","41.8%","25.5%","0.74","27.2%","52.4%","20.4%","1.4","2.0%","-2.5","32%","56%","39%",2002,NA,NA
"82","Montreal Expos",".338","93",".298",".157","2.6%","17.7%","9.2%","26.5%","41.5%","23.6%","0.76","25.9%","53.5%","20.6%","2.5","0.9%","8.6","30%","65%","45%",2002,NA,NA
"83","New York Mets",".328","92",".289",".139","2.6%","17.0%","7.9%","24.6%","40.4%","25.9%","0.72","28.9%","51.8%","19.2%","-7.7","-3.8%","-13.8","29%","67%","41%",2002,NA,NA
"84","New York Yankees",".360","115",".310",".180","3.5%","18.4%","10.0%","27.7%","39.0%","27.9%","0.65","29.8%","50.0%","20.2%","10.0","7.8%","128.3","32%","72%","44%",2002,NA,NA
"85","Oakland Athletics",".343","106",".284",".171","3.3%","16.0%","9.7%","27.2%","37.9%","28.9%","0.62","29.0%","51.1%","19.8%","7.6","2.9%","37.5","30%","70%","41%",2002,NA,NA
"86","Philadelphia Phillies",".343","105",".294",".163","2.6%","17.3%","10.1%","28.1%","37.1%","26.4%","0.62","27.9%","51.8%","20.3%","4.2","0.1%","13.0","28%","71%","42%",2002,NA,NA
"87","Pittsburgh Pirates",".318","80",".281",".137","2.4%","18.3%","8.9%","25.8%","38.3%","27.4%","0.65","27.9%","52.3%","19.7%","-7.2","-3.3%","-69.3","28%","64%","42%",2002,NA,NA
"88","San Diego Padres",".320","95",".288",".129","2.2%","17.2%","8.9%","27.8%","39.4%","26.2%","0.67","27.0%","50.7%","22.3%","-3.7","-1.5%","-30.0","28%","62%","39%",2002,NA,NA
"89","Seattle Mariners",".345","108",".307",".144","2.4%","15.8%","9.9%","28.9%","39.4%","25.5%","0.67","25.3%","52.7%","22.0%","4.6","3.4%","52.9","31%","70%","39%",2002,NA,NA
"90","San Francisco Giants",".353","113",".289",".175","3.1%","15.3%","9.8%","27.0%","36.3%","29.0%","0.59","29.8%","51.6%","18.5%","6.1","7.3%","94.3","30%","78%","38%",2002,NA,NA
"91","St. Louis Cardinals",".343","102",".292",".157","2.8%","14.8%","8.7%","26.9%","38.9%","26.0%","0.68","29.7%","51.7%","18.7%","7.0","4.4%","77.9","32%","67%","44%",2002,NA,NA
"92","Tampa Bay Devil Rays",".317","88",".293",".137","2.2%","18.0%","7.4%","26.4%","40.6%","25.1%","0.71","28.2%","52.3%","19.5%","-9.4","-1.5%","-104.7","30%","69%","39%",2002,NA,NA
"93","Texas Rangers",".351","104",".292",".187","3.6%","16.7%","8.8%","27.4%","35.7%","29.9%","0.57","28.6%","51.9%","19.6%","1.8","-0.5%","43.5","32%","65%","41%",2002,NA,NA
"94","Toronto Blue Jays",".338","96",".295",".169","3.0%","18.3%","8.4%","27.7%","38.1%","28.8%","0.62","28.7%","50.2%","21.1%","0.7","-0.1%","22.4","34%","80%","38%",2002,NA,NA
"95","League Average",".336","97",".293",".155","2.7%","16.8%","8.7%","26.7%","39.1%","26.5%","0.67","28.4%","51.8%","19.9%","-1","1%","3","30%","68%","41%",2002,NA,NA
"96","",".336","97",".293",".155","2.7%","16.8%","8.7%","26.7%","39.1%","26.5%","0.67","28.4%","51.8%","19.9%","-27.8","15.4%","78.3","30%","68%","41%",2002,NA,NA
"97","Anaheim Angels",".329","95",".291",".144","2.5%","13.7%","7.8%","19.8%","41.1%","28.0%","0.73","30.1%","49.3%","20.6%","-4.1","-0.7%","-32.5","31%","68%","43%",2003,NA,NA
"98","Arizona Diamondbacks",".333","83",".295",".153","2.4%","16.1%","8.5%","20.5%","44.4%","24.8%","0.84","29.7%","50.2%","20.1%","-11.1","-9.1%","-61.3","29%","67%","37%",2003,NA,NA
"99","Atlanta Braves",".366","113",".302",".192","3.7%","14.6%","8.5%","17.2%","44.0%","28.9%","0.82","31.1%","50.2%","18.7%","13.6","6.3%","165.2","34%","76%","42%",2003,NA,NA
"100","Baltimore Orioles",".328","93",".293",".138","2.4%","14.5%","6.9%","18.4%","42.8%","28.6%","0.77","31.8%","48.3%","19.9%","-6.5","0.0%","-44.9","31%","71%","43%",2003,NA,NA
"101","Boston Red Sox",".372","118",".307",".202","3.6%","14.4%","9.5%","17.0%","38.6%","34.1%","0.64","31.7%","47.4%","21.0%","13.5","14.0%","160.0","33%","72%","39%",2003,NA,NA
"102","Chicago Cubs",".335","91",".297",".157","2.8%","18.7%","8.0%","19.1%","44.7%","26.4%","0.85","30.2%","50.0%","19.8%","-4.9","-1.1%","-28.7","30%","70%","36%",2003,NA,NA
"103","Chicago White Sox",".344","101",".279",".182","3.6%","14.9%","8.4%","18.3%","39.7%","30.0%","0.68","32.8%","48.2%","19.0%","-3.1","-2.8%","8.2","31%","73%","39%",2003,NA,NA
"104","Cincinnati Reds",".323","89",".289",".150","2.9%","21.4%","8.4%","21.7%","42.5%","24.8%","0.78","28.1%","50.5%","21.4%","-1.2","1.3%","-41.4","28%","70%","44%",2003,NA,NA
"105","Cleveland Indians",".322","93",".286",".148","2.6%","17.2%","7.5%","17.7%","44.0%","28.2%","0.82","30.3%","49.9%","19.7%","-10.2","-2.2%","-86.0","30%","59%","45%",2003,NA,NA
"106","Colorado Rockies",".355","94",".302",".179","3.2%","18.1%","9.9%","19.1%","44.5%","26.9%","0.84","28.9%","50.9%","20.2%","2.0","1.9%","67.2","34%","63%","47%",2003,NA,NA
"107","Detroit Tigers",".302","82",".272",".135","2.5%","18.1%","7.3%","16.6%","44.3%","27.9%","0.87","31.3%","48.5%","20.2%","-22.7","-2.7%","-188.9","26%","61%","41%",2003,NA,NA
"108","Florida Marlins",".338","97",".296",".155","2.5%","15.8%","8.3%","17.9%","45.2%","25.2%","0.89","28.4%","50.9%","20.7%","-2.1","0.9%","12.5","31%","67%","40%",2003,NA,NA
"109","Houston Astros",".346","97",".289",".169","3.0%","16.2%","8.8%","15.8%","45.3%","28.5%","0.86","31.4%","49.7%","18.9%","-2.8","-4.5%","46.0","32%","69%","40%",2003,NA,NA
"110","Kansas City Royals",".344","96",".301",".153","2.6%","14.8%","7.6%","18.9%","44.2%","27.3%","0.83","30.2%","49.2%","20.6%","3.4","1.6%","33.2","35%","74%","41%",2003,NA,NA
"111","Los Angeles Dodgers",".306","77",".275",".125","2.1%","16.3%","6.7%","18.2%","46.3%","23.9%","0.93","29.2%","50.7%","20.2%","-16.6","-11.4%","-159.3","26%","69%","38%",2003,NA,NA
"112","Milwaukee Brewers",".338","96",".294",".163","3.1%","19.5%","8.7%","19.4%","45.6%","25.1%","0.89","28.0%","50.7%","21.3%","-1.2","-1.1%","-37.1","28%","72%","36%",2003,NA,NA
"113","Minnesota Twins",".344","103",".312",".154","2.5%","16.2%","8.1%","15.7%","47.0%","28.1%","0.92","31.3%","48.7%","20.0%","2.8","2.0%","11.5","32%","68%","44%",2003,NA,NA
"114","Montreal Expos",".329","82",".290",".143","2.4%","16.2%","8.5%","17.8%","49.4%","22.9%","1.03","26.9%","51.6%","21.5%","-3.4","-2.1%","-47.2","30%","72%","40%",2003,NA,NA
"115","New York Mets",".315","80",".282",".128","2.1%","17.2%","8.1%","17.0%","46.4%","25.9%","0.93","29.0%","49.3%","21.6%","-10.5","-1.0%","-86.3","29%","69%","41%",2003,NA,NA
"116","New York Yankees",".362","117",".295",".182","3.6%","16.2%","10.6%","18.0%","44.8%","28.6%","0.83","30.9%","50.4%","18.7%","9.4","6.0%","108.7","31%","75%","43%",2003,NA,NA
"117","Oakland Athletics",".332","95",".273",".162","2.8%","14.5%","9.0%","19.6%","42.9%","27.9%","0.76","29.8%","50.1%","20.1%","0.6","0.8%","-1.4","32%","77%","46%",2003,NA,NA
"118","Philadelphia Phillies",".342","104",".301",".158","2.6%","18.2%","10.3%","22.1%","44.2%","25.0%","0.82","28.2%","50.2%","21.6%","2.5","3.0%","74.1","31%","71%","37%",2003,NA,NA
"119","Pittsburgh Pirates",".343","95",".302",".153","2.6%","16.6%","8.4%","17.3%","44.2%","27.1%","0.84","28.9%","51.4%","19.7%","-2.8","-2.7%","-0.5","30%","70%","39%",2003,NA,NA
"120","San Diego Padres",".327","97",".301",".127","2.1%","17.2%","9.1%","19.3%","45.7%","26.0%","0.88","27.4%","49.9%","22.7%","-3.6","-0.9%","-42.0","28%","66%","39%",2003,NA,NA
"121","Seattle Mariners",".339","105",".306",".139","2.2%","15.8%","9.3%","18.9%","45.1%","28.1%","0.85","25.7%","50.9%","23.4%","2.3","-1.0%","36.6","32%","74%","39%",2003,NA,NA
"122","San Francisco Giants",".341","98",".291",".161","2.9%","15.8%","9.6%","19.2%","42.3%","26.4%","0.78","30.3%","51.0%","18.8%","6.1","3.2%","23.0","30%","59%","37%",2003,NA,NA
"123","St. Louis Cardinals",".358","112",".302",".175","3.0%","14.7%","9.0%","20.4%","42.1%","26.7%","0.77","29.3%","49.5%","21.2%","8.8","3.7%","128.5","33%","72%","41%",2003,NA,NA
"124","Tampa Bay Devil Rays",".324","93",".301",".139","2.2%","16.6%","6.8%","15.4%","46.2%","27.6%","0.90","29.5%","50.3%","20.3%","-8.6","-0.7%","-55.0","31%","77%","40%",2003,NA,NA
"125","Texas Rangers",".348","96",".287",".188","3.8%","16.7%","7.8%","19.5%","39.4%","29.5%","0.66","32.7%","48.7%","18.6%","-2.0","-0.4%","6.8","31%","72%","42%",2003,NA,NA
"126","Toronto Blue Jays",".355","108",".313",".175","3.0%","17.0%","8.6%","20.6%","42.1%","30.2%","0.73","28.3%","49.1%","22.6%","8.5","3.0%","105.4","34%","60%","41%",2003,NA,NA
"127","League Average",".338","97",".294",".158","2.8%","16.4%","8.5%","18.5%","43.9%","27.3%","0.82","29.7%","49.8%","20.4%","-1","0%","2","31%","69%","41%",2003,NA,NA
"128","",".338","97",".294",".158","2.8%","16.4%","8.5%","18.5%","43.9%","27.3%","0.82","29.7%","49.8%","20.4%","-43.8","3.1%","74.5","31%","69%","41%",2003,NA,NA
"129","Anaheim Angels",".346","103",".312",".147","2.6%","15.0%","7.2%","18.9%","43.9%","27.2%","0.82","27.6%","54.1%","18.3%","2.2","3.8%","41.1","34%","76%","40%",2004,NA,NA
"130","Arizona Diamondbacks",".311","71",".286",".140","2.2%","16.7%","7.2%","18.4%","44.4%","26.6%","0.84","25.8%","54.5%","19.8%","-16.6","-1.0%","-164.8","27%","62%","42%",2004,NA,NA
"131","Atlanta Braves",".347","99",".309",".164","2.8%","18.3%","9.3%","17.7%","45.0%","27.3%","0.87","27.7%","51.5%","20.8%","6.1","2.0%","53.2","31%","73%","38%",2004,NA,NA
