"","Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","Pull%","Cent%","Oppo%","WPA","cWPA","RE24","RS%","SB%","XBT%","Year","EV","HardH%"
"264","Cleveland Indians",".344","104",".305",".162","2.7%","19.3%","8.9%","18.1%","40.2%","32.5%","0.69","31.8%","52.9%","15.3%","0.6","-3.6%","48.1","32%","73%","42%",2008,NA,NA
"265","Colorado Rockies",".343","89",".308",".152","2.5%","19.2%","9.0%","20.4%","41.8%","28.0%","0.76","24.6%","58.9%","16.5%","-3.4","-2.1%","-20.4","30%","79%","46%",2008,NA,NA
"266","Detroit Tigers",".350","105",".301",".173","3.2%","17.0%","9.0%","19.8%","43.1%","27.5%","0.77","28.0%","55.8%","16.2%","2.4","-0.3%","45.3","32%","67%","38%",2008,NA,NA
"267","Florida Marlins",".338","95",".300",".179","3.4%","22.1%","8.8%","19.5%","41.2%","28.5%","0.73","29.7%","54.7%","15.6%","7.5","3.6%","40.0","31%","73%","36%",2008,NA,NA
"268","Houston Astros",".329","93",".296",".152","2.8%","17.4%","7.4%","15.4%","44.9%","29.2%","0.86","25.8%","57.1%","17.2%","5.0","0.6%","-3.6","31%","69%","38%",2008,NA,NA
"269","Kansas City Royals",".323","90",".307",".128","2.0%","16.4%","6.4%","18.9%","46.0%","26.1%","0.89","20.8%","62.1%","17.0%","-8.5","-4.0%","-74.0","31%","68%","42%",2008,NA,NA
"270","Los Angeles Angels of Anaheim",".335","93",".299",".145","2.6%","16.0%","7.8%","16.1%","46.1%","28.2%","0.88","26.8%","56.5%","16.7%","4.5","0.4%","-0.2","32%","73%","42%",2008,NA,NA
"271","Los Angeles Dodgers",".331","92",".301",".134","2.2%","16.7%","8.8%","18.2%","46.2%","27.4%","0.90","24.2%","58.6%","17.2%","-3.3","0.0%","-29.6","29%","75%","44%",2008,NA,NA
"272","Milwaukee Brewers",".341","100",".287",".179","3.2%","19.2%","8.8%","16.6%","41.5%","30.4%","0.74","29.6%","54.0%","16.4%","5.4","4.5%","17.6","30%","74%","43%",2008,NA,NA
"273","Minnesota Twins",".337","102",".316",".129","1.8%","15.5%","8.4%","16.5%","45.1%","27.9%","0.88","23.4%","57.8%","18.8%","4.2","-3.4%","73.1","35%","71%","42%",2008,NA,NA
"274","New York Mets",".344","101",".296",".154","2.7%","16.0%","9.7%","21.0%","45.7%","23.6%","0.89","26.2%","58.7%","15.1%","7.1","8.5%","63.9","32%","79%","37%",2008,NA,NA
"275","New York Yankees",".348","101",".302",".156","2.9%","16.2%","8.6%","20.8%","45.6%","25.9%","0.85","25.5%","58.4%","16.2%","-0.1","-1.7%","18.3","31%","75%","39%",2008,NA,NA
"276","Oakland Athletics",".316","88",".289",".127","2.0%","20.0%","9.4%","18.7%","40.9%","28.6%","0.71","24.7%","57.7%","17.6%","-11.0","-5.8%","-97.2","28%","81%","39%",2008,NA,NA
"277","Philadelphia Phillies",".346","97",".283",".182","3.4%","17.8%","9.3%","18.8%","41.6%","28.3%","0.75","30.5%","54.1%","15.4%","3.9","5.1%","62.4","31%","84%","41%",2008,NA,NA
"278","Pittsburgh Pirates",".326","92",".290",".145","2.4%","16.6%","7.6%","19.2%","41.6%","29.4%","0.75","27.5%","56.5%","15.9%","-0.5","0.9%","-0.3","31%","75%","41%",2008,NA,NA
"279","San Diego Padres",".318","97",".294",".140","2.5%","20.2%","8.3%","20.3%","42.1%","28.3%","0.75","25.8%","58.2%","16.0%","-12.3","-3.7%","-72.6","26%","68%","37%",2008,NA,NA
"280","Seattle Mariners",".322","91",".294",".124","2.0%","14.4%","6.8%","20.0%","45.6%","24.5%","0.86","26.1%","57.5%","16.4%","-9.3","-1.8%","-82.3","29%","74%","37%",2008,NA,NA
"281","San Francisco Giants",".320","81",".305",".120","1.5%","17.0%","7.4%","18.1%","47.3%","25.9%","0.94","24.5%","59.3%","16.2%","-8.3","-3.8%","-104.2","29%","70%","40%",2008,NA,NA
"282","St. Louis Cardinals",".349","106",".312",".152","2.7%","15.5%","9.1%","20.9%","43.5%","25.9%","0.80","24.4%","58.4%","17.2%","5.9","3.9%","46.1","29%","70%","38%",2008,NA,NA
"283","Tampa Bay Rays",".347","103",".302",".162","2.9%","19.4%","9.9%","21.6%","43.0%","26.9%","0.78","27.1%","55.4%","17.5%","2.4","0.3%","8.7","30%","74%","40%",2008,NA,NA
"284","Texas Rangers",".364","115",".325",".179","3.0%","18.6%","9.2%","22.5%","40.7%","29.2%","0.71","25.7%","55.2%","19.1%","9.5","3.8%","133.6","34%","76%","44%",2008,NA,NA
"285","Toronto Blue Jays",".332","96",".295",".135","2.0%","15.2%","8.4%","19.1%","43.6%","28.3%","0.79","24.3%","59.9%","15.8%","-7.5","-4.6%","-42.3","30%","75%","37%",2008,NA,NA
"286","Washington Nationals",".320","86",".292",".122","1.9%","17.7%","8.6%","19.0%","46.5%","24.5%","0.92","26.0%","57.3%","16.7%","-10.8","-2.1%","-92.9","28%","65%","36%",2008,NA,NA
"287","League Average",".338","97",".300",".152","2.6%","17.5%","8.7%","19.0%","43.2%","28.1%","0.79","26.3%","57.0%","16.6%","-0","-0%","3","31%","73%","39%",2008,NA,NA
"288","",".338","97",".300",".152","2.6%","17.5%","8.7%","19.0%","43.2%","28.1%","0.79","26.3%","57.0%","16.6%","-14.3","-7.4%","104.5","31%","73%","39%",2008,NA,NA
"289","Arizona Diamondbacks",".334","89",".299",".165","2.8%","20.7%","9.1%","17.5%","41.9%","29.6%","0.75","24.3%","58.5%","17.1%","-6.2","-2.2%","-19.7","29%","72%","42%",2009,NA,NA
"290","Atlanta Braves",".337","97",".300",".142","2.4%","16.8%","9.5%","17.9%","42.3%","30.4%","0.78","27.3%","54.8%","17.9%","-3.0","-1.5%","12.5","29%","69%","38%",2009,NA,NA
"291","Baltimore Orioles",".333","93",".300",".147","2.6%","16.3%","8.3%","18.7%","44.4%","28.3%","0.81","26.7%","55.5%","17.8%","-8.5","-0.9%","-42.5","30%","67%","36%",2009,NA,NA
"292","Boston Red Sox",".361","108",".301",".184","3.3%","17.7%","10.4%","18.0%","39.4%","33.9%","0.66","30.0%","54.0%","16.1%","6.0","3.9%","89.5","32%","76%","35%",2009,NA,NA
"293","Chicago Cubs",".335","88",".296",".152","2.6%","19.0%","9.5%","18.2%","42.6%","29.7%","0.78","25.6%","58.0%","16.4%","-6.0","-4.2%","-32.3","29%","62%","36%",2009,NA,NA
"294","Chicago White Sox",".331","87",".285",".153","3.0%","16.7%","8.7%","17.7%","42.9%","29.7%","0.77","27.1%","57.3%","15.6%","-8.0","-5.5%","-65.0","29%","70%","38%",2009,NA,NA
"295","Cincinnati Reds",".323","85",".282",".147","2.6%","18.3%","8.6%","18.1%","42.3%","27.4%","0.79","25.1%","58.2%","16.7%","-7.1","-3.6%","-55.4","29%","71%","41%",2009,NA,NA
"296","Cleveland Indians",".341","105",".308",".153","2.6%","19.2%","9.2%","19.7%","43.7%","28.4%","0.80","28.8%","54.3%","16.9%","-4.7","-0.3%","9.3","31%","73%","38%",2009,NA,NA
"297","Colorado Rockies",".351","95",".305",".180","3.0%","20.5%","10.6%","19.7%","40.2%","29.4%","0.71","26.4%","56.8%","16.8%","2.5","2.0%","53.4","31%","66%","47%",2009,NA,NA
"298","Detroit Tigers",".334","93",".294",".156","2.9%","17.9%","8.7%","20.2%","41.7%","27.1%","0.75","28.3%","54.8%","16.9%","-1.6","-3.0%","-35.0","29%","69%","37%",2009,NA,NA
"299","Florida Marlins",".342","97",".316",".148","2.5%","19.4%","9.0%","19.9%","41.9%","27.5%","0.76","25.8%","57.8%","16.5%","7.2","3.1%","48.8","31%","68%","38%",2009,NA,NA
"300","Houston Astros",".324","88",".293",".140","2.4%","16.4%","7.4%","16.5%","46.8%","26.8%","0.93","24.9%","57.6%","17.5%","-2.2","-0.2%","-66.1","28%","72%","38%",2009,NA,NA
"301","Kansas City Royals",".325","90",".298",".146","2.4%","17.9%","7.5%","17.6%","45.6%","28.2%","0.87","22.4%","61.7%","15.9%","-8.9","-2.0%","-79.1","30%","75%","38%",2009,NA,NA
"302","Los Angeles Angels of Anaheim",".354","110",".322",".156","2.7%","16.7%","8.7%","17.2%","43.7%","29.8%","0.81","24.7%","58.7%","16.6%","11.8","9.8%","118.2","35%","70%","48%",2009,NA,NA
"303","Los Angeles Dodgers",".344","106",".309",".141","2.3%","16.7%","9.5%","20.0%","44.7%","26.6%","0.86","23.6%","58.6%","17.8%","4.7","3.8%","70.0","31%","71%","44%",2009,NA,NA
"304","Milwaukee Brewers",".345","104",".305",".164","2.9%","19.6%","9.7%","18.4%","43.1%","28.8%","0.79","26.4%","57.2%","16.4%","8.2","3.5%","75.2","31%","65%","34%",2009,NA,NA
"305","Minnesota Twins",".345","104",".306",".155","2.7%","16.1%","9.2%","16.5%","45.1%","28.6%","0.86","23.6%","58.6%","17.9%","2.8","7.3%","44.5","31%","73%","42%",2009,NA,NA
"306","New York Mets",".333","95",".307",".124","1.5%","15.1%","8.5%","20.4%","45.8%","23.9%","0.90","24.8%","56.7%","18.5%","-4.1","-1.2%","-37.0","30%","73%","40%",2009,NA,NA
"307","New York Yankees",".373","116",".306",".194","3.8%","15.7%","10.3%","20.3%","43.2%","28.4%","0.78","27.1%","56.2%","16.7%","12.6","6.8%","127.0","31%","80%","41%",2009,NA,NA
"308","Oakland Athletics",".329","92",".298",".135","2.2%","16.7%","8.4%","20.1%","41.4%","28.5%","0.72","23.9%","57.3%","18.8%","-6.7","-3.5%","-15.5","32%","73%","39%",2009,NA,NA
"309","Philadelphia Phillies",".352","104",".286",".189","3.5%","18.2%","9.3%","19.4%","40.1%","31.0%","0.69","29.8%","55.6%","14.6%","12.3","8.8%","100.0","32%","81%","39%",2009,NA,NA
"310","Pittsburgh Pirates",".321","85",".296",".135","2.1%","18.9%","8.2%","17.3%","44.6%","28.1%","0.84","26.6%","57.3%","16.1%","-8.3","-1.8%","-73.5","29%","74%","38%",2009,NA,NA
"311","San Diego Padres",".319","94",".284",".138","2.3%","19.1%","9.5%","18.5%","42.6%","27.9%","0.78","25.7%","57.9%","16.4%","-1.4","-0.8%","-55.9","27%","74%","38%",2009,NA,NA
"312","Seattle Mariners",".319","90",".293",".144","2.6%","17.9%","6.9%","18.7%","43.6%","27.1%","0.81","27.9%","57.4%","14.7%","-5.2","-3.3%","-111.6","27%","73%","35%",2009,NA,NA
"313","San Francisco Giants",".316","78",".302",".132","2.0%","19.1%","6.5%","18.9%","44.3%","26.7%","0.84","24.3%","57.9%","17.8%","-6.7","-7.4%","-66.6","31%","74%","38%",2009,NA,NA
"314","St. Louis Cardinals",".336","98",".296",".152","2.6%","16.9%","8.6%","19.2%","44.1%","26.8%","0.83","26.5%","58.3%","15.2%","3.0","1.4%","25.8","30%","71%","44%",2009,NA,NA
"315","Tampa Bay Rays",".349","106",".303",".177","3.2%","19.8%","10.3%","21.6%","39.9%","29.0%","0.68","28.8%","54.5%","16.7%","2.3","0.6%","40.1","31%","76%","38%",2009,NA,NA
"316","Texas Rangers",".342","94",".296",".185","3.7%","20.5%","7.7%","20.2%","39.8%","30.6%","0.68","27.0%","55.8%","17.3%","-0.2","0.6%","2.6","32%","81%","35%",2009,NA,NA
"317","Toronto Blue Jays",".345","102",".290",".174","3.3%","16.2%","8.6%","19.5%","38.7%","31.8%","0.64","27.1%","58.2%","14.7%","-4.1","-2.2%","12.2","30%","76%","40%",2009,NA,NA
"318","Washington Nationals",".335","96",".302",".148","2.5%","19.3%","9.8%","20.3%","43.6%","26.2%","0.81","27.1%","56.1%","16.7%","-3.8","0.3%","-9.0","28%","65%","39%",2009,NA,NA
"319","League Average",".338","97",".299",".155","2.7%","18.0%","8.9%","18.9%","42.8%","28.5%","0.78","26.2%","57.1%","16.7%","-1","0%","2","30%","72%","39%",2009,NA,NA
"320","",".338","97",".299",".155","2.7%","18.0%","8.9%","18.9%","42.8%","28.5%","0.78","26.2%","57.1%","16.7%","-23.4","8.2%","65.1","30%","72%","39%",2009,NA,NA
"321","Arizona Diamondbacks",".332","92",".312",".166","2.9%","24.7%","9.5%","19.3%","40.6%","30.9%","0.70","27.4%","56.7%","15.8%","-4.8","1.0%","-7.1","29%","68%","34%",2010,NA,NA
"322","Atlanta Braves",".337","102",".301",".143","2.2%","18.2%","10.1%","17.0%","43.7%","29.8%","0.81","27.6%","54.1%","18.3%","5.5","5.2%","49.6","30%","68%","39%",2010,NA,NA
"323","Baltimore Orioles",".319","91",".296",".127","2.2%","17.3%","6.9%","17.5%","45.2%","28.2%","0.85","25.5%","57.1%","17.4%","-7.6","-1.3%","-102.8","26%","69%","36%",2010,NA,NA
"324","Boston Red Sox",".353","109",".299",".183","3.3%","17.9%","9.2%","18.6%","39.4%","33.0%","0.66","27.8%","56.0%","16.2%","7.4","2.5%","82.5","31%","80%","38%",2010,NA,NA
"325","Chicago Cubs",".327","89",".304",".145","2.4%","20.1%","7.8%","19.0%","43.7%","29.3%","0.81","24.9%","57.5%","17.6%","-9.5","-2.9%","-29.1","30%","64%","38%",2010,NA,NA
"326","Chicago White Sox",".340","102",".292",".152","2.9%","15.1%","7.6%","17.5%","44.6%","27.5%","0.85","27.3%","57.1%","15.6%","4.3","2.5%","28.8","31%","68%","42%",2010,NA,NA
"327","Cincinnati Reds",".350","108",".314",".164","3.0%","19.4%","8.3%","20.1%","41.6%","28.3%","0.75","26.2%","56.6%","17.1%","6.5","5.5%","85.1","31%","68%","46%",2010,NA,NA
"328","Cleveland Indians",".320","97",".293",".130","2.1%","19.2%","8.8%","18.3%","44.1%","28.6%","0.82","29.2%","54.5%","16.3%","-6.1","-0.9%","-48.0","28%","73%","36%",2010,NA,NA
"329","Colorado Rockies",".341","90",".310",".162","2.8%","20.3%","9.3%","21.0%","41.6%","27.8%","0.74","24.5%","58.8%","16.7%","-1.9","-0.1%","22.8","31%","70%","45%",2010,NA,NA
"330","Detroit Tigers",".339","103",".311",".147","2.4%","18.2%","8.7%","21.5%","42.8%","26.0%","0.78","26.9%","55.1%","17.9%","3.2","1.2%","32.2","31%","70%","40%",2010,NA,NA
"331","Florida Marlins",".329","91",".309",".149","2.5%","22.2%","8.3%","19.7%","44.2%","26.3%","0.83","26.4%","57.6%","16.1%","0.3","0.3%","13.7","31%","78%","41%",2010,NA,NA
"332","Houston Astros",".305","79",".285",".115","1.8%","17.1%","6.9%","17.2%","46.4%","26.0%","0.92","24.9%","58.3%","16.8%","-4.2","-1.8%","-86.2","30%","74%","40%",2010,NA,NA
"333","Kansas City Royals",".331","99",".305",".126","2.0%","14.6%","7.6%","18.8%","43.7%","28.2%","0.81","23.7%","60.9%","15.4%","-5.7","-0.6%","-38.9","28%","70%","35%",2010,NA,NA
"334","Los Angeles Angels of Anaheim",".319","94",".281",".142","2.6%","17.6%","7.7%","16.0%","44.9%","30.3%","0.86","24.2%","59.6%","16.1%","-6.7","-2.3%","-27.1","30%","67%","45%",2010,NA,NA
"335","Los Angeles Dodgers",".321","92",".299",".127","2.0%","19.3%","8.7%","19.3%","44.3%","27.0%","0.84","24.1%","58.7%","17.2%","-6.6","-3.0%","-22.9","30%","65%","44%",2010,NA,NA
"336","Milwaukee Brewers",".344","105",".304",".161","2.9%","19.3%","8.7%","20.2%","44.0%","26.0%","0.82","25.1%","57.2%","17.7%","3.3","0.6%","46.8","29%","76%","36%",2010,NA,NA
"337","Minnesota Twins",".342","109",".306",".148","2.3%","15.5%","8.9%","17.6%","45.8%","29.0%","0.87","24.0%","59.4%","16.7%","8.2","8.8%","76.9","31%","71%","41%",2010,NA,NA
"338","New York Mets",".317","88",".287",".134","2.1%","17.8%","8.2%","18.4%","41.5%","28.5%","0.75","25.1%","58.4%","16.6%","-9.1","-4.6%","-42.6","29%","75%","42%",2010,NA,NA
"339","New York Yankees",".354","109",".300",".169","3.2%","17.8%","10.4%","18.7%","44.3%","28.7%","0.82","26.0%","57.8%","16.1%","9.1","7.1%","130.2","32%","77%","38%",2010,NA,NA
"340","Oakland Athletics",".326","94",".297",".122","1.8%","17.4%","8.6%","21.0%","41.5%","27.2%","0.73","25.5%","57.7%","16.7%","-6.4","-3.5%","-40.9","29%","80%","44%",2010,NA,NA
"341","Philadelphia Phillies",".339","98",".292",".153","2.6%","16.9%","8.9%","19.7%","44.1%","27.8%","0.81","28.3%","56.3%","15.4%","5.8","3.9%","61.8","32%","84%","39%",2010,NA,NA
"342","Pittsburgh Pirates",".310","83",".288",".131","2.1%","20.2%","7.8%","16.7%","45.6%","27.9%","0.88","26.5%","57.2%","16.3%","-10.9","-1.4%","-106.7","27%","71%","37%",2010,NA,NA
"343","San Diego Padres",".313","92",".290",".125","2.2%","19.2%","8.8%","18.4%","43.9%","25.9%","0.83","25.8%","58.3%","16.0%","-6.0","-11.1%","-13.7","29%","71%","37%",2010,NA,NA
"344","Seattle Mariners",".296","79",".282",".104","1.7%","19.8%","7.7%","19.7%","43.6%","26.0%","0.81","24.3%","58.6%","17.1%","-18.3","-2.8%","-183.2","24%","78%","36%",2010,NA,NA
"345","San Francisco Giants",".329","97",".293",".151","2.6%","17.9%","7.9%","18.4%","43.7%","28.0%","0.81","26.5%","57.2%","16.4%","-2.3","-5.4%","1.2","29%","63%","38%",2010,NA,NA
"346","St. Louis Cardinals",".331","100",".296",".139","2.4%","16.5%","8.7%","19.7%","44.9%","26.2%","0.85","24.2%","58.7%","17.1%","0.2","0.0%","41.6","31%","66%","41%",2010,NA,NA
"347","Tampa Bay Rays",".337","106",".293",".156","2.6%","20.6%","10.7%","18.5%","41.2%","30.4%","0.73","29.6%","54.8%","15.6%","7.4","5.9%","104.7","33%","79%","45%",2010,NA,NA
"348","Texas Rangers",".342","98",".307",".143","2.6%","15.7%","8.1%","18.1%","44.6%","28.4%","0.84","23.6%","59.0%","17.4%","3.1","2.5%","47.4","31%","72%","42%",2010,NA,NA
"349","Toronto Blue Jays",".341","103",".269",".206","4.2%","19.2%","7.8%","18.3%","39.4%","31.3%","0.66","28.7%","57.4%","13.8%","2.4","0.5%","36.3","30%","74%","36%",2010,NA,NA
"350","Washington Nationals",".322","90",".294",".140","2.4%","20.0%","8.3%","18.7%","45.4%","26.2%","0.89","25.8%","56.6%","17.6%","-5.6","-0.4%","-43.4","28%","73%","36%",2010,NA,NA
"351","League Average",".330","96",".297",".145","2.5%","18.5%","8.5%","18.8%","43.5%","28.1%","0.80","26.0%","57.5%","16.6%","-2","0%","2","30%","72%","40%",2010,NA,NA
"352","",".330","96",".297",".145","2.5%","18.5%","8.5%","18.8%","43.5%","28.1%","0.80","26.0%","57.5%","16.6%","-45.1","5.5%","68.8","30%","72%","40%",2010,NA,NA
"353","Arizona Diamondbacks",".330","96",".294",".163","2.8%","20.5%","8.7%","18.1%","40.6%","30.6%","0.71","28.0%","55.2%","16.8%","7.4","5.5%","64.4","31%","71%","43%",2011,NA,NA
"354","Atlanta Braves",".316","88",".284",".144","2.8%","20.4%","8.2%","14.9%","44.8%","29.3%","0.86","31.3%","51.6%","17.1%","-3.4","-5.9%","-30.1","27%","64%","46%",2011,NA,NA
"355","Baltimore Orioles",".326","96",".288",".156","3.1%","18.2%","7.3%","17.2%","43.8%","30.6%","0.80","28.0%","54.6%","17.3%","-2.3","-1.8%","-25.5","29%","76%","42%",2011,NA,NA
"356","Boston Red Sox",".358","116",".314",".181","3.2%","17.3%","9.0%","18.0%","43.2%","31.0%","0.77","29.1%","54.0%","16.8%","5.8","4.0%","137.2","33%","71%","39%",2011,NA,NA
"357","Chicago Cubs",".326","94",".301",".144","2.4%","19.6%","6.9%","20.2%","43.8%","26.4%","0.82","28.5%","54.8%","16.7%","0.5","0.3%","-12.0","28%","75%","35%",2011,NA,NA
"358","Chicago White Sox",".317","87",".280",".136","2.5%","16.1%","7.7%","18.8%","42.6%","27.3%","0.78","30.2%","52.8%","17.1%","-10.1","-5.1%","-92.7","27%","60%","37%",2011,NA,NA
"359","Cincinnati Reds",".334","99",".297",".152","2.9%","19.8%","8.5%","19.5%","43.3%","27.3%","0.80","26.9%","56.2%","16.9%","4.0","1.2%","53.8","29%","66%","42%",2011,NA,NA
"360","Cleveland Indians",".318","99",".297",".146","2.5%","20.7%","8.0%","18.8%","44.8%","27.7%","0.83","27.9%","58.0%","14.1%","-1.8","-4.2%","2.0","30%","68%","41%",2011,NA,NA
"361","Colorado Rockies",".336","87",".300",".152","2.6%","19.1%","8.8%","19.3%","43.5%","26.7%","0.82","26.0%","56.7%","17.3%","-3.9","-1.1%","12.5","30%","74%","44%",2011,NA,NA
"362","Detroit Tigers",".344","110",".318",".157","2.7%","18.3%","8.4%","19.8%","40.7%","30.2%","0.71","28.6%","53.4%","18.0%","7.0","3.7%","71.0","31%","71%","36%",2011,NA,NA
"363","Florida Marlins",".321","91",".291",".142","2.4%","20.0%","8.7%","20.2%","43.0%","25.7%","0.80","27.1%","56.0%","16.9%","-5.4","-0.5%","-51.2","26%","70%","40%",2011,NA,NA
"364","Houston Astros",".313","87",".308",".116","1.5%","18.9%","6.5%","20.0%","44.5%","25.3%","0.85","26.9%","56.2%","16.9%","-8.5","0.1%","-45.1","29%","78%","34%",2011,NA,NA
"365","Kansas City Royals",".334","104",".311",".140","2.1%","16.1%","7.1%","17.9%","44.7%","27.7%","0.84","25.4%","57.9%","16.7%","-3.5","-1.4%","7.7","31%","73%","38%",2011,NA,NA
"366","Los Angeles Angels of Anaheim",".322","103",".288",".149","2.6%","17.8%","7.3%","15.7%","43.4%","29.4%","0.81","27.3%","57.0%","15.8%","-3.2","-3.8%","-24.6","29%","72%","48%",2011,NA,NA
"367","Los Angeles Dodgers",".317","93",".299",".118","1.9%","17.8%","8.2%","18.0%","43.8%","28.0%","0.83","23.9%","57.4%","18.7%","-2.6","-1.5%","1.1","29%","76%","43%",2011,NA,NA
"368","Milwaukee Brewers",".338","102",".293",".164","3.0%","17.7%","7.9%","18.7%","44.7%","26.5%","0.85","28.6%","54.1%","17.3%","10.2","8.2%","57.0","30%","75%","41%",2011,NA,NA
"369","Minnesota Twins",".304","83",".288",".113","1.7%","17.4%","7.3%","15.5%","47.7%","26.6%","0.95","26.3%","56.6%","17.1%","-8.8","-2.4%","-90.9","29%","70%","44%",2011,NA,NA
"370","New York Mets",".332","103",".307",".127","1.7%","17.1%","9.0%","19.3%","42.3%","29.0%","0.76","27.4%","55.6%","17.1%","6.1","0.9%","60.9","30%","79%","39%",2011,NA,NA
"371","New York Yankees",".352","110",".292",".181","3.5%","18.1%","9.9%","17.7%","45.6%","27.6%","0.87","31.2%","52.4%","16.4%","5.1","3.7%","130.2","33%","76%","38%",2011,NA,NA
"372","Oakland Athletics",".311","88",".283",".125","1.9%","17.9%","8.3%","19.8%","40.9%","29.0%","0.71","28.5%","53.7%","17.9%","-11.6","-5.6%","-68.2","30%","73%","38%",2011,NA,NA
"373","Philadelphia Phillies",".329","96",".283",".142","2.4%","16.3%","8.6%","18.5%","44.3%","28.0%","0.82","30.6%","52.6%","16.8%","2.2","0.3%","46.6","30%","80%","42%",2011,NA,NA
"374","Pittsburgh Pirates",".309","89",".301",".123","1.8%","21.6%","8.1%","18.1%","44.3%","29.2%","0.84","28.1%","55.3%","16.7%","-3.0","-2.6%","-43.4","29%","68%","38%",2011,NA,NA
"375","San Diego Padres",".302","84",".294",".112","1.5%","21.7%","8.3%","17.0%","45.7%","28.2%","0.88","26.2%","56.4%","17.4%","-13.0","-3.5%","-54.1","29%","79%","43%",2011,NA,NA
"376","Seattle Mariners",".292","83",".283",".115","1.8%","21.4%","7.3%","18.0%","45.2%","27.3%","0.85","26.6%","55.9%","17.5%","-12.6","-5.1%","-127.0","27%","76%","41%",2011,NA,NA
"377","San Francisco Giants",".305","91",".281",".126","2.0%","18.4%","7.4%","16.7%","44.6%","27.4%","0.85","28.6%","54.8%","16.6%","-5.5","-6.4%","-76.2","26%","63%","41%",2011,NA,NA
"378","St. Louis Cardinals",".342","112",".305",".151","2.6%","15.7%","8.7%","19.6%","46.6%","25.1%","0.92","25.4%","56.1%","18.5%","14.8","13.4%","104.9","30%","59%","43%",2011,NA,NA
"379","Tampa Bay Rays",".328","107",".281",".159","2.8%","19.4%","9.3%","17.3%","42.9%","29.8%","0.78","29.9%","54.2%","15.9%","3.7","4.4%","10.8","30%","71%","43%",2011,NA,NA
"380","Texas Rangers",".358","112",".304",".177","3.4%","14.9%","7.6%","18.4%","44.7%","28.8%","0.84","25.7%","56.9%","17.4%","8.2","7.4%","120.7","34%","76%","44%",2011,NA,NA
"381","Toronto Blue Jays",".328","96",".283",".164","3.0%","19.1%","8.5%","17.6%","41.1%","29.3%","0.72","31.5%","52.9%","15.6%","0.7","-1.2%","1.9","31%","72%","43%",2011,NA,NA
"382","Washington Nationals",".316","88",".292",".140","2.5%","21.7%","7.7%","17.7%","45.3%","26.5%","0.88","26.7%","54.3%","18.9%","-5.3","-2.0%","-40.0","27%","74%","40%",2011,NA,NA
"383","League Average",".326","97",".295",".144","2.5%","18.6%","8.1%","18.2%","43.9%","28.0%","0.82","27.9%","55.1%","17.0%","-1","-0%","3","29%","72%","41%",2011,NA,NA
"384","",".326","97",".295",".144","2.5%","18.6%","8.1%","18.2%","43.9%","28.0%","0.82","27.9%","55.1%","17.0%","-28.6","-0.8%","102.0","29%","72%","41%",2011,NA,NA
"385","Arizona Diamondbacks",".331","97",".307",".159","2.7%","20.6%","8.8%","19.8%","41.6%","29.6%","0.74","27.1%","55.7%","17.3%","1.1","-1.0%","43.3","31%","65%","41%",2012,NA,NA
"386","Atlanta Braves",".320","88",".296",".142","2.4%","21.0%","9.3%","18.7%","44.7%","27.7%","0.85","27.8%","53.6%","18.6%","2.3","1.5%","10.6","30%","76%","43%",2012,NA,NA
"387","Baltimore Orioles",".321","95",".286",".170","3.5%","21.4%","7.8%","17.6%","44.2%","28.8%","0.82","30.2%","53.2%","16.6%","0.1","-0.1%","-20.1","29%","67%","39%",2012,NA,NA
"388","Boston Red Sox",".324","94",".301",".155","2.7%","19.4%","6.9%","18.5%","42.5%","30.3%","0.76","27.5%","54.8%","17.6%","-2.1","0.1%","3.4","32%","76%","42%",2012,NA,NA
"389","Chicago Cubs",".310","83",".286",".138","2.3%","20.7%","7.5%","19.8%","45.0%","26.8%","0.85","27.8%","54.6%","17.6%","-9.9","-1.4%","-71.1","29%","68%","44%",2012,NA,NA
"390","Chicago White Sox",".329","98",".289",".167","3.5%","19.7%","7.5%","20.3%","42.1%","27.6%","0.75","29.2%","52.2%","18.6%","0.3","-2.2%","23.9","30%","72%","39%",2012,NA,NA
"391","Cincinnati Reds",".326","91",".296",".159","2.8%","20.7%","7.9%","19.3%","42.1%","28.3%","0.77","26.3%","56.8%","16.9%","4.0","5.0%","-23.7","28%","76%","42%",2012,NA,NA
"392","Cleveland Indians",".318","101",".288",".131","2.2%","17.6%","9.0%","19.5%","46.5%","25.8%","0.89","29.7%","54.7%","15.7%","-2.6","0.9%","-28.1","28%","71%","36%",2012,NA,NA
"393","Colorado Rockies",".341","92",".321",".163","2.7%","19.6%","7.3%","20.7%","45.4%","25.1%","0.88","26.5%","56.8%","16.7%","-0.7","0.7%","22.8","32%","71%","45%",2012,NA,NA
"394","Detroit Tigers",".334","102",".307",".154","2.7%","18.0%","8.4%","19.0%","44.3%","29.3%","0.82","25.3%","55.8%","18.9%","2.4","2.4%","8.5","30%","72%","38%",2012,NA,NA
"395","Houston Astros",".307","81",".288",".135","2.4%","22.7%","7.7%","18.4%","45.0%","26.9%","0.86","28.1%","55.1%","16.8%","-13.6","-1.6%","-104.3","26%","70%","39%",2012,NA,NA
