"","Tm","IP","G","GS","R","RA9","RA9opp","RA9def","RA9role","PPFp","RA9avg","RAA","WAA","gmLI","WAAadj","WAR","RAR","waaWL%","162WL%","Salary","Year","RA9extras"
"305","Chicago Cubs","1436.2","644","162","767","4.80","4.39","-0.25","0.00","104.9","4.87","8","1.5","1.07","-0.5","13.4","128",".502",".502","$69,333,000",2010,NA
"306","Chicago White Sox","1446.1","569","162","704","4.38","4.48","-0.38","0.01","102.9","5.01","92","10.3","1.13","-0.5","24.8","249",".518",".504","$56,380,000",2010,NA
"307","Cincinnati Reds","1453.0","663","162","685","4.24","4.32","0.20","0.00","100.8","4.15","-17","-1.5","1.20","-1.3","9.7","105",".498",".500","$46,155,500",2010,NA
"308","Cleveland Indians","1433.0","632","162","752","4.72","4.58","-0.10","-0.01","95.1","4.44","-54","-5.1","1.17","-1.1","8.8","102",".492",".500","$32,437,200",2010,NA
"309","Colorado Rockies","1442.0","675","162","717","4.48","4.44","0.19","0.00","113.9","4.83","55","6.8","1.23","-1.6","17.7","177",".510",".503","$42,872,000",2010,NA
"310","Detroit Tigers","1444.1","578","162","743","4.63","4.49","0.14","-0.01","100.6","4.37","-51","-4.4","1.12","-1.3","9.3","106",".492",".500","$45,216,052",2010,NA
"311","Florida Marlins","1438.1","643","162","717","4.49","4.45","-0.12","-0.01","102.6","4.68","30","4.6","1.14","-1.3","15.6","150",".507",".503","$26,720,219",2010,NA
"312","Houston Astros","1439.1","669","162","729","4.56","4.47","-0.17","0.01","99.0","4.59","3","1.2","1.01","-0.8","12.8","124",".502",".502","$36,894,000",2010,NA
"313","Kansas City Royals","1436.2","603","162","845","5.29","4.56","-0.63","-0.02","100.5","5.20","-23","-1.7","1.20","-0.1","13.2","133",".497",".502","$39,281,710",2010,NA
"314","Los Angeles Angels of Anaheim","1449.1","572","162","702","4.36","4.44","-0.09","0.01","96.6","4.38","-5","0.2","1.10","-1.1","14.2","152",".500",".500","$51,503,000",2010,NA
"315","Los Angeles Dodgers","1441.2","636","162","692","4.32","4.43","-0.38","0.00","96.8","4.65","51","6.6","1.13","-1.1","18.0","172",".510",".502","$37,637,833",2010,NA
"316","Milwaukee Brewers","1439.0","657","162","804","5.03","4.35","0.05","-0.01","100.1","4.29","-120","-11.7","1.06","-0.9","-0.1","1",".482",".497","$51,272,778",2010,NA
"317","Minnesota Twins","1452.2","627","162","671","4.16","4.47","-0.08","0.00","97.7","4.45","38","4.5","1.13","-0.8","18.8","196",".507",".503","$22,742,500",2010,NA
"318","New York Mets","1453.0","653","162","652","4.04","4.47","0.17","0.00","97.0","4.17","20","2.9","1.17","-1.5","13.9","142",".504",".502","$55,052,373",2010,NA
"319","New York Yankees","1442.1","592","162","693","4.32","4.48","0.28","-0.01","104.1","4.37","-2","0.5","1.11","-0.6","14.9","155",".501",".501","$86,882,989",2010,NA
"320","Oakland Athletics","1431.2","585","162","626","3.94","4.45","0.36","0.01","98.9","4.04","9","1.4","1.09","-0.6","15.7","164",".502",".501","$18,797,400",2010,NA
"321","Philadelphia Phillies","1456.1","613","162","640","3.96","4.41","-0.03","0.02","101.4","4.51","88","11.0","1.01","-0.9","22.7","211",".518",".504","$62,764,333",2010,NA
"322","Pittsburgh Pirates","1411.2","679","162","866","5.52","4.47","-0.50","-0.02","100.5","4.98","-88","-7.8",".90","-0.7","3.7","31",".488",".500","$18,991,500",2010,NA
"323","San Diego Padres","1456.1","661","162","581","3.59","4.36","0.40","-0.01","92.1","3.64","5","1.2","1.16","-0.9","12.9","128",".502",".502","$22,985,400",2010,NA
"324","Seattle Mariners","1438.0","520","162","698","4.37","4.55","0.08","0.02","95.0","4.27","-25","-1.2","1.18","-1.1","12.7","131",".498",".500","$28,124,000",2010,NA
"325","San Francisco Giants","1461.0","638","162","583","3.59","4.37","0.19","0.01","97.8","4.10","80","9.0","1.22","-0.6","21.1","203",".514",".504","$48,470,833",2010,NA
"326","St. Louis Cardinals","1453.2","617","162","641","3.97","4.36","0.20","0.01","96.9","4.03","8","2.3","1.07","-1.1","13.7","131",".504",".502","$47,855,971",2010,NA
"327","Tampa Bay Rays","1453.2","653","162","649","4.02","4.49","0.33","0.00","94.7","3.94","-22","-1.5","1.16","-0.9","12.8","137",".498",".500","$24,641,171",2010,NA
"328","Texas Rangers","1455.1","643","162","687","4.25","4.37","-0.05","-0.02","107.5","4.72","68","7.9","1.28","-0.2","22.9","226",".512",".504","$24,146,470",2010,NA
"329","Toronto Blue Jays","1440.2","617","162","728","4.55","4.61","0.00","-0.01","101.3","4.66","9","1.5","1.13","-0.8","15.7","165",".502",".502","$16,895,800",2010,NA
"330","Washington Nationals","1435.0","656","162","742","4.65","4.40","-0.01","-0.02","100.0","4.39","-44","-3.8","1.09","-1.4","7.3","77",".494",".501","$24,448,000",2010,NA
"331","Arizona Diamondbacks","1443.1","625","162","662","4.13","4.10","0.35","0.01","103.0","3.87","-44","-3.4","1.08","-0.8","8.2","71",".495",".501","$20,662,000",2011,NA
"332","Atlanta Braves","1479.2","672","162","605","3.68","4.16","0.15","-0.01","99.3","3.97","45","5.6","1.34","0.0","18.2","163",".508",".504","$39,600,440",2011,NA
"333","Baltimore Orioles","1446.2","640","162","860","5.35","4.62","0.01","-0.04","103.5","4.73","-106","-9.7","1.04","-1.0","4.5","49",".485",".499","$24,526,500",2011,NA
"334","Boston Red Sox","1457.1","606","162","737","4.55","4.51","0.24","-0.02","105.3","4.48","-18","-0.3","1.04","-1.1","13.8","138",".500",".501","$80,095,333",2011,NA
"335","Chicago Cubs","1434.1","657","162","756","4.74","4.22","-0.15","-0.01","102.5","4.48","-45","-4.4","1.12","-0.8","7.1","70",".493",".500","$53,805,333",2011,NA
"336","Chicago White Sox","1460.0","572","162","706","4.35","4.51","0.01","0.01","106.2","4.78","64","7.2","1.25","-0.5","21.8","220",".513",".503","$61,210,000",2011,NA
"337","Cincinnati Reds","1467.2","663","162","720","4.42","4.22","0.30","-0.01","102.5","4.01","-68","-6.4","1.19","-0.8","5.5","49",".490",".500","$35,204,438",2011,NA
"338","Cleveland Indians","1453.1","644","162","760","4.71","4.46","-0.26","-0.01","96.7","4.55","-32","-2.5","1.19","-0.3","12.2","123",".496",".501","$14,931,900",2011,NA
"339","Colorado Rockies","1447.2","679","162","774","4.81","4.19","0.07","-0.01","118.0","4.85","3","1.5","1.16","-1.2","12.7","119",".502",".502","$44,365,000",2011,NA
"340","Detroit Tigers","1440.0","583","162","711","4.44","4.39","0.10","0.00","101.4","4.36","-20","-0.6","1.13","-0.7","13.6","134",".499",".501","$35,021,000",2011,NA
"341","Florida Marlins","1459.2","670","162","702","4.33","4.22","-0.36","-0.01","101.3","4.62","45","5.9","1.20","-1.3","17.1","162",".509",".502","$33,748,000",2011,NA
"342","Houston Astros","1435.0","665","162","796","4.99","4.28","0.12","0.00","99.6","4.14","-139","-13.8","1.03","-0.8","-2.3","-24",".479",".497","$25,140,500",2011,NA
"343","Kansas City Royals","1451.1","582","162","762","4.73","4.48","0.05","-0.02","100.9","4.45","-51","-4.2","1.31","-1.0","9.9","104",".493",".501","$18,458,000",2011,NA
"344","Los Angeles Angels of Anaheim","1465.0","548","162","633","3.89","4.47","0.21","0.02","92.1","3.94","2","1.3","1.39","-1.6","14.9","158",".502",".502","$64,933,000",2011,NA
"345","Los Angeles Dodgers","1432.0","622","161","612","3.85","4.13","-0.05","0.01","96.7","4.05","30","4.2","1.05","-0.5","15.9","145",".507",".502","$47,474,390",2011,NA
"346","Milwaukee Brewers","1441.2","596","162","638","3.98","4.20","0.19","0.01","103.8","4.17","27","3.3","1.07","-0.9","14.8","143",".505",".502","$41,624,000",2011,NA
"347","Minnesota Twins","1421.2","619","162","804","5.09","4.55","-0.35","0.00","99.2","4.86","-43","-3.9","1.18","-1.5","9.3","109",".494",".499","$54,355,500",2011,NA
"348","New York Mets","1448.0","676","162","742","4.61","4.17","-0.40","0.00","96.7","4.41","-34","-3.3","1.21","-1.5","7.6","82",".495",".498","$27,916,166",2011,NA
"349","New York Yankees","1458.1","627","162","657","4.05","4.53","0.21","-0.01","104.7","4.51","68","8.1","1.27","0.3","23.5","224",".513",".505","$74,940,764",2011,NA
"350","Oakland Athletics","1447.2","622","162","679","4.22","4.51","-0.19","0.00","97.8","4.59","54","6.2","1.08","-0.9","20.4","208",".510",".502","$24,016,500",2011,NA
"351","Philadelphia Phillies","1477.0","556","162","529","3.22","4.15","-0.31","0.02","99.5","4.46","201","24.4","1.18","-0.6","36.5","319",".544",".509","$94,287,333",2011,NA
"352","Pittsburgh Pirates","1449.1","711","162","712","4.42","4.27","-0.26","-0.02","97.2","4.38","-9","-0.4","1.21","-1.3","10.8","107",".499",".501","$18,226,500",2011,NA
"353","San Diego Padres","1449.1","651","162","611","3.79","4.14","0.11","0.00","93.6","3.77","-7","-0.5","1.16","-0.9","11.1","110",".499",".501","$20,693,140",2011,NA
"354","Seattle Mariners","1433.0","513","162","675","4.24","4.55","0.04","0.02","91.7","4.15","-20","-1.2","1.06","-1.3","12.3","132",".498",".501","$22,252,100",2011,NA
"355","San Francisco Giants","1468.0","642","162","578","3.54","4.18","0.19","0.00","92.1","3.69","21","2.8","1.28","-0.9","14.4","139",".504",".502","$63,201,833",2011,NA
"356","St. Louis Cardinals","1462.0","630","162","692","4.26","4.18","-0.07","0.01","97.2","4.13","-23","-2.0","1.35","-0.9","9.6","94",".497",".501","$47,038,903",2011,NA
"357","Tampa Bay Rays","1449.0","600","162","614","3.81","4.58","0.34","0.03","93.2","3.98","20","2.8","1.04","-1.0","16.7","175",".505",".501","$15,730,371",2011,NA
"358","Texas Rangers","1441.1","579","162","677","4.23","4.42","0.06","0.01","106.6","4.66","63","7.1","1.11","-1.2","20.9","217",".512",".503","$27,021,110",2011,NA
"359","Toronto Blue Jays","1458.2","636","162","761","4.70","4.60","-0.06","-0.01","104.4","4.85","18","3.0","1.11","-1.5","16.7","174",".505",".502","$25,926,500",2011,NA
"360","Washington Nationals","1449.1","664","161","643","3.99","4.16","0.15","-0.01","100.2","4.00","-2","0.3","1.28","-0.4","12.4","115",".500",".501","$27,575,000",2011,NA
"361","Arizona Diamondbacks","1433.2","623","162","688","4.32","4.33","0.10","0.01","102.8","4.35","-7","-0.1","1.01","-0.6","11.7","121",".500",".502","$24,473,333",2012,NA
"362","Atlanta Braves","1445.1","622","162","600","3.74","4.27","0.56","0.00","101.3","3.75","-9","-0.1","1.13","-0.3","12.1","120",".500",".502","$27,968,000",2012,NA
"363","Baltimore Orioles","1483.0","654","162","705","4.28","4.49","-0.06","-0.01","102.5","4.66","62","7.7","1.16","-0.5","22.7","213",".512",".504","$26,939,000",2012,NA
"364","Boston Red Sox","1443.0","651","162","806","5.03","4.47","0.38","-0.01","102.9","4.20","-132","-12.1","1.15","-2.6","0.3","15",".481",".497","$38,419,000",2012,NA
"365","Chicago Cubs","1413.2","655","162","759","4.83","4.34","-0.02","-0.01","103.1","4.49","-65","-5.5",".90","-1.0","5.7","61",".492",".500","$44,517,500",2012,NA
"366","Chicago White Sox","1445.2","628","162","676","4.21","4.44","0.04","0.01","104.1","4.58","61","7.6","1.25","-0.9","21.7","208",".512",".504","$51,490,000",2012,NA
"367","Cincinnati Reds","1453.0","587","162","588","3.64","4.30","0.21","0.02","103.8","4.26","87","9.9","1.32","-0.3","22.1","217",".517",".505","$29,667,000",2012,NA
"368","Cleveland Indians","1442.0","655","162","845","5.27","4.44","-0.33","-0.01","95.4","4.53","-118","-11.4","1.08","-1.0","2.6","28",".483",".499","$38,600,500",2012,NA
"369","Colorado Rockies","1422.0","737","162","890","5.63","4.40","-0.68","-0.06","116.1","5.83","19","2.8","1.05","-0.7","14.5","146",".504",".503","$30,441,000",2012,NA
"370","Detroit Tigers","1430.2","582","162","670","4.21","4.48","-0.21","0.01","104.5","4.91","111","13.0","1.17","-1.6","26.2","257",".522",".505","$49,564,500",2012,NA
"371","Houston Astros","1423.1","703","162","794","5.02","4.38","-0.36","-0.01","102.4","4.83","-41","-3.8","1.03","-0.6","8.0","86",".495",".500","$12,777,000",2012,NA
"372","Kansas City Royals","1451.1","662","162","746","4.63","4.53","0.00","-0.02","101.6","4.58","-7","0.5","1.19","-0.8","14.8","141",".501",".502","$25,729,950",2012,NA
"373","Los Angeles Angels of Anaheim","1433.1","606","162","699","4.39","4.46","0.27","0.02","93.3","3.92","-74","-7.0","1.04","-1.1","6.8","72",".489",".498","$63,601,000",2012,NA
"374","Los Angeles Dodgers","1449.2","668","162","597","3.71","4.43","-0.10","0.01","95.5","4.33","89","10.3","1.16","-0.5","22.3","218",".515",".504","$58,313,100",2012,NA
"375","Miami Marlins","1440.2","645","162","724","4.52","4.34","-0.40","0.01","103.0","4.90","48","5.8","1.19","-1.3","16.9","177",".509",".501","$65,915,000",2012,NA
"376","Milwaukee Brewers","1453.2","674","162","733","4.54","4.21","0.10","-0.01","104.4","4.28","-53","-5.1","1.10","-1.4","6.2","76",".492",".497","$52,074,000",2012,NA
"377","Minnesota Twins","1438.2","661","162","832","5.20","4.47","0.13","-0.03","100.7","4.34","-138","-12.9","1.07","-1.3","0.7","8",".480",".498","$31,970,000",2012,NA
"378","New York Mets","1434.0","667","162","709","4.45","4.30","-0.20","0.01","96.7","4.36","-26","-1.6","1.01","-0.9","9.9","102",".498",".500","$51,663,000",2012,NA
"379","New York Yankees","1445.1","647","162","668","4.16","4.45","0.08","0.01","103.1","4.52","59","7.0","1.17","-0.7","21.2","206",".511",".503","$75,911,125",2012,NA
"380","Oakland Athletics","1470.0","624","162","614","3.76","4.54","0.06","-0.01","95.0","4.25","81","9.3","1.17","-1.0","23.5","230",".515",".504","$21,900,000",2012,NA
"381","Philadelphia Phillies","1451.1","602","162","680","4.22","4.28","0.10","0.02","102.2","4.29","0","0.6","1.20","-1.1","12.0","130",".501",".501","$85,590,058",2012,NA
"382","Pittsburgh Pirates","1433.1","645","162","674","4.23","4.25","-0.15","-0.01","96.0","4.22","-15","-1.0","1.12","-0.5","10.9","113",".498",".501","$49,673,500",2012,NA
"383","San Diego Padres","1434.2","691","162","710","4.45","4.35","-0.08","-0.01","91.3","4.03","-79","-7.4","1.21","-0.7","4.3","49",".489",".500","$22,363,300",2012,NA
"384","Seattle Mariners","1456.2","613","162","651","4.02","4.60","0.03","0.01","93.4","4.28","41","4.9","1.20","-1.2","18.7","189",".508",".502","$34,968,100",2012,NA
"385","San Francisco Giants","1451.0","688","162","649","4.03","4.29","0.05","0.01","89.4","3.79","-50","-4.7","1.19","-0.1","7.7","80",".493",".499","$80,279,350",2012,NA
"386","St. Louis Cardinals","1462.2","668","162","648","3.99","4.20","0.07","0.01","96.9","4.01","-8","-0.5","1.20","-0.5","11.6","123",".499",".501","$50,315,000",2012,NA
"387","Tampa Bay Rays","1459.2","633","162","577","3.56","4.47","0.20","0.01","95.1","4.07","84","9.6","1.13","-0.6","24.1","232",".515",".505","$27,223,700",2012,NA
"388","Texas Rangers","1442.0","590","162","707","4.41","4.48","-0.05","0.01","105.2","4.78","59","7.1","1.08","-0.9","21.2","206",".512",".504","$44,266,800",2012,NA
"389","Toronto Blue Jays","1443.2","657","162","784","4.89","4.51","0.31","-0.01","103.2","4.32","-91","-8.3","1.01","-0.5","6.3","56",".487",".500","$29,963,700",2012,NA
"390","Washington Nationals","1468.1","644","162","594","3.64","4.23","-0.08","-0.01","102.0","4.39","110","12.6","1.21","-1.5","23.8","241",".520",".505","$38,940,750",2012,NA
"391","Arizona Diamondbacks","1495.0","689","162","695","4.18","4.11","0.34","0.00","102.3","3.85","-58","-5.9","1.26","-1.9","5.6","64",".491",".499","$35,279,000",2013,NA
"392","Atlanta Braves","1450.1","628","162","548","3.40","3.93","0.14","0.01","100.4","3.81","63","7.7","1.14","-0.7","19.9","182",".512",".504","$33,343,750",2013,NA
"393","Baltimore Orioles","1453.0","635","162","709","4.39","4.43","0.15","-0.01","101.7","4.34","-34","-3.1","1.23","-0.8","10.5","129",".495",".501","$34,252,500",2013,NA
"394","Boston Red Sox","1454.0","612","162","656","4.06","4.34","0.24","0.01","103.0","4.24","2","1.2","1.16","-0.5","15.1","166",".502",".502","$91,293,000",2013,NA
"395","Chicago Cubs","1448.0","651","162","689","4.28","4.13","0.01","0.00","102.5","4.22","-12","-0.8","1.11","-1.4","10.7","106",".499",".500","$43,321,000",2013,NA
"396","Chicago White Sox","1455.0","632","162","723","4.47","4.38","-0.35","0.01","105.2","4.98","56","7.1","1.41","-0.6","20.8","220",".511",".503","$30,920,400",2013,NA
"397","Cincinnati Reds","1473.2","623","162","589","3.60","4.07","0.13","0.01","101.0","3.99","62","7.5","1.23","-0.9","19.7","182",".512",".503","$50,848,035",2013,NA
"398","Cleveland Indians","1441.1","702","162","662","4.13","4.23","-0.12","-0.01","96.5","4.19","-17","-1.1","1.10","-1.4","11.7","145",".498",".500","$39,942,733",2013,NA
"399","Colorado Rockies","1436.0","665","162","760","4.76","4.11","-0.19","-0.02","117.9","5.05","43","6.4","1.11","-1.1","18.2","160",".510",".504","$28,899,000",2013,NA
"400","Detroit Tigers","1462.2","590","162","624","3.84","4.24","-0.32","0.02","104.1","4.76","124","14.6","1.16","-1.2","27.7","288",".525",".507","$60,817,000",2013,NA
"401","Houston Astros","1440.0","609","162","848","5.30","4.48","-0.37","-0.01","100.4","4.85","-98","-9.1","1.27","-1.5","3.7","64",".485",".497","$4,918,000",2013,NA
"402","Kansas City Royals","1448.1","589","162","601","3.73","4.37","0.40","0.01","103.3","4.11","34","4.4","1.38","-1.0","17.7","197",".507",".502","$47,259,300",2013,NA
"403","Los Angeles Angels of Anaheim","1457.2","658","162","737","4.55","4.36","-0.46","0.00","93.6","4.50","-34","-2.6","1.21","-1.3","10.5","130",".496",".500","$53,969,000",2013,NA
"404","Los Angeles Dodgers","1450.1","666","162","582","3.61","4.11","0.10","0.00","95.8","3.85","35","5.9","1.21","-0.6","18.2","154",".509",".504","$116,411,500",2013,NA
"405","Miami Marlins","1460.0","633","162","646","3.98","4.08","-0.04","-0.01","103.0","4.24","39","5.7","1.22","-0.5","18.3","157",".509",".504","$7,978,900",2013,NA
"406","Milwaukee Brewers","1442.2","663","162","687","4.29","4.10","0.27","-0.01","102.7","3.93","-60","-5.7","1.11","-1.9","5.3","57",".491",".498","$35,066,000",2013,NA
"407","Minnesota Twins","1450.1","673","162","788","4.89","4.36","-0.24","-0.02","102.5","4.68","-60","-5.2","1.10","-1.3","7.8","103",".492",".501","$18,847,500",2013,NA
"408","New York Mets","1476.2","696","162","684","4.17","3.97","-0.14","0.00","95.5","3.92","-43","-3.8","1.24","-1.6","7.7","77",".494",".499","$22,598,765",2013,NA
"409","New York Yankees","1447.1","590","162","671","4.17","4.46","0.08","0.01","100.3","4.40","10","1.8","1.14","-0.6","15.6","173",".503",".502","$78,788,900",2013,NA
"410","Oakland Athletics","1452.0","609","162","625","3.87","4.34","-0.29","0.00","96.2","4.46","68","7.8","1.11","-1.0","21.2","231",".513",".504","$20,142,500",2013,NA
"411","Philadelphia Phillies","1436.1","628","162","749","4.69","4.00","-0.58","0.00","100.1","4.58","-20","-0.8","1.03","-0.9","11.0","97",".499",".502","$93,492,000",2013,NA
"412","Pittsburgh Pirates","1470.2","627","162","577","3.53","4.11","0.24","-0.01","95.4","3.67","20","3.2","1.16","-0.8","15.6","139",".505",".503","$43,427,000",2013,NA
"413","San Diego Padres","1455.0","650","162","700","4.33","4.07","-0.09","0.00","92.2","3.83","-84","-8.2","1.08","-1.0","3.8","35",".487",".499","$26,239,600",2013,NA
"414","Seattle Mariners","1465.0","610","162","754","4.63","4.43","-0.61","0.00","91.5","4.60","-31","-1.8","1.33","-1.1","11.5","134",".497",".500","$45,896,700",2013,NA
"415","San Francisco Giants","1447.1","686","162","691","4.30","4.09","0.02","0.00","92.7","3.77","-88","-7.9","1.24","-0.9","4.1","30",".488",".499","$89,533,000",2013,NA
"416","St. Louis Cardinals","1459.2","645","162","596","3.67","4.00","-0.22","0.01","100.5","4.24","89","11.2","1.16","-1.0","23.2","208",".517",".505","$35,173,000",2013,NA
"417","Tampa Bay Rays","1464.0","648","163","646","3.97","4.39","0.17","0.00","97.5","4.12","-2","0.4","1.17","-1.8","13.1","162",".501",".500","$25,775,200",2013,NA
"418","Texas Rangers","1463.1","638","163","636","3.91","4.39","0.20","0.00","101.9","4.27","32","4.7","1.22","0.1","19.3","197",".507",".504","$53,092,500",2013,NA
"419","Toronto Blue Jays","1452.0","649","162","756","4.69","4.44","-0.01","-0.02","102.5","4.54","-49","-4.2","1.13","-1.0","9.2","114",".494",".501","$64,597,500",2013,NA
"420","Washington Nationals","1445.2","602","162","626","3.90","3.96","0.01","0.01","100.8","4.00","13","2.2","1.07","-1.5","13.6","131",".504",".501","$52,918,000",2013,NA
"421","Arizona Diamondbacks","1444.1","650","162","742","4.62","4.08","0.12","-0.01","102.1","4.04","-87","-9.1","1.12","-1.4","2.5","20",".486",".498","$36,336,500",2014,NA
"422","Atlanta Braves","1455.0","634","162","597","3.69","4.01","-0.07","0.01","97.2","3.98","54","6.5","1.24","-0.9","18.6","161",".510",".503","$34,813,750",2014,NA
"423","Baltimore Orioles","1461.1","641","162","593","3.65","4.15","0.37","0.00","103.2","3.89","21","2.6","1.30","-0.7","16.4","172",".504",".502","$35,390,000",2014,NA
"424","Boston Red Sox","1465.2","655","162","715","4.39","4.20","0.35","0.00","103.5","3.99","-84","-8.2","1.21","-1.2","5.1","67",".488",".499","$32,882,000",2014,NA
"425","Chicago Cubs","1463.1","699","162","707","4.35","4.01","-0.26","-0.02","102.9","4.37","12","3.3","1.10","-0.6","15.8","120",".505",".501","$36,178,000",2014,NA
"426","Chicago White Sox","1441.0","615","162","758","4.73","4.24","-0.27","0.00","98.9","4.46","-62","-4.5","1.29","-1.2","8.5","87",".493",".500","$49,167,500",2014,NA
"427","Cincinnati Reds","1446.0","590","162","612","3.81","3.99","0.32","0.02","100.7","3.71","-9","-0.1","1.17","-0.3","12.5","98",".500",".501","$52,257,500",2014,NA
"428","Cleveland Indians","1468.1","735","162","653","4.00","4.24","-0.30","-0.01","102.1","4.63","85","10.6","1.20","-0.9","24.3","236",".514",".505","$13,537,933",2014,NA
"429","Colorado Rockies","1431.0","709","162","818","5.14","4.04","-0.03","-0.02","115.0","4.65","-71","-7.4","1.13","-1.6","3.9","35",".490",".498","$43,545,500",2014,NA
"430","Detroit Tigers","1454.0","635","162","705","4.36","4.20","-0.38","0.01","100.9","4.63","25","4.0","1.05","-1.1","17.2","175",".506",".502","$82,103,500",2014,NA
"431","Houston Astros","1438.2","600","162","723","4.52","4.28","0.07","0.01","100.2","4.22","-66","-6.2","1.17","-1.7","6.2","82",".490",".499","$23,091,400",2014,NA
"432","Kansas City Royals","1450.2","613","162","624","3.87","4.27","0.15","0.01","103.2","4.27","46","6.8","1.10","0.7","21.7","196",".511",".505","$45,877,000",2014,NA
"433","Los Angeles Angels of Anaheim","1482.2","705","162","630","3.82","4.18","-0.08","-0.01","93.9","3.99","9","1.9","1.13","-1.0","15.6","162",".503",".502","$53,144,500",2014,NA
"434","Los Angeles Dodgers","1464.2","658","162","617","3.79","4.01","-0.01","0.00","95.6","3.84","15","3.5","1.04","-0.9","15.6","123",".505",".501","$101,349,526",2014,NA
"435","Miami Marlins","1457.2","649","162","674","4.16","3.98","-0.18","-0.01","100.3","4.16","8","1.9","1.23","-0.8","14.1","115",".503",".502","$10,953,900",2014,NA
"436","Milwaukee Brewers","1457.2","640","162","657","4.06","3.98","-0.01","0.01","102.9","4.11","16","2.3","1.13","-1.1","14.3","124",".504",".501","$57,169,000",2014,NA
"437","Minnesota Twins","1435.0","653","162","777","4.87","4.21","-0.48","-0.01","102.5","4.79","-30","-2.4","1.09","-1.7","10.1","118",".496",".501","$43,272,500",2014,NA
"438","New York Mets","1463.2","651","162","618","3.80","3.98","0.10","0.00","93.9","3.65","-18","-1.7","1.22","-1.7","9.6","90",".497",".500","$28,961,100",2014,NA
"439","New York Yankees","1453.0","637","162","664","4.11","4.18","0.04","0.00","100.3","4.15","-12","0.1","1.29","-0.8","13.7","138",".500",".502","$85,166,550",2014,NA
"440","Oakland Athletics","1463.1","603","162","572","3.52","4.22","0.17","0.01","96.2","3.91","45","5.4","1.15","-1.2","18.6","196",".509",".503","$52,965,900",2014,NA
"441","Philadelphia Phillies","1468.1","623","162","687","4.21","4.03","-0.13","0.01","101.2","4.22","9","2.2","1.17","-0.2","15.1","117",".503",".501","$99,382,467",2014,NA
"442","Pittsburgh Pirates","1456.1","614","162","631","3.90","3.94","0.18","0.00","98.3","3.69","-26","-2.3","1.24","-0.4","10.3","81",".496",".501","$40,642,500",2014,NA
"443","San Diego Padres","1438.2","643","162","577","3.61","4.10","0.24","0.00","92.5","3.57","1","0.5","1.04","-0.7","12.7","107",".501",".501","$31,646,100",2014,NA
"444","Seattle Mariners","1452.0","660","162","554","3.43","4.25","0.12","0.00","94.6","3.90","58","7.0","1.12","-1.8","19.6","208",".511",".503","$43,809,000",2014,NA
"445","San Francisco Giants","1449.0","637","162","614","3.81","4.03","0.09","0.00","94.7","3.73","-7","-0.2","1.03","-0.8","12.0","100",".500",".501","$93,450,000",2014,NA
"446","St. Louis Cardinals","1448.2","647","162","603","3.75","3.96","0.22","0.00","99.3","3.72","3","1.4","1.29","-0.9","13.4","110",".502",".502","$69,158,500",2014,NA
"447","Tampa Bay Rays","1463.2","656","162","625","3.84","4.18","-0.09","-0.01","97.6","4.16","33","4.3","1.17","-1.0","17.8","184",".507",".502","$40,857,000",2014,NA
"448","Texas Rangers","1426.1","638","162","773","4.88","4.30","-0.18","-0.01","103.5","4.63","-57","-4.6","1.04","-1.4","8.1","90",".493",".500","$42,434,145",2014,NA
"449","Toronto Blue Jays","1443.0","611","162","686","4.28","4.12","-0.22","0.00","99.3","4.31","-13","-0.6","1.09","-1.3","12.4","136",".499",".501","$58,144,800",2014,NA
"450","Washington Nationals","1470.2","620","162","555","3.40","3.97","0.05","0.00","101.2","3.97","101","12.4","1.17","-1.0","24.5","209",".520",".504","$59,088,200",2014,NA
"451","Arizona Diamondbacks","1466.2","712","162","713","4.38","4.24","0.34","-0.02","105.0","4.07","-50","-4.7","1.16","-0.8","7.7","72",".493",".500","$25,058,500",2015,NA
"452","Atlanta Braves","1425.1","694","162","760","4.80","4.27","-0.28","0.00","97.9","4.47","-53","-4.8","1.23","-0.5","7.4","66",".493",".500","$24,943,750",2015,NA
"453","Baltimore Orioles","1434.2","615","162","693","4.35","4.46","0.12","-0.01","102.4","4.44","-7","0.0","1.06","-0.1","14.2","150",".500",".502","$51,954,000",2015,NA
"454","Boston Red Sox","1448.1","637","162","753","4.68","4.47","-0.04","0.00","106.9","4.82","2","1.0","1.13","-1.3","14.2","160",".502",".500","$56,247,500",2015,NA
"455","Chicago Cubs","1461.1","714","162","608","3.74","4.14","0.01","0.00","97.2","4.02","44","5.9","1.24","-1.4","17.6","167",".508",".503","$72,826,300",2015,NA
"456","Chicago White Sox","1452.2","576","162","701","4.34","4.37","-0.09","0.02","97.9","4.38","-15","-1.0","1.16","-0.9","12.4","143",".498",".500","$78,583,700",2015,NA
"457","Cincinnati Reds","1453.1","683","162","754","4.67","4.16","-0.06","-0.01","100.8","4.25","-69","-6.1","1.08","-1.1","5.9","53",".491",".500","$50,967,286",2015,NA
"458","Cleveland Indians","1432.2","637","161","640","4.02","4.38","0.09","0.01","107.0","4.60","71","9.1",".93","-1.4","21.8","227",".514",".503","$22,342,600",2015,NA
"459","Colorado Rockies","1426.1","746","162","844","5.33","4.24","-0.23","-0.02","116.9","5.20","-20","-1.3","1.06","-1.3","10.3","99",".498",".500","$34,316,000",2015,NA
