"","Tm","IP","G","GS","R","RA9","RA9opp","RA9def","RA9role","PPFp","RA9avg","RAA","WAA","gmLI","WAAadj","WAR","RAR","waaWL%","162WL%","Salary","Year","RA9extras"
"51","Oakland Athletics","1463.1","578","162","645","3.97","5.00","0.12","0.01","96.7","4.74","118","12.2","1.36","-0.7","26.7","291",".521",".505","$13,868,167",2001,NA
"52","Philadelphia Phillies","1445.1","635","162","719","4.48","4.64","0.26","0.00","96.3","4.22","-43","-4.0","1.37","-1.7","6.8","87",".494",".499","$16,028,333",2001,NA
"53","Pittsburgh Pirates","1416.1","572","162","858","5.45","4.85","-0.02","-0.01","104.3","5.06","-62","-5.4","1.05","-1.1","5.8","65",".491",".499","$16,830,000",2001,NA
"54","San Diego Padres","1440.2","584","162","812","5.07","4.90","-0.29","0.00","92.4","4.80","-45","-3.7","1.12","-0.8","8.0","85",".494",".500","$21,475,833",2001,NA
"55","Seattle Mariners","1465.0","553","162","627","3.85","4.96","0.64","0.01","92.9","4.02","20","2.4","1.38","-0.8","16.8","193",".504",".502","$29,440,000",2001,NA
"56","San Francisco Giants","1463.1","601","162","748","4.60","4.88","0.04","0.01","91.9","4.45","-25","-1.9","1.24","0.1","10.8","107",".497",".501","$26,836,667",2001,NA
"57","St. Louis Cardinals","1435.1","646","162","684","4.29","4.71","0.38","0.00","100.5","4.35","9","2.2","1.08","-0.9","13.7","138",".503",".502","$33,396,667",2001,NA
"58","Tampa Bay Devil Rays","1423.2","532","162","887","5.61","4.93","-0.18","0.00","98.3","5.01","-101","-8.9",".95","-0.9","5.0","67",".483",".498","$7,975,000",2001,NA
"59","Texas Rangers","1438.1","572","162","968","6.06","5.07","-0.30","-0.01","102.7","5.49","-98","-8.6","1.10","0.0","6.3","72",".485",".499","$25,290,000",2001,NA
"60","Toronto Blue Jays","1462.2","633","162","753","4.63","4.89","-0.02","-0.01","100.9","4.95","43","4.7","1.33","-0.7","19.3","216",".507",".503","$25,514,666",2001,NA
"61","Anaheim Angels","1452.1","562","162","644","3.99","4.90","0.61","0.01","99.1","4.26","38","4.1","1.32","-0.9","18.4","205",".507",".502","$26,744,167",2002,NA
"62","Arizona Diamondbacks","1446.2","584","162","674","4.19","4.61","-0.03","0.04","109.5","5.12","144","17.0","1.16","-0.4","29.0","270",".529",".508","$59,772,499",2002,NA
