"","Tm","X.Fld","RA.G","DefEff","G","GS","CG","Inn","Ch","PO","A","E","DP","Fld.","Rtot","Rtot.yr","Year","Rdrs","Rdrs.yr","Rgood"
"679","New York Yankees","54","3.50",".720","162","1458","1092","13065.0","5902","4355","1473","74","102",".987","69","6",2022,"129","1","4"
"680","Oakland Athletics","64","4.75",".697","162","1458","1036","12837.0","5837","4279","1466","92","139",".984","-43","-4",2022,"-29","0","-7"
"681","Philadelphia Phillies","56","4.23",".687","162","1458","1104","12855.0","5770","4285","1416","69","129",".988","-40","-4",2022,"-34","0","0"
"682","Pittsburgh Pirates","68","5.04",".677","162","1458","1060","12789.0","5891","4263","1507","121","152",".979","-54","-5",2022,"-1","0","3"
"683","San Diego Padres","55","4.07",".705","162","1458","1081","12990.0","5768","4330","1362","76","116",".987","-5","0",2022,"6","-2","1"
"684","Seattle Mariners","59","3.85",".710","162","1458","1088","13023.0","5727","4341","1317","69","114",".988","18","2",2022,"38","0","4"
"685","San Francisco Giants","65","4.30",".674","162","1458","870","12897.0","5945","4299","1546","100","130",".983","-56","-5",2022,"-52","-1","5"
"686","St. Louis Cardinals","51","3.93",".702","162","1458","1041","12921.0","6074","4307","1701","66","181",".989","46","4",2022,"70","5","10"
"687","Tampa Bay Rays","61","3.79",".708","162","1458","1067","12921.0","5777","4307","1386","84","110",".985","6","1",2022,"14","0","-6"
"688","Texas Rangers","55","4.59",".693","162","1458","1137","12915.0","5929","4305","1528","96","143",".984","1","0",2022,"3","0","-10"
"689","Toronto Blue Jays","51","4.19",".691","162","1458","1065","12972.0","5754","4324","1348","82","120",".986","7","1",2022,"43","0","4"
"690","Washington Nationals","54","5.28",".687","162","1458","1163","12705.0","5749","4235","1410","104","126",".982","-43","-4",2022,"-47","-1","-7"
"691","Arizona Diamondbacks","53","4.70",".695","162","1458","1071","12918.0","5761","4306","1399","56","134",".990","43","4",2023,"46","0","9"
"692","Atlanta Braves","51","4.42",".685","162","1458","1210","12960.0","5741","4320","1339","82","133",".986","21","2",2023,"16","0","2"
"693","Baltimore Orioles","50","4.19",".696","162","1458","991","13083.0","5876","4361","1444","71","140",".988","37","3",2023,"34","0","-3"
"694","Boston Red Sox","56","4.79",".677","162","1458","1059","12870.0","5821","4290","1429","102","137",".982","-17","-2",2023,"-20","-2","-2"
"695","Chicago Cubs","48","4.46",".694","162","1458","1130","12918.0","5888","4306","1490","92","137",".984","9","1",2023,"36","0","1"
"696","Chicago White Sox","56","5.19",".685","162","1458","1088","12885.0","5639","4295","1249","95","117",".983","-50","-5",2023,"-59","-4","-11"
"697","Cincinnati Reds","65","5.07",".685","162","1458","989","12954.0","5692","4318","1283","91","125",".984","-13","-1",2023,"-38","-1","1"
"698","Cleveland Guardians","50","4.30",".698","162","1458","1127","12996.0","5833","4332","1418","83","119",".986","-5","0",2023,"24","0","2"
"699","Colorado Rockies","57","5.91",".670","162","1458","1146","12726.0","5839","4242","1516","81","169",".986","5","0",2023,"20","0","-1"
"700","Detroit Tigers","50","4.57",".699","162","1458","991","12981.0","5830","4327","1403","100","129",".983","32","3",2023,"22","0","1"
"701","Houston Astros","41","4.31",".697","162","1458","1164","13008.0","5763","4336","1346","81","144",".986","33","3",2023,"15","0","4"
"702","Kansas City Royals","58","5.30",".685","162","1458","1081","12681.0","5698","4227","1391","80","123",".986","-19","-2",2023,"-15","0","3"
"703","Los Angeles Angels","66","5.12",".682","162","1458","1059","12885.0","5674","4295","1284","95","124",".983","-66","-6",2023,"1","0","-6"
"704","Los Angeles Dodgers","58","4.31",".709","162","1458","985","13017.0","5821","4339","1406","76","139",".987","42","4",2023,"57","0","-1"
"705","Miami Marlins","52","4.46",".683","162","1458","1061","12918.0","5816","4306","1412","98","144",".983","-24","-2",2023,"-11","0","8"
"706","Milwaukee Brewers","58","3.99",".719","162","1458","1059","12987.0","5813","4329","1407","77","117",".987","58","5",2023,"68","4","5"
"707","Minnesota Twins","47","4.07",".697","162","1458","924","13062.0","5706","4354","1286","66","116",".988","-3","0",2023,"33","0","2"
"708","New York Mets","58","4.50",".689","162","1458","1119","12747.0","5731","4249","1394","88","142",".985","-38","-4",2023,"-25","-1","3"
"709","New York Yankees","54","4.31",".704","162","1458","1108","12957.0","5842","4319","1427","96","113",".984","22","2",2023,"27","1","-9"
"710","Oakland Athletics","62","5.70",".678","162","1458","1046","12777.0","5630","4259","1269","102","124",".982","-60","-6",2023,"-79","-1","-13"
"711","Philadelphia Phillies","44","4.41",".695","162","1458","1104","12981.0","5803","4327","1385","91","117",".984","1","0",2023,"-30","0","8"
"712","Pittsburgh Pirates","58","4.88",".686","162","1458","996","12870.0","5784","4290","1403","91","135",".984","-24","-2",2023,"3","1","-5"
"713","San Diego Padres","55","4.00",".702","162","1458","1142","12969.0","5840","4323","1444","73","130",".988","44","4",2023,"40","0","3"
"714","Seattle Mariners","55","4.07",".700","162","1458","1148","13044.0","5800","4348","1379","73","123",".987","12","1",2023,"15","0","5"
"715","San Francisco Giants","51","4.44",".679","162","1458","965","12912.0","6027","4304","1606","117","143",".981","-24","-2",2023,"-15","0","-9"
"716","St. Louis Cardinals","52","5.12",".670","162","1458","1109","12855.0","5944","4285","1592","67","154",".989","-54","-5",2023,"-7","-2","3"
"717","Tampa Bay Rays","58","4.10",".703","162","1458","1107","12978.0","5802","4326","1401","75","114",".987","29","3",2023,"25","0","-10"
"718","Texas Rangers","48","4.42",".703","162","1458","1109","12927.0","5789","4309","1423","57","143",".990","36","3",2023,"35","0","-1"
"719","Toronto Blue Jays","46","4.14",".693","162","1458","1084","13065.0","5733","4355","1307","71","125",".988","21","2",2023,"85","0","2"
"720","Washington Nationals","48","5.22",".682","162","1458","1148","12855.0","5880","4285","1505","90","158",".985","-29","-3",2023,"-30","0","-5"
"721","Arizona Diamondbacks","50","4.86",".682","162","1458","1096","12990.0","5848","4330","1456","62","138",".989","-11","-1",2024,"13","2","4"
"722","Atlanta Braves","54","3.75",".689","162","1458","1173","12990.0","5834","4330","1436","68","131",".988","10","1",2024,"35","2","8"
"723","Baltimore Orioles","58","4.31",".704","162","1458","1084","12978.0","5743","4326","1336","81","100",".986","-23","-2",2024,"1","0","-1"
"724","Boston Red Sox","57","4.61",".693","162","1458","974","13074.0","5922","4358","1449","115","117",".981","29","3",2024,"49","0","-8"
"725","Chicago Cubs","56","4.13",".705","162","1458","1083","12891.0","5722","4297","1349","76","91",".987","11","1",2024,"37","0","3"
"726","Chicago White Sox","63","5.02",".685","162","1458","1145","12780.0","5626","4260","1276","90","115",".984","-81","-8",2024,"-87","-5","-7"
"727","Cincinnati Reds","59","4.28",".702","162","1458","1078","12852.0","5593","4284","1213","96","100",".983","8","1",2024,"-30","-1","0"
"728","Cleveland Guardians","50","3.86",".709","161","1449","1047","12852.0","5748","4284","1377","87","130",".985","36","3",2024,"89","1","0"
"729","Colorado Rockies","54","5.73",".671","162","1458","1154","12840.0","5926","4280","1564","82","164",".986","-12","-1",2024,"20","1","-2"
"730","Detroit Tigers","48","3.96",".709","162","1458","1045","13023.0","5830","4341","1409","80","129",".986","41","4",2024,"50","0","5"
"731","Houston Astros","55","4.03",".704","161","1449","1091","12888.0","5692","4296","1312","84","130",".985","35","3",2024,"1","-1","3"
"732","Kansas City Royals","50","3.98",".696","162","1458","1052","12852.0","5792","4284","1423","85","125",".985","11","1",2024,"47","4","5"
"733","Los Angeles Angels","64","4.92",".704","162","1458","1159","12879.0","5829","4293","1439","97","152",".983","18","2",2024,"15","0","1"
"734","Los Angeles Dodgers","59","4.23",".710","162","1458","1026","13011.0","5791","4337","1366","88","119",".985","9","1",2024,"66","1","0"
"735","Miami Marlins","70","5.19",".681","162","1458","1031","12936.0","5861","4312","1432","117","123",".980","-58","-5",2024,"-29","0","-3"
"736","Milwaukee Brewers","56","3.96",".709","162","1458","1103","13014.0","5775","4338","1348","89","113",".985","49","5",2024,"64","1","-1"
"737","Minnesota Twins","52","4.54",".695","162","1458","1015","12963.0","5621","4321","1230","70","75",".988","-53","-5",2024,"-20","0","3"
"738","New York Mets","57","4.30",".704","162","1458","1028","12981.0","5829","4327","1408","94","127",".984","1","0",2024,"18","0","-6"
"739","New York Yankees","52","4.12",".703","162","1458","1153","13074.0","5771","4358","1320","93","112",".984","4","0",2024,"31","0","1"
"740","Oakland Athletics","55","4.72",".691","162","1458","1064","12930.0","5754","4310","1360","84","142",".985","-39","-4",2024,"-64","-1","-2"
"741","Philadelphia Phillies","47","4.14",".692","162","1458","1116","12984.0","5880","4328","1467","85","120",".986","-14","-1",2024,"3","0","-3"
"742","Pittsburgh Pirates","56","4.56",".687","162","1458","1084","12948.0","5777","4316","1370","91","139",".984","-22","-2",2024,"-7","0","-5"
"743","San Diego Padres","49","4.13",".697","162","1458","1091","12954.0","5690","4318","1297","75","116",".987","-37","-3",2024,"-8","0","-9"
"744","Seattle Mariners","50","3.75",".724","162","1458","1057","12897.0","5671","4299","1293","79","95",".986","52","5",2024,"39","0","1"
"745","San Francisco Giants","57","4.31",".683","162","1458","1101","12903.0","5946","4301","1558","87","135",".985","-44","-4",2024,"-3","1","-3"
"746","St. Louis Cardinals","44","4.44",".696","162","1458","1094","12996.0","5932","4332","1525","75","155",".987","-4","0",2024,"29","0","6"
"747","Tampa Bay Rays","54","4.09",".706","162","1458","1080","12966.0","5677","4322","1265","90","108",".984","15","1",2024,"-7","0","-1"
"748","Texas Rangers","56","4.56",".702","162","1458","1143","12849.0","5722","4283","1366","73","106",".987","28","3",2024,"33","0","-6"
"749","Toronto Blue Jays","55","4.59",".705","162","1458","1044","12846.0","5729","4282","1355","92","125",".984","34","3",2024,"102","3","7"
"750","Washington Nationals","48","4.72",".676","162","1458","1164","12906.0","5849","4302","1438","109","155",".981","-27","-3",2024,"-21","-1","-2"
