"Tm","Attendance","Attend/G","BatAge","PAge","BPF","PPF","#HOF","#A-S","#a-tA-S","Est. Payroll","Time","Managers","Year","Chall","Succ","Succ%"
"Tampa Bay Devil Rays","1,065,742","13,157",27.1,26.9,97,99,0,1,6,"$34,380,000","2:51","McRae",2002,NA,NA,NA
"Texas Rangers","2,352,397","29,042",29,29.7,106,106,1,1,12,"$105,726,122","3:05","Narron",2002,NA,NA,NA
"Toronto Blue Jays","1,637,900","20,221",27.2,27.4,104,103,1,1,11,"$76,864,333","2:55","Martinez and Tosca",2002,NA,NA,NA
"Anaheim Angels","3,061,094","37,330",29.1,29,98,97,0,3,12,"$79,031,667","2:47","Scioscia",2003,NA,NA,NA
"Arizona Diamondbacks","2,805,542","34,636",30.6,29.2,108,109,1,1,17,"$80,657,000","2:52","Brenly",2003,NA,NA,NA
"Atlanta Braves","2,401,084","29,643",30.3,31.1,101,100,3,7,17,"$106,243,667","2:54","Cox",2003,NA,NA,NA
"Baltimore Orioles","2,454,523","30,303",29.3,29.2,99,99,0,1,8,"$73,877,500","2:50","Hargrove",2003,NA,NA,NA
"Boston Red Sox","2,724,165","33,632",29.7,31.2,105,103,2,3,15,"$99,946,500","2:57","Little",2003,NA,NA,NA
"Chicago Cubs","2,962,630","36,576",31.3,28.2,101,101,0,2,14,"$79,868,333","2:51","Baker",2003,NA,NA,NA
"Chicago White Sox","1,939,524","23,945",29.4,27.9,102,102,2,3,14,"$51,010,000","2:44","Manuel",2003,NA,NA,NA
"Cincinnati Reds","2,355,259","29,077",27.3,28,95,96,2,1,9,"$59,355,667","2:50","Boone, Knight and Miley",2003,NA,NA,NA
"Cleveland Indians","1,730,002","21,358",27.1,26.3,96,97,1,1,14,"$48,584,834","2:43","Wedge",2003,NA,NA,NA
"Colorado Rockies","2,334,085","28,816",29.5,28,115,116,2,3,13,"$67,179,667","2:49","Hurdle",2003,NA,NA,NA
"Detroit Tigers","1,368,245","16,892",27.3,25.3,93,95,0,1,7,"$49,168,000","2:39","Trammell",2003,NA,NA,NA
"Florida Marlins","1,303,215","16,089",27.7,26.3,98,98,1,3,14,"$49,450,000","2:50","Torborg and McKeon",2003,NA,NA,NA
"Houston Astros","2,454,241","30,299",31.1,27.6,103,102,3,1,9,"$71,040,000","2:50","Williams",2003,NA,NA,NA
"Kansas City Royals","1,779,895","22,249",29.2,28,107,108,0,2,8,"$40,518,000","2:46","Peña",2003,NA,NA,NA
"Los Angeles Dodgers","3,138,626","38,748",29.9,31.2,94,94,3,3,19,"$105,872,620","2:46","Tracy",2003,NA,NA,NA
"Milwaukee Brewers","1,700,354","20,992",29.8,27.6,98,100,0,2,9,"$40,627,000","2:50","Yost",2003,NA,NA,NA
"Minnesota Twins","1,946,011","24,025",27.2,29.7,101,100,0,1,15,"$55,505,000","2:47","Gardenhire",2003,NA,NA,NA
"Montreal Expos","1,025,639","12,662",27.7,26.7,105,105,1,1,6,"$51,948,500","2:49","Robinson",2003,NA,NA,NA
"New York Mets","2,140,599","26,757",29.3,31.6,97,98,3,1,17,"$117,176,429","2:52","Howe",2003,NA,NA,NA
"New York Yankees","3,465,600","42,263",30.4,33.7,98,97,3,5,19,"$152,749,814","3:00","Torre",2003,NA,NA,NA
"Oakland Athletics","2,216,596","27,365",28.3,27.4,99,98,0,4,10,"$50,260,834","2:46","Macha",2003,NA,NA,NA
"Philadelphia Phillies","2,259,948","27,901",28.3,29,93,93,1,1,13,"$70,780,000","2:58","Bowa",2003,NA,NA,NA
"Pittsburgh Pirates","1,636,751","20,207",29.7,28.3,102,102,0,1,10,"$54,812,429","2:49","McClendon",2003,NA,NA,NA
"San Diego Padres","2,030,084","25,063",28.5,27.8,91,92,1,1,13,"$45,210,000","2:53","Bochy",2003,NA,NA,NA
"Seattle Mariners","3,268,509","40,352",32,29.8,95,95,2,5,20,"$86,959,167","2:48","Melvin",2003,NA,NA,NA
"San Francisco Giants","3,264,898","40,307",32.1,28.6,99,98,0,2,12,"$82,852,167","2:52","Alou",2003,NA,NA,NA
"St. Louis Cardinals","2,910,386","35,931",29.9,31.2,97,96,1,5,12,"$83,786,666","2:54","La Russa",2003,NA,NA,NA
"Tampa Bay Devil Rays","1,058,695","13,070",26.3,26.4,95,97,0,1,4,"$19,630,000","2:45","Piniella",2003,NA,NA,NA
"Texas Rangers","2,094,394","25,857",28.4,28.1,111,111,0,2,13,"$103,491,667","2:54","Showalter",2003,NA,NA,NA
"Toronto Blue Jays","1,799,458","22,216",28.4,29,104,104,1,3,6,"$51,269,000","2:51","Tosca",2003,NA,NA,NA
"Anaheim Angels","3,375,677","41,675",28.9,29,97,96,1,2,15,"$100,534,667","2:52","Scioscia",2004,NA,NA,NA
"Arizona Diamondbacks","2,519,560","31,106",28.9,29.3,105,106,2,1,10,"$69,780,750","2:46","Brenly and Pedrique",2004,NA,NA,NA
"Atlanta Braves","2,327,565","28,735",28.9,30.1,101,99,2,1,11,"$90,182,500","2:50","Cox",2004,NA,NA,NA
"Baltimore Orioles","2,744,018","33,877",30.5,27.4,98,98,0,1,8,"$51,623,333","3:00","Mazzilli",2004,NA,NA,NA
"Boston Red Sox","2,837,294","35,028",30.4,32.5,106,104,2,3,15,"$127,298,500","2:59","Francona",2004,NA,NA,NA
"Chicago Cubs","3,170,154","38,660",30.1,29.1,102,102,1,3,14,"$90,560,000","2:49","Baker",2004,NA,NA,NA
"Chicago White Sox","1,930,537","23,834",28.6,28.2,102,101,2,1,15,"$65,212,500","2:41","Guillén",2004,NA,NA,NA
"Cincinnati Reds","2,287,250","28,238",28.4,28.5,97,98,2,4,7,"$46,915,250","2:53","Miley",2004,NA,NA,NA
"Cleveland Indians","1,814,401","22,400",28.6,27.3,94,94,1,5,12,"$34,319,300","2:55","Wedge",2004,NA,NA,NA
"Colorado Rockies","2,338,069","28,865",30.4,28.8,113,114,2,1,13,"$65,445,167","2:51","Hurdle",2004,NA,NA,NA
"Detroit Tigers","1,917,004","23,667",28.1,27.5,94,96,1,2,10,"$46,832,000","2:46","Trammell",2004,NA,NA,NA
"Florida Marlins","1,723,105","21,539",28.8,27.8,95,95,0,4,14,"$42,143,042","2:45","McKeon",2004,NA,NA,NA
"Houston Astros","3,087,872","38,122",31.7,29.6,101,100,2,4,11,"$75,397,000","2:52","Williams and Garner",2004,NA,NA,NA
"Kansas City Royals","1,661,478","20,768",29,27.4,101,103,0,1,10,"$47,609,000","2:47","Peña",2004,NA,NA,NA
"Los Angeles Dodgers","3,488,283","43,065",28.9,29.5,95,95,1,2,16,"$92,902,001","2:51","Tracy",2004,NA,NA,NA
"Milwaukee Brewers","2,062,382","25,462",28.5,27.2,100,101,0,2,7,"$27,528,500","2:55","Yost",2004,NA,NA,NA
"Minnesota Twins","1,911,490","23,599",27.8,28.2,102,102,1,1,13,"$53,890,000","2:48","Gardenhire",2004,NA,NA,NA
"Montreal Expos","749,550","9,369",27.5,26.5,104,105,0,1,5,"$41,197,500","2:51","Robinson",2004,NA,NA,NA
"New York Mets","2,318,951","28,629",29.8,32.5,98,99,2,2,14,"$102,035,970","2:59","Howe",2004,NA,NA,NA
"New York Yankees","3,775,292","46,609",32.3,32.9,98,97,3,8,21,"$184,193,950","2:59","Torre",2004,NA,NA,NA
"Oakland Athletics","2,201,516","27,179",29.6,28.4,99,98,0,2,10,"$59,425,667","2:54","Macha",2004,NA,NA,NA
"Philadelphia Phillies","3,250,092","40,125",29.3,29.8,105,104,2,2,15,"$93,219,167","2:59","Bowa and Varsho",2004,NA,NA,NA
"Pittsburgh Pirates","1,580,031","19,750",27.2,27.7,99,99,0,1,9,"$32,227,929","2:48","McClendon",2004,NA,NA,NA
"San Diego Padres","3,016,752","37,244",29.6,30,90,90,1,1,13,"$55,384,833","2:46","Bochy",2004,NA,NA,NA
"Seattle Mariners","2,940,731","35,863",31.6,30.4,97,97,2,1,19,"$81,515,834","2:55","Melvin",2004,NA,NA,NA
"San Francisco Giants","3,256,854","39,718",31.6,30.1,101,101,0,2,8,"$82,019,166","2:55","Alou",2004,NA,NA,NA
"St. Louis Cardinals","3,048,427","37,635",30.6,30.1,99,98,2,3,15,"$84,340,333","2:52","La Russa",2004,NA,NA,NA
"Tampa Bay Devil Rays","1,274,911","15,936",28.1,27.5,96,97,1,1,8,"$29,856,667","2:46","Piniella",2004,NA,NA,NA
"Texas Rangers","2,513,685","31,033",27.7,30.6,108,108,0,5,14,"$55,050,417","2:51","Showalter",2004,NA,NA,NA
"Toronto Blue Jays","1,900,041","23,457",28,28.6,104,104,1,1,8,"$50,017,000","2:45","Tosca and Gibbons",2004,NA,NA,NA
"Arizona Diamondbacks","2,059,424","25,425",30.3,27.4,103,104,0,1,10,"$62,629,166","2:56","Melvin",2005,NA,NA,NA
"Atlanta Braves","2,521,167","31,126",28.1,28.6,101,100,2,2,13,"$86,457,302","2:46","Cox",2005,NA,NA,NA
"Baltimore Orioles","2,624,740","32,404",31.5,28.3,99,99,0,4,9,"$73,914,333","2:53","Mazzilli and Perlozzo",2005,NA,NA,NA
"Boston Red Sox","2,847,888","35,159",31.3,33.6,104,104,1,5,17,"$123,505,125","3:01","Francona",2005,NA,NA,NA
"Chicago Cubs","3,099,992","38,272",29.7,28.2,104,104,1,2,13,"$87,032,933","2:45","Baker",2005,NA,NA,NA
"Chicago White Sox","2,342,833","28,924",29.3,29.3,103,103,1,4,13,"$75,178,000","2:49","Guillén",2005,NA,NA,NA
"Cincinnati Reds","1,943,067","23,696",28.6,28.9,100,101,1,1,8,"$61,892,583","2:53","Miley and Narron",2005,NA,NA,NA
"Cleveland Indians","2,013,763","24,861",27.5,29.2,96,96,1,1,14,"$41,502,500","2:51","Wedge",2005,NA,NA,NA
"Colorado Rockies","1,914,389","23,634",27.2,27.3,112,113,1,1,8,"$47,839,000","2:48","Hurdle",2005,NA,NA,NA
"Detroit Tigers","2,024,431","24,993",28.5,28,97,97,1,1,15,"$69,092,000","2:44","Trammell",2005,NA,NA,NA
"Florida Marlins","1,852,608","22,872",29.7,29.5,94,94,0,4,16,"$60,408,834","2:49","McKeon",2005,NA,NA,NA
"Houston Astros","2,804,760","34,627",30.3,30.3,101,100,2,4,10,"$76,779,000","2:43","Garner",2005,NA,NA,NA
"Kansas City Royals","1,371,181","16,928",28.1,25.7,99,101,0,1,6,"$36,881,000","2:48","Peña, Schaefer and Bell",2005,NA,NA,NA
"Los Angeles Angels of Anaheim","3,404,686","42,033",29.8,28.5,98,97,1,3,12,"$94,867,822","2:50","Scioscia",2005,NA,NA,NA
"Los Angeles Dodgers","3,603,646","44,489",28.7,28.5,98,97,0,2,14,"$83,039,000","2:50","Tracy",2005,NA,NA,NA
"Milwaukee Brewers","2,211,023","27,297",28.4,28,100,101,0,1,14,"$39,934,833","2:53","Yost",2005,NA,NA,NA
