"...1","Batting Against...2","Batting Against...3","Batting Against...4","Batting Against...5","Batting Against...6","Pitching Ratios...7","Pitching Ratios...8","Pitching Ratios...9","Batted Ball...10","Batted Ball...11","Batted Ball...12","Batted Ball...13","Win Probability...14","Win Probability...15","Win Probability...16","Year","Batted Ball...14","Batted Ball...15","Win Probability...17","Win Probability...18"
"Florida Marlins",".257",".338",".411",".749",".296","2.4%","18.0%","9.9%","23.8%","41.0%","26.9%","0.73","-2.6","-1.8%","-9.4",2001,NA,NA,NA,NA
"Houston Astros",".261",".325",".437",".762",".296","3.5%","19.7%","7.8%","25.3%","40.3%","27.3%","0.70","5.9","7.7%","21.4",2001,NA,NA,NA,NA
"Kansas City Royals",".276",".348",".450",".797",".295","3.3%","14.5%","9.2%","24.4%","41.6%","27.6%","0.74","-5.3","-1.7%","-48.4",2001,NA,NA,NA,NA
"Los Angeles Dodgers",".252",".323",".411",".734",".291","3.0%","19.6%","8.5%","23.8%","39.8%","27.9%","0.69","1.8","-0.3%","-8.3",2001,NA,NA,NA,NA
"Milwaukee Brewers",".265",".350",".440",".791",".294","3.1%","16.7%","10.5%","24.2%","41.0%","26.7%","0.73","-7.0","0.3%","-63.2",2001,NA,NA,NA,NA
"Minnesota Twins",".268",".325",".437",".763",".291","3.1%","15.6%","7.2%","25.0%","37.0%","30.7%","0.61","1.0","-0.9%","19.9",2001,NA,NA,NA,NA
"Montreal Expos",".272",".339",".441",".780",".307","3.0%","17.7%","8.4%","24.4%","40.3%","27.6%","0.71","-3.9","-0.3%","-57.7",2001,NA,NA,NA,NA
"New York Mets",".257",".314",".419",".733",".294","3.1%","19.5%","7.2%","23.5%","40.2%","28.4%","0.70","6.2","-0.6%","27.3",2001,NA,NA,NA,NA
"New York Yankees",".257",".318",".398",".716",".303","2.6%","20.5%","7.5%","24.5%","40.4%","27.6%","0.70","14.0","8.0%","76.6",2001,NA,NA,NA,NA
"Oakland Athletics",".249",".308",".380",".688",".285","2.5%","18.3%","7.2%","23.7%","45.0%","24.6%","0.84","12.5","4.8%","145.1",2001,NA,NA,NA,NA
"Philadelphia Phillies",".259",".329",".424",".753",".292","2.7%","17.5%","8.5%","24.3%","39.6%","28.3%","0.68","2.9","0.3%","27.5",2001,NA,NA,NA,NA
"Pittsburgh Pirates",".272",".344",".433",".777",".297","2.7%","14.6%","8.8%","23.9%","44.4%","24.9%","0.84","-10.9","-1.7%","-102.1",2001,NA,NA,NA,NA
"San Diego Padres",".269",".330",".450",".780",".297","3.5%","17.3%","7.6%","25.2%","39.1%","28.5%","0.66","-7.8","-4.0%","-85.8",2001,NA,NA,NA,NA
"Seattle Mariners",".236",".301",".378",".679",".262","2.6%","17.2%","7.6%","22.0%","38.0%","31.7%","0.63","18.0","4.0%","152.6",2001,NA,NA,NA,NA
"San Francisco Giants",".258",".329",".404",".732",".294","2.3%","17.2%","9.2%","25.6%","38.4%","28.9%","0.65","5.2","4.4%","-2.5",2001,NA,NA,NA,NA
"St. Louis Cardinals",".256",".328",".428",".757",".286","3.2%","17.7%","8.6%","25.4%","40.9%","26.2%","0.72","8.8","7.6%","75.8",2001,NA,NA,NA,NA
"Tampa Bay Devil Rays",".273",".345",".452",".797",".299","3.3%","16.4%","9.1%","25.4%","37.1%","30.8%","0.60","-10.4","-2.3%","-122.5",2001,NA,NA,NA,NA
"Texas Rangers",".293",".362",".494",".856",".314","3.4%","14.7%","9.2%","26.8%","37.3%","29.1%","0.61","-12.2","-3.4%","-171.7",2001,NA,NA,NA,NA
"Toronto Blue Jays",".275",".339",".435",".774",".309","2.6%","16.5%","7.8%","25.8%","43.0%","24.8%","0.78","5.3","1.0%","47.7",2001,NA,NA,NA,NA
"League Average",".264",".332",".427",".759",".296","2.9%","17.3%","8.5%","24.6%","40.4%","27.7%","0.70","","","",2001,NA,NA,NA,NA
"",".264",".332",".427",".759",".296","2.9%","17.3%","8.5%","24.6%","40.4%","27.7%","0.70","","","",2001,NA,NA,NA,NA
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","WPA","cWPA","RE24",2001,NA,NA,NA,NA
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","WPA","cWPA","RE24",2002,NA,NA,NA,NA
