"...1","Batting...2","Batting...3","Batting...4","Batting...5","Batting Ratios...6","Batting Ratios...7","Batting Ratios...8","Batted Ball...9","Batted Ball...10","Batted Ball...11","Batted Ball...12","Batted Ball...13","Batted Ball...14","Batted Ball...15","Win Probability...16","Win Probability...17","Win Probability...18","Baserunning...19","Baserunning...20","Baserunning...21","Year","Batted Ball...16","Batted Ball...17","Win Probability...19","Win Probability...20","Baserunning...22","Baserunning...23"
"Cincinnati Reds",".319","91",".290",".146","2.7%","20.3%","8.0%","87.0","32.0%","29.1%","43.0%","19.5%","0.79","26.3%",NA,NA,"-11.1",NA,NA,"27%",2015,"53.7%","20.0%","-2.4%","-41.9","78%","33%"
"Cleveland Indians",".322","91",".299",".144","2.3%","18.9%","8.7%","88.6","39.6%","26.4%","44.6%","20.1%","0.84","31.1%",NA,NA,"-6.6",NA,NA,"29%",2015,"51.5%","17.5%","-3.1%","-46.4","75%","38%"
"Colorado Rockies",".332","86",".313",".167","3.1%","21.1%","6.4%","88.7","39.5%","29.4%","44.2%","17.3%","0.82","25.4%",NA,NA,"2.3",NA,NA,"32%",2015,"55.3%","19.3%","0.0%","18.5","69%","46%"
"Detroit Tigers",".328","105",".322",".150","2.5%","20.4%","7.4%","88.7","39.4%","26.6%","42.8%","23.0%","0.77","24.6%",NA,NA,"-1.2",NA,NA,"28%",2015,"54.0%","21.4%","-1.3%","-13.3","62%","34%"
"Houston Astros",".332","108",".292",".187","3.8%","22.9%","8.0%","89.2","40.3%","25.6%","41.5%","23.6%","0.73","30.7%",NA,NA,"1.2",NA,NA,"29%",2015,"50.9%","18.4%","1.4%","43.4","72%","43%"
"Kansas City Royals",".326","97",".301",".144","2.3%","15.9%","6.3%","88.4","38.0%","25.5%","44.7%","21.3%","0.83","27.3%",NA,NA,"4.5",NA,NA,"32%",2015,"53.6%","19.2%","1.8%","13.6","75%","44%"
"Los Angeles Angels of Anaheim",".311","97",".280",".150","2.9%","19.2%","7.3%","88.2","35.1%","27.1%","45.1%","19.3%","0.85","27.6%",NA,NA,"-0.6",NA,NA,"28%",2015,"52.4%","20.1%","-0.3%","-13.1","60%","44%"
"Los Angeles Dodgers",".329","106",".292",".163","3.1%","20.7%","9.2%","88.9","40.5%","28.4%","43.4%","19.5%","0.80","27.8%",NA,NA,"2.9",NA,NA,"27%",2015,"54.0%","18.2%","2.2%","17.3","63%","37%"
"Miami Marlins",".311","90",".307",".124","2.0%","19.2%","6.3%","88.6","37.0%","25.1%","51.3%","15.4%","1.13","23.4%",NA,NA,"-3.7",NA,NA,"28%",2015,"54.5%","22.1%","-1.6%","-39.1","71%","39%"
"Milwaukee Brewers",".314","88",".303",".142","2.4%","21.6%","6.8%","88.4","37.9%","27.1%","47.2%","17.8%","0.93","24.0%",NA,NA,"-6.8",NA,NA,"30%",2015,"52.6%","23.4%","-1.7%","-17.9","74%","43%"
"Minnesota Twins",".313","92",".292",".152","2.6%","21.0%","7.3%","88.5","37.2%","24.2%","44.4%","22.4%","0.83","27.7%",NA,NA,"-1.6",NA,NA,"32%",2015,"54.0%","18.3%","-2.8%","-7.0","65%","37%"
"New York Mets",".320","97",".287",".156","2.9%","21.0%","7.9%","89.2","39.2%","27.4%","42.3%","21.8%","0.75","27.8%",NA,NA,"0.2",NA,NA,"29%",2015,"52.7%","19.5%","-0.2%","22.4","67%","40%"
"New York Yankees",".329","103",".283",".170","3.4%","19.6%","8.8%","88.6","38.6%","25.0%","42.0%","23.4%","0.74","34.4%",NA,NA,"-1.7",NA,NA,"30%",2015,"50.4%","15.1%","-1.0%","58.1","72%","34%"
"Oakland Athletics",".316","96",".288",".144","2.4%","18.1%","7.7%","87.7","34.1%","26.7%","45.6%","19.1%","0.85","29.1%",NA,NA,"-5.2",NA,NA,"31%",2015,"51.2%","19.7%","-1.4%","1.7","73%","36%"
"Philadelphia Phillies",".311","90",".299",".133","2.2%","21.1%","6.4%","87.6","34.3%","28.0%","45.1%","18.0%","0.87","28.7%",NA,NA,"-6.3",NA,NA,"29%",2015,"54.0%","17.2%","-2.1%","-39.5","73%","38%"
"Pittsburgh Pirates",".323","96",".314",".136","2.2%","21.0%","7.3%","88.7","39.9%","26.5%","47.2%","18.7%","0.94","26.3%",NA,NA,"1.7",NA,NA,"29%",2015,"55.1%","18.6%","0.5%","19.1","69%","41%"
"San Diego Padres",".310","91",".292",".142","2.5%","22.1%","7.1%","88.1","37.2%","25.9%","44.5%","20.3%","0.84","28.4%",NA,NA,"-3.7",NA,NA,"30%",2015,"53.1%","18.5%","-1.6%","-11.0","74%","42%"
"Seattle Mariners",".320","103",".292",".162","3.2%","21.8%","7.8%","90.2","43.9%","26.9%","44.3%","20.9%","0.82","29.5%",NA,NA,"-4.4",NA,NA,"26%",2015,"50.5%","19.9%","-2.7%","-34.1","61%","34%"
"San Francisco Giants",".328","100",".313",".139","2.2%","18.8%","7.4%","87.9","36.8%","27.7%","47.8%","18.1%","0.95","25.1%",NA,NA,"-0.5",NA,NA,"30%",2015,"54.0%","20.9%","-3.1%","27.7","72%","41%"
"St. Louis Cardinals",".321","93",".303",".142","2.2%","20.6%","8.2%","88.4","38.8%","26.0%","46.4%","19.7%","0.89","27.6%",NA,NA,"-1.4",NA,NA,"27%",2015,"52.6%","19.8%","1.2%","-25.0","64%","39%"
"Tampa Bay Rays",".317","99",".300",".154","2.8%","21.6%","7.2%","88.4","36.4%","25.2%","43.2%","22.4%","0.78","29.8%",NA,NA,"-6.3",NA,NA,"27%",2015,"51.4%","18.8%","-6.6%","-47.0","66%","36%"
"Texas Rangers",".330","98",".300",".156","2.8%","19.9%","8.1%","89.0","40.5%","26.4%","45.4%","18.4%","0.87","30.1%",NA,NA,"3.7",NA,NA,"31%",2015,"52.9%","17.1%","4.4%","45.5","72%","47%"
"Toronto Blue Jays",".351","115",".298",".188","3.7%","18.5%","9.2%","89.3","42.0%","24.9%","44.7%","20.5%","0.84","28.8%",NA,NA,"12.1",NA,NA,"34%",2015,"53.1%","18.1%","8.2%","187.5","79%","38%"
"Washington Nationals",".326","96",".300",".151","2.9%","22.0%","8.8%","89.7","43.3%","27.2%","47.1%","17.2%","0.93","26.1%",NA,NA,"0.4",NA,NA,"29%",2015,"53.0%","20.9%","-0.6%","34.2","71%","38%"
"League Average",".322","96",".299",".150","2.7%","20.4%","7.7%","88.6","38.3%","26.5%","45.2%","19.7%","0.86","27.7%",NA,NA,"-2",NA,NA,"29%",2015,"53.0%","19.3%","-1%","3","70%","39%"
"",".322","96",".299",".150","2.7%","20.4%","7.7%","88.6","38.3%","26.5%","45.2%","19.7%","0.86","27.7%",NA,NA,"-51.6",NA,NA,"29%",2015,"53.0%","19.3%","-24.7%","86.4","70%","39%"
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","EV","HardH%","LD%","GB%","FB%","GB/FB","Pull%",NA,NA,"WPA",NA,NA,"RS%",2015,"Cent%","Oppo%","cWPA","RE24","SB%","XBT%"
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","EV","HardH%","LD%","GB%","FB%","GB/FB","Pull%",NA,NA,"WPA",NA,NA,"RS%",2016,"Cent%","Oppo%","cWPA","RE24","SB%","XBT%"
"Arizona Diamondbacks",".334","91",".315",".171","3.0%","22.8%","7.4%","89.6","41.5%","26.2%","48.4%","18.6%","0.97","25.1%",NA,NA,"-0.4",NA,NA,"31%",2016,"52.6%","22.3%","-1.0%","2.4","82%","43%"
"Atlanta Braves",".316","88",".305",".130","2.0%","20.0%","8.1%","88.6","36.4%","27.1%","46.7%","18.0%","0.92","25.7%",NA,NA,"-9.6",NA,NA,"28%",2016,"52.8%","21.5%","-2.0%","-66.1","69%","38%"
"Baltimore Orioles",".331","101",".291",".188","4.2%","21.7%","7.7%","90.0","42.6%","23.8%","42.7%","23.8%","0.76","30.4%",NA,NA,"1.6",NA,NA,"29%",2016,"50.5%","19.2%","-0.5%","14.3","59%","39%"
"Boston Red Sox",".354","113",".320",".179","3.3%","18.4%","8.8%","89.9","41.0%","24.7%","44.8%","22.0%","0.82","31.3%",NA,NA,"8.6",NA,NA,"33%",2016,"49.5%","19.2%","8.6%","136.7","78%","43%"
"Chicago Cubs",".342","104",".302",".173","3.1%","21.1%","10.4%","88.5","38.5%","26.3%","42.0%","22.2%","0.75","33.1%",NA,NA,"4.3",NA,NA,"31%",2016,"49.5%","17.4%","2.5%","97.5","66%","43%"
"Chicago White Sox",".320","99",".304",".153","2.7%","21.0%","7.4%","88.9","37.8%","25.5%","45.7%","20.3%","0.86","29.5%",NA,NA,"-1.5",NA,NA,"29%",2016,"49.0%","21.5%","-2.4%","-33.9","68%","41%"
"Cincinnati Reds",".323","89",".303",".152","2.7%","21.1%","7.4%","86.7","31.5%","28.6%","44.0%","19.2%","0.82","27.4%",NA,NA,"-1.0",NA,NA,"31%",2016,"53.5%","19.1%","0.0%","-6.2","73%","37%"
"Cleveland Indians",".337","97",".304",".168","3.0%","20.2%","8.6%","89.0","39.0%","27.7%","42.9%","20.7%","0.77","31.4%",NA,NA,"2.3",NA,NA,"32%",2016,"50.6%","18.1%","2.7%","25.7","81%","45%"
"Colorado Rockies",".347","95",".326",".182","3.3%","21.3%","7.9%","88.7","40.3%","29.3%","43.6%","18.3%","0.81","27.1%",NA,NA,"5.4",NA,NA,"34%",2016,"52.7%","20.2%","1.0%","81.9","63%","44%"
"Detroit Tigers",".335","106",".312",".171","3.4%","21.3%","8.1%","89.4","40.8%","25.9%","42.1%","24.6%","0.74","26.7%",NA,NA,"2.0",NA,NA,"29%",2016,"51.5%","21.8%","0.7%","29.0","67%","34%"
"Houston Astros",".325","105",".298",".170","3.2%","23.4%","8.9%","88.9","40.7%","24.8%","43.9%","22.7%","0.81","31.3%",NA,NA,"-2.9",NA,NA,"29%",2016,"51.9%","16.8%","-3.3%","7.1","70%","43%"
"Kansas City Royals",".316","88",".309",".139","2.4%","20.2%","6.3%","88.8","39.0%","23.6%","46.5%","20.9%","0.90","26.6%",NA,NA,"-4.8",NA,NA,"30%",2016,"53.1%","20.3%","-2.6%","-60.0","78%","42%"
"Los Angeles Angels",".322","101",".289",".145","2.6%","16.4%","7.8%","88.7","38.3%","25.0%","45.7%","21.6%","0.86","27.9%",NA,NA,"0.1",NA,NA,"31%",2016,"51.0%","21.1%","-0.7%","13.2","68%","39%"
"Los Angeles Dodgers",".325","96",".294",".160","3.1%","21.4%","8.5%","89.7","41.9%","25.8%","46.3%","20.3%","0.89","28.1%",NA,NA,"1.5",NA,NA,"30%",2016,"52.4%","19.5%","1.5%","17.2","63%","43%"
"Miami Marlins",".321","97",".314",".131","2.1%","19.8%","7.3%","88.7","38.2%","26.5%","48.6%","17.3%","0.99","24.9%",NA,NA,"-1.5",NA,NA,"28%",2016,"54.2%","21.0%","-2.2%","-33.2","72%","39%"
"Milwaukee Brewers",".326","90",".304",".163","3.2%","25.5%","9.9%","88.9","39.8%","25.6%","46.4%","19.6%","0.91","25.2%",NA,NA,"-9.2",NA,NA,"27%",2016,"52.2%","22.5%","-1.7%","-49.8","76%","40%"
"Minnesota Twins",".324","97",".300",".171","3.2%","22.8%","8.2%","88.7","39.5%","24.1%","42.3%","24.2%","0.76","30.0%",NA,NA,"-8.8",NA,NA,"29%",2016,"51.0%","18.9%","-1.8%","-21.5","74%","43%"
"New York Mets",".324","96",".282",".171","3.6%","21.3%","8.5%","88.5","37.7%","26.7%","39.8%","24.0%","0.68","30.1%",NA,NA,"-5.8",NA,NA,"26%",2016,"52.6%","17.3%","-3.9%","-28.5","70%","34%"
"New York Yankees",".318","89",".289",".153","3.0%","19.6%","7.8%","88.4","36.7%","24.2%","45.1%","22.3%","0.84","31.5%",NA,NA,"-3.3",NA,NA,"29%",2016,"52.4%","16.2%","-3.7%","-57.8","77%","37%"
"Oakland Athletics",".310","91",".280",".149","2.8%","19.0%","7.3%","88.1","36.7%","26.4%","42.6%","22.6%","0.76","29.8%",NA,NA,"-5.7",NA,NA,"29%",2016,"49.5%","20.8%","-1.7%","-61.8","68%","38%"
"Philadelphia Phillies",".307","81",".291",".144","2.7%","23.0%","7.1%","88.6","39.3%","24.9%","46.5%","19.4%","0.92","27.6%",NA,NA,"-7.7",NA,NA,"27%",2016,"53.2%","19.2%","-3.8%","-100.4","68%","39%"
"Pittsburgh Pirates",".330","98",".311",".144","2.4%","21.3%","9.0%","88.3","38.7%","26.0%","46.8%","19.8%","0.91","28.2%",NA,NA,"0.3",NA,NA,"30%",2016,"51.1%","20.6%","-0.8%","10.7","71%","35%"
"San Diego Padres",".308","85",".291",".155","3.0%","25.0%","7.5%","87.5","36.0%","25.6%","44.8%","20.3%","0.84","29.4%",NA,NA,"-8.6",NA,NA,"31%",2016,"51.3%","19.3%","-3.7%","-18.5","74%","50%"
"Seattle Mariners",".330","106",".297",".171","3.6%","20.7%","8.1%","89.6","41.6%","25.0%","46.0%","20.0%","0.89","31.7%",NA,NA,"2.1",NA,NA,"30%",2016,"49.0%","19.2%","0.6%","47.7","67%","38%"
"San Francisco Giants",".325","97",".299",".140","2.1%","17.7%","9.1%","87.8","36.5%","27.0%","45.1%","19.7%","0.85","28.6%",NA,NA,"-3.3",NA,NA,"30%",2016,"50.6%","20.8%","-3.4%","4.7","69%","39%"
"St. Louis Cardinals",".339","106",".294",".187","3.6%","21.2%","8.5%","89.2","41.1%","25.2%","42.7%","23.9%","0.77","29.5%",NA,NA,"6.5",NA,NA,"30%",2016,"51.6%","18.9%","4.0%","72.2","57%","38%"
"Tampa Bay Rays",".319","100",".293",".182","3.6%","24.5%","7.4%","89.7","41.5%","23.2%","41.4%","25.5%","0.72","33.6%",NA,NA,"-8.9",NA,NA,"28%",2016,"47.4%","19.0%","-1.7%","-43.0","62%","40%"
"Texas Rangers",".332","96",".298",".172","3.5%","20.0%","7.2%","89.3","40.2%","24.7%","44.9%","21.3%","0.83","32.1%",NA,NA,"9.4",NA,NA,"31%",2016,"49.4%","18.5%","5.2%","23.2","73%","43%"
"Toronto Blue Jays",".332","102",".289",".178","3.6%","21.9%","10.1%","89.6","42.1%","24.4%","43.0%","22.4%","0.77","28.4%",NA,NA,"-1.4",NA,NA,"29%",2016,"50.4%","21.2%","-0.6%","15.5","69%","38%"
"Washington Nationals",".331","94",".293",".170","3.3%","20.2%","8.6%","90.0","42.3%","26.2%","43.5%","21.4%","0.80","28.9%",NA,NA,"4.5",NA,NA,"31%",2016,"52.6%","18.5%","2.6%","42.9","76%","43%"
"League Average",".327","97",".300",".162","3.0%","21.1%","8.2%","88.9","39.2%","25.7%","44.5%","21.2%","0.83","29.0%",NA,NA,"-1",NA,NA,"30%",2016,"51.3%","19.7%","-0%","2","72%","40%"
"",".327","97",".300",".162","3.0%","21.1%","8.2%","88.9","39.2%","25.7%","44.5%","21.2%","0.83","29.0%",NA,NA,"-35.8",NA,NA,"30%",2016,"51.3%","19.7%","-12.0%","60.9","72%","40%"
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","EV","HardH%","LD%","GB%","FB%","GB/FB","Pull%",NA,NA,"WPA",NA,NA,"RS%",2016,"Cent%","Oppo%","cWPA","RE24","SB%","XBT%"
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","EV","HardH%","LD%","GB%","FB%","GB/FB","Pull%",NA,NA,"WPA",NA,NA,"RS%",2017,"Cent%","Oppo%","cWPA","RE24","SB%","XBT%"
"Arizona Diamondbacks",".339","93",".306",".190","3.5%","23.4%","9.3%","88.2","40.3%","25.5%","44.8%","22.0%","0.84","27.4%",NA,NA,"0.1",NA,NA,"32%",2017,"54.7%","17.9%","-0.6%","48.4","77%","45%"
"Atlanta Braves",".325","90",".305",".150","2.7%","19.1%","7.6%","86.8","33.6%","25.5%","46.1%","20.9%","0.90","27.6%",NA,NA,"-1.9",NA,NA,"30%",2017,"53.5%","19.0%","0.1%","-11.8","71%","45%"
"Baltimore Orioles",".326","100",".306",".175","3.8%","23.0%","6.4%","88.6","41.1%","25.7%","43.9%","21.6%","0.79","29.3%",NA,NA,"-2.1",NA,NA,"30%",2017,"52.7%","18.0%","-0.1%","-11.1","71%","37%"
"Boston Red Sox",".326","91",".300",".149","2.7%","19.3%","9.0%","87.4","36.1%","25.1%","45.4%","20.8%","0.84","27.2%",NA,NA,"-2.4",NA,NA,"32%",2017,"53.9%","18.9%","-1.4%","-6.1","77%","43%"
"Chicago Cubs",".341","100",".302",".182","3.6%","22.3%","9.9%","87.6","38.8%","24.6%","44.8%","21.8%","0.84","31.9%",NA,NA,"1.8",NA,NA,"32%",2017,"51.2%","16.9%","2.5%","69.7","67%","42%"
"Chicago White Sox",".322","97",".309",".161","3.1%","23.1%","6.6%","87.1","36.6%","24.4%","46.8%","20.6%","0.91","27.9%",NA,NA,"-6.7",NA,NA,"30%",2017,"52.5%","19.7%","-2.1%","-42.8","70%","39%"
"Cincinnati Reds",".334","96",".294",".179","3.5%","21.4%","9.1%","85.5","30.8%","25.1%","42.1%","23.0%","0.76","29.4%",NA,NA,"-6.0",NA,NA,"29%",2017,"52.3%","18.3%","-1.2%","4.2","75%","33%"
"Cleveland Indians",".344","103",".295",".186","3.4%","18.5%","9.7%","88.3","39.5%","25.5%","42.9%","23.1%","0.77","31.6%",NA,NA,"-1.3",NA,NA,"31%",2017,"51.8%","16.6%","-2.9%","48.4","79%","38%"
"Colorado Rockies",".341","88",".332",".171","3.1%","22.7%","8.4%","86.9","35.4%","25.8%","45.5%","20.9%","0.87","25.8%",NA,NA,"-2.5",NA,NA,"33%",2017,"54.3%","19.9%","-0.9%","30.2","63%","44%"
"Detroit Tigers",".328","98",".306",".166","3.0%","21.4%","8.2%","87.7","39.0%","27.7%","42.8%","22.8%","0.75","26.7%",NA,NA,"-6.5",NA,NA,"30%",2017,"52.1%","21.2%","-0.6%","-28.2","66%","37%"
"Houston Astros",".357","126",".309",".196","3.8%","17.3%","8.1%","88.4","39.3%","24.8%","43.8%","23.0%","0.79","29.1%",NA,NA,"13.6",NA,NA,"34%",2017,"53.4%","17.5%","5.5%","166.7","70%","39%"
"Kansas City Royals",".321","91",".295",".160","3.2%","19.4%","6.5%","87.8","36.6%","27.6%","41.1%","22.4%","0.71","27.5%",NA,NA,"-2.6",NA,NA,"30%",2017,"53.3%","19.2%","-0.8%","-58.0","75%","40%"
"Los Angeles Angels",".316","92",".277",".155","3.1%","19.7%","8.6%","87.1","35.8%","23.3%","46.3%","22.5%","0.88","29.7%",NA,NA,"-1.1",NA,NA,"30%",2017,"53.0%","17.3%","-1.8%","-32.0","76%","42%"
"Los Angeles Dodgers",".337","104",".293",".188","3.6%","22.3%","10.5%","88.5","40.1%","25.0%","42.8%","24.6%","0.77","29.4%",NA,NA,"6.8",NA,NA,"30%",2017,"52.3%","18.3%","3.7%","47.6","73%","38%"
"Miami Marlins",".332","107",".313",".163","3.1%","20.5%","7.8%","87.2","35.9%","24.1%","48.7%","18.6%","1.00","26.6%",NA,NA,"4.4",NA,NA,"31%",2017,"54.4%","19.0%","0.1%","65.4","75%","39%"
"Milwaukee Brewers",".330","93",".308",".180","3.7%","25.6%","8.9%","87.2","37.0%","25.2%","45.2%","21.7%","0.86","27.6%",NA,NA,"-0.6",NA,NA,"29%",2017,"52.7%","19.6%","-3.2%","-15.9","76%","35%"
"Minnesota Twins",".337","104",".306",".174","3.3%","21.4%","9.5%","87.7","37.0%","25.6%","41.3%","23.5%","0.73","31.4%",NA,NA,"5.2",NA,NA,"32%",2017,"50.8%","17.8%","3.6%","60.2","77%","42%"
"New York Mets",".329","101",".286",".184","3.6%","20.9%","8.6%","87.3","37.0%","25.2%","40.2%","24.8%","0.69","29.1%",NA,NA,"-2.1",NA,NA,"29%",2017,"53.6%","17.3%","-0.7%","13.9","72%","35%"
"New York Yankees",".348","108",".304",".185","3.8%","21.8%","9.7%","87.8","37.0%","25.1%","43.0%","23.2%","0.77","30.1%",NA,NA,"2.7",NA,NA,"32%",2017,"52.3%","17.6%","2.1%","88.9","80%","39%"
"Oakland Athletics",".330","105",".294",".190","3.8%","24.3%","9.2%","88.7","40.1%","27.2%","38.3%","25.8%","0.63","28.5%",NA,NA,"4.9",NA,NA,"29%",2017,"52.5%","19.0%","-1.0%","3.4","72%","35%"
"Philadelphia Phillies",".320","90",".304",".159","2.8%","23.1%","8.1%","87.7","37.3%","25.4%","45.5%","20.7%","0.86","28.1%",NA,NA,"-8.5",NA,NA,"29%",2017,"51.9%","20.0%","-1.3%","-49.8","70%","37%"
"Pittsburgh Pirates",".313","86",".286",".142","2.5%","19.8%","8.5%","86.3","33.7%","25.1%","46.6%","20.9%","0.90","26.5%",NA,NA,"-5.1",NA,NA,"29%",2017,"53.7%","19.9%","-1.7%","-70.9","65%","40%"
"San Diego Padres",".306","82",".287",".160","3.2%","25.2%","7.7%","86.2","33.3%","24.4%","42.1%","21.4%","0.77","29.5%",NA,NA,"-6.9",NA,NA,"26%",2017,"52.1%","18.4%","-2.0%","-129.6","73%","43%"
"Seattle Mariners",".328","103",".300",".165","3.2%","20.6%","7.9%","88.2","38.4%","24.9%","44.0%","22.7%","0.80","28.4%",NA,NA,"1.2",NA,NA,"30%",2017,"54.1%","17.6%","-0.3%","9.5","72%","37%"
"San Francisco Giants",".305","79",".294",".132","2.1%","19.6%","7.6%","86.9","33.6%","24.0%","46.5%","20.7%","0.90","27.1%",NA,NA,"-14.3",NA,NA,"29%",2017,"53.7%","19.1%","-2.9%","-116.1","69%","41%"
"St. Louis Cardinals",".334","99",".304",".170","3.2%","21.7%","9.5%","87.4","37.5%","25.8%","42.6%","23.1%","0.77","28.3%",NA,NA,"-2.4",NA,NA,"30%",2017,"54.4%","17.3%","-2.0%","18.9","72%","40%"
"Tampa Bay Rays",".321","98",".296",".178","3.7%","25.0%","8.9%","87.5","38.5%","23.9%","43.1%","23.5%","0.78","29.7%",NA,NA,"-5.3",NA,NA,"27%",2017,"52.3%","17.9%","-3.5%","-53.9","72%","40%"
"Texas Rangers",".329","90",".291",".186","3.9%","24.4%","8.9%","88.0","39.0%","23.5%","43.1%","24.1%","0.78","32.3%",NA,NA,"-1.6",NA,NA,"32%",2017,"51.7%","16.1%","-1.1%","12.9","72%","44%"
"Toronto Blue Jays",".318","90",".276",".172","3.6%","21.6%","8.8%","87.6","38.0%","23.7%","43.7%","23.5%","0.79","28.0%",NA,NA,"-7.9",NA,NA,"27%",2017,"54.0%","17.9%","-2.5%","-83.8","69%","35%"
"Washington Nationals",".341","98",".311",".183","3.5%","21.4%","8.7%","88.4","40.3%","25.4%","43.3%","22.9%","0.79","28.3%",NA,NA,"3.4",NA,NA,"32%",2017,"53.0%","18.7%","4.6%","74.2","78%","41%"
"League Average",".329","97",".300",".171","3.3%","21.6%","8.5%","87.5","37.2%","25.1%","43.9%","22.4%","0.81","28.7%",NA,NA,"-1",NA,NA,"30%",2017,"52.9%","18.4%","-0%","2","73%","40%"
"",".329","97",".300",".171","3.3%","21.6%","8.5%","87.5","37.2%","25.1%","43.9%","22.4%","0.81","28.7%",NA,NA,"-43.5",NA,NA,"30%",2017,"52.9%","18.4%","-12.3%","52.4","73%","40%"
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","EV","HardH%","LD%","GB%","FB%","GB/FB","Pull%",NA,NA,"WPA",NA,NA,"RS%",2017,"Cent%","Oppo%","cWPA","RE24","SB%","XBT%"
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","EV","HardH%","LD%","GB%","FB%","GB/FB","Pull%",NA,NA,"WPA",NA,NA,"RS%",2018,"Cent%","Oppo%","cWPA","RE24","SB%","XBT%"
"Arizona Diamondbacks",".317","84",".286",".162","2.9%","23.7%","9.1%","88.5","38.2%","25.5%","43.3%","22.6%","0.79","29.4%",NA,NA,"-2.5",NA,NA,"30%",2018,"52.4%","18.2%","-2.1%","-30.1","76%","45%"
"Atlanta Braves",".330","98",".302",".161","2.8%","20.6%","8.2%","88.2","36.5%","26.0%","42.3%","23.1%","0.76","30.8%",NA,NA,"2.5",NA,NA,"31%",2018,"51.1%","18.1%","2.3%","54.7","71%","44%"
"Baltimore Orioles",".305","88",".286",".152","3.1%","23.4%","7.0%","88.7","38.9%","24.0%","44.2%","22.9%","0.81","27.4%",NA,NA,"-19.2",NA,NA,"27%",2018,"53.0%","19.7%","-1.8%","-115.5","79%","41%"
"Boston Red Sox",".350","113",".309",".185","3.3%","19.9%","9.0%","90.3","43.2%","25.2%","43.7%","23.5%","0.78","29.5%",NA,NA,"15.0",NA,NA,"34%",2018,"51.9%","18.6%","6.8%","136.0","80%","37%"
"Chicago Cubs",".330","96",".313",".152","2.6%","21.8%","9.0%","89.0","40.3%","25.4%","45.8%","20.1%","0.88","29.2%",NA,NA,"0.3",NA,NA,"30%",2018,"52.1%","18.7%","-2.6%","44.1","63%","43%"
"Chicago White Sox",".311","92",".304",".160","3.0%","26.3%","7.0%","88.6","39.4%","25.3%","44.8%","21.6%","0.83","28.1%",NA,NA,"-9.2",NA,NA,"28%",2018,"52.7%","19.3%","-2.1%","-80.4","71%","41%"
"Cincinnati Reds",".325","93",".307",".148","2.8%","22.1%","9.0%","87.3","34.3%","27.0%","40.4%","23.7%","0.71","27.6%",NA,NA,"-6.5",NA,NA,"28%",2018,"53.2%","19.2%","-1.9%","-15.0","70%","35%"
"Cleveland Indians",".339","106",".291",".176","3.4%","18.9%","8.8%","89.1","40.2%","26.3%","40.5%","24.3%","0.70","30.6%",NA,NA,"-0.9",NA,NA,"31%",2018,"52.8%","16.6%","0.7%","73.5","79%","41%"
"Colorado Rockies",".337","89",".304",".179","3.4%","22.6%","8.2%","89.2","40.4%","24.9%","45.5%","21.9%","0.87","26.9%",NA,NA,"5.9",NA,NA,"32%",2018,"53.7%","19.5%","2.8%","30.4","74%","47%"
"Detroit Tigers",".304","83",".293",".138","2.2%","22.2%","7.1%","87.8","36.5%","26.2%","42.5%","21.8%","0.76","28.5%",NA,NA,"-10.8",NA,NA,"29%",2018,"51.8%","19.7%","-3.5%","-113.6","70%","39%"
"Houston Astros",".333","107",".289",".170","3.3%","19.5%","9.2%","88.3","37.8%","24.2%","42.0%","24.4%","0.74","29.8%",NA,NA,"3.2",NA,NA,"32%",2018,"54.0%","16.1%","3.1%","74.5","73%","39%"
"Kansas City Royals",".311","89",".293",".146","2.6%","21.6%","7.0%","88.4","37.9%","25.8%","41.2%","24.3%","0.72","28.8%",NA,NA,"-14.3",NA,NA,"29%",2018,"52.8%","18.5%","-2.3%","-103.5","75%","41%"
"Los Angeles Angels",".320","98",".277",".171","3.5%","21.3%","8.4%","88.6","39.7%","25.3%","41.6%","24.2%","0.72","31.0%",NA,NA,"-0.4",NA,NA,"29%",2018,"52.8%","16.2%","-0.3%","-4.6","80%","42%"
"Los Angeles Dodgers",".344","111",".294",".191","3.7%","22.6%","10.2%","89.6","41.5%","25.2%","40.3%","25.2%","0.69","29.4%",NA,NA,"2.3",NA,NA,"30%",2018,"52.7%","17.9%","5.8%","99.8","76%","45%"
"Miami Marlins",".301","85",".293",".119","2.1%","22.8%","7.5%","87.6","35.3%","24.6%","47.3%","19.4%","0.93","25.4%",NA,NA,"-10.5",NA,NA,"27%",2018,"55.7%","18.9%","-1.7%","-91.0","59%","40%"
"Milwaukee Brewers",".335","100",".302",".172","3.5%","23.5%","8.7%","89.0","41.0%","24.5%","45.8%","21.8%","0.87","26.5%",NA,NA,"7.4",NA,NA,"30%",2018,"54.4%","19.1%","6.5%","46.7","79%","39%"
"Minnesota Twins",".317","94",".298",".155","2.7%","21.6%","8.7%","88.2","37.2%","25.2%","40.2%","25.2%","0.68","30.2%",NA,NA,"-0.6",NA,NA,"32%",2018,"52.1%","17.7%","-2.3%","-0.1","64%","46%"
