"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Year"
"Baltimore Orioles","","6240","-11","6","2","-8","-9","-22","-1.4","228","207","20.5",".499",".501","21.3","-1.2","215","$71,646,082",2006
"Boston Red Sox","","6435","-6","-5","-2","-29","-5","-47","-3.9","233","187","18.4",".497",".500","21.3","-2.9","216","$119,374,824",2006
"Chicago Cubs","","6147","-105","1","0","-12","57","-59","-7.2","181","121","10.2",".497",".499","11.5","-1.2","133","$90,391,166",2006
"Chicago White Sox","","6318","31","-16","0","-36","-7","-28","-2.0","233","205","20.3",".498",".500","23.8","-3.6","241","$102,750,667",2006
"Cincinnati Reds","","6296","-76","7","-4","-47","64","-56","-6.6","185","129","11.1",".498",".499","15.9","-4.5","176","$56,819,519",2006
"Cleveland Indians","","6303","63","1","1","-29","-2","34","3.9","230","264","26.0",".502",".503","28.8","-2.6","293","$56,031,500",2006
"Colorado Rockies","","6348","-88","-6","3","16","70","-7","-2.0","185","179","15.8",".500",".502","14.3","1.9","163","$40,232,000",2006
"Detroit Tigers","","6198","3","-3","-3","39","-5","32","3.8","229","261","25.8",".502",".503","22.1","3.8","222","$76,282,866",2006
"Florida Marlins","","6191","-6","-11","2","-27","60","19","0.4","182","201","17.9",".501",".502","20.7","-3.0","228","$14,671,500",2006
"Houston Astros","","6326","-100","-1","2","44","60","5","-0.8","187","192","17.1",".500",".501","12.9","4.3","148","$81,525,416",2006
"Kansas City Royals","","6229","-80","4","5","28","-6","-49","-4.1","230","181","17.9",".497",".499","15.3","2.6","153","$46,959,000",2006
"Los Angeles Angels of Anaheim","","6221","-50","11","2","0","-7","-44","-3.6","230","186","18.4",".498",".499","18.5","-0.2","186","$103,472,000",2006
"Los Angeles Dodgers","","6394","-5","-3","2","-27","64","31","1.8","187","219","19.8",".501",".502","22.6","-2.6","245","$98,092,187",2006
"Milwaukee Brewers","","6130","-84","-1","-4","8","64","-17","-2.8","180","163","14.4",".499",".501","13.7","1.0","155","$57,568,333",2006
"Minnesota Twins","","6228","6","3","-1","12","-6","14","2.0","229","243","24.0",".501",".503","22.9","1.1","232","$63,069,006",2006
"New York Mets","","6291","-7","13","0","34","63","104","8.7","184","288","26.3",".504",".506","23.1","3.4","254","$101,251,963",2006
"New York Yankees","","6455","105","7","4","-55","-6","55","5.9","235","290","28.5",".503",".504","33.9","-5.5","345","$186,663,079",2006
"Oakland Athletics","","6281","-14","-8","-7","2","-7","-33","-2.5","232","199","19.8",".498",".500","19.7","0.0","197","$64,843,079",2006
"Philadelphia Phillies","","6509","-9","8","4","-19","63","47","3.3","188","235","21.4",".502",".503","23.4","-2.1","254","$87,923,333",2006
"Pittsburgh Pirates","","6218","-106","5","-8","-45","59","-96","-10.7","183","88","6.9",".496",".499","11.5","-4.5","133","$46,063,750",2006
"San Diego Padres","","6287","2","7","1","44","62","117","10.1","184","301","27.7",".505",".504","23.6","4.5","257","$69,896,141",2006
"Seattle Mariners","","6213","-34","-1","6","49","-6","15","2.1","226","241","23.8",".501",".503","19.1","4.7","192","$87,959,833",2006
"San Francisco Giants","","6136","-87","-8","-4","33","65","-1","-1.4","179","178","15.8",".500",".501","12.7","3.0","146","$90,056,419",2006
"St. Louis Cardinals","","6225","-29","0","3","50","59","83","6.7","183","266","24.2",".503",".503","19.4","4.5","216","$87,356,371",2006
"Tampa Bay Devil Rays","","6041","-104","5","8","-36","-4","-132","-12.4","224","92","9.1",".492",".497","12.7","-3.5","128","$34,917,967",2006
"Texas Rangers","","6273","8","-5","-4","9","-4","3","1.0","226","230","22.7",".500",".502","21.9","0.9","221","$67,897,662",2006
"Toronto Blue Jays","","6241","61","-4","-11","59","-4","101","10.6","232","334","32.9",".506",".506","27.2","5.9","274","$71,365,000",2006
"Washington Nationals","","6283","-18","-2","5","-40","59","4","-1.0","185","188","16.8",".500",".502","20.8","-3.7","229","$54,168,000",2006
"","0","188071","-826","0","0","5","917","95","-2.7","6162","6258","588.2",".500",".501","591.0","-0.1","6252","$2,264,200,222",2006
"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary",2006
"Arizona Diamondbacks","","6101","-148","4","-4","35","60","-54","-6.6","179","126","10.5",".498",".499","7.3","3.4","90","$52,067,546",2007
"Atlanta Braves","","6374","12","-2","-2","52","60","120","10.5","187","308","28.3",".505",".505","23.5","5.3","256","$71,655,833",2007
"Baltimore Orioles","","6264","-42","-5","3","1","-5","-50","-4.4","231","182","17.6",".497",".499","17.6","0.0","180","$85,650,252",2007
"Boston Red Sox","","6426","56","2","-1","10","-6","60","6.3","238","299","29.0",".503",".504","28.1","0.8","289","$133,526,214",2007
"Chicago Cubs","","6268","-70","-9","1","31","58","11","-0.1","183","195","17.3",".500",".502","14.6","2.7","164","$99,287,332",2007
"Chicago White Sox","","6103","-114","-11","-6","-67","-6","-204","-19.6","228","24","2.2",".488",".494","8.7","-6.7","91","$108,671,833",2007
"Cincinnati Reds","","6332","-49","-3","-3","-51","61","-46","-5.8","186","140","11.9",".498",".500","17.3","-5.1","191","$68,142,480",2007
"Cleveland Indians","","6367","6","-3","4","1","-5","3","0.8","235","238","23.1",".500",".501","23.1","0.0","237","$61,289,667",2007
"Colorado Rockies","","6498","-17","7","-2","14","63","65","5.2","190","255","23.3",".503",".504","22.2","1.4","241","$53,541,000",2007
"Detroit Tigers","","6364","57","3","0","36","-4","93","9.5","235","327","31.8",".505",".506","28.3","3.5","291","$93,085,369",2007
"Florida Marlins","","6344","28","-8","2","-57","56","21","0.8","185","207","18.4",".501",".501","24.4","-5.8","264","$30,127,000",2007
"Houston Astros","","6324","-78","-15","3","-53","56","-86","-9.8","186","100","8.0",".496",".498","13.5","-5.4","154","$87,379,000",2007
"Kansas City Royals","","6140","-104","8","-1","40","-7","-64","-5.8","228","164","15.9",".496",".498","12.1","3.7","124","$66,917,500",2007
"Los Angeles Angels of Anaheim","","6198","-10","2","4","5","-6","-4","0.0","229","225","21.8",".500",".502","21.3","0.4","220","$108,868,833",2007
"Los Angeles Dodgers","","6282","-85","-4","9","-5","56","-29","-4.0","183","155","13.5",".499",".500","14.3","-0.7","160","$108,059,524",2007
"Milwaukee Brewers","","6238","-3","2","1","-14","59","45","3.2","184","229","20.7",".502",".502","22.4","-1.4","242","$65,236,500",2007
"Minnesota Twins","","6161","-46","11","2","14","-4","-23","-1.9","228","205","19.9",".499",".501","18.6","1.3","191","$70,649,500",2007
"New York Mets","","6344","5","10","9","32","59","115","10.1","183","299","27.5",".505",".505","24.7","3.0","267","$114,947,663",2007
"New York Yankees","","6528","153","10","15","-15","-4","159","15.8","239","398","38.5",".509",".509","40.0","-1.4","412","$206,659,045",2007
"Oakland Athletics","","6365","22","-2","-10","20","-5","26","3.0","237","262","25.5",".501",".502","23.6","2.0","242","$79,366,940",2007
"Philadelphia Phillies","","6537","49","12","-2","40","64","162","14.8","188","350","32.9",".507",".506","29.3","3.8","310","$88,668,213",2007
"Pittsburgh Pirates","","6214","-71","-15","-1","-22","59","-50","-6.2","183","133","11.3",".498",".499","13.9","-2.3","155","$38,537,833",2007
"San Diego Padres","","6326","-26","-1","-3","-5","59","24","1.2","185","210","19.0",".501",".501","19.9","-0.6","215","$57,726,567",2007
"Seattle Mariners","","6209","39","-7","1","-52","-7","-25","-2.0","230","205","19.9",".499",".499","25.1","-5.3","257","$105,080,833",2007
"San Francisco Giants","","6213","-159","1","1","12","56","-89","-10.1","183","94","7.4",".496",".498","6.5","0.8","82","$90,219,056",2007
"St. Louis Cardinals","","6211","-51","-4","-9","34","52","22","0.9","184","205","18.5",".501",".502","15.4","3.1","171","$89,904,823",2007
"Tampa Bay Devil Rays","","6280","25","12","3","-68","-3","-31","-2.7","233","201","19.4",".498",".501","26.2","-6.5","269","$24,123,500",2007
"Texas Rangers","","6214","-24","12","-4","-7","-8","-32","-2.7","231","199","19.2",".498",".500","20.0","-1.0","206","$67,937,675",2007
"Toronto Blue Jays","","6197","-45","-2","-6","90","-7","31","3.5","230","261","25.5",".502",".503","16.6","8.8","171","$81,061,300",2007
"Washington Nationals","","6201","-84","-4","-1","-18","51","-57","-6.8","183","127","10.7",".498",".499","12.9","-2.2","145","$30,537,500",2007
"","0","188623","-772","0","0","33","852","114","-2.8","6205","6320","588.4",".500",".501","591.2","-0.3","6285","$2,438,926,331",2007
"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary",2007
"Arizona Diamondbacks","","6156","-112","4","1","-31","57","-81","-10.3","181","100","7.1",".496",".499","10.9","-3.6","131","$66,202,712",2008
"Atlanta Braves","","6368","4","-6","1","30","53","83","6.0","188","271","24.1",".503",".503","21.8","2.6","241","$101,975,683",2008
"Baltimore Orioles","","6211","0","-17","2","-2","-3","-20","-0.3","228","209","21.6",".499",".502","21.1","0.8","211","$59,804,580",2008
"Boston Red Sox","","6402","51","-2","-2","21","-6","62","7.9","235","297","30.5",".504",".505","27.7","2.7","276","$125,390,035",2008
"Chicago Cubs","","6384","17","-3","2","-25","59","50","2.9","186","236","20.7",".502",".502","23.9","-2.9","261","$120,345,833",2008
"Chicago White Sox","","6231","5","-5","-10","-32","-4","-45","-2.9","230","184","19.2",".497",".498","21.8","-2.4","216","$120,796,832",2008
"Cincinnati Reds","","6188","-96","-9","7","-23","52","-70","-9.2","183","113","8.2",".497",".499","11.3","-2.8","136","$69,100,195",2008
"Cleveland Indians","","6299","30","4","-2","25","-6","52","6.8","232","283","29.0",".503",".504","25.8","3.2","258","$78,970,066",2008
"Colorado Rockies","","6312","-80","19","-2","-32","59","-37","-5.8","185","149","11.9",".498",".500","15.9","-3.5","181","$68,655,500",2008
"Detroit Tigers","","6331","37","-5","-4","-56","-6","-34","-1.7","233","199","20.7",".498",".500","25.6","-5.0","255","$136,343,696",2008
"Florida Marlins","","6206","-35","1","1","10","53","31","0.9","182","212","18.4",".501",".502","18.0","0.3","202","$19,441,500",2008
"Houston Astros","","6051","-47","-9","4","13","54","15","-0.6","178","193","16.5",".501",".501","16.0","0.8","180","$87,556,807",2008
"Kansas City Royals","","6118","-74","-4","-2","-71","-4","-155","-14.0","227","72","7.9",".491",".493","14.3","-6.5","143","$58,970,500",2008
"Los Angeles Angels of Anaheim","","6155","-48","4","-3","9","-6","-44","-2.9","229","185","19.1",".497",".499","17.5","1.6","176","$109,716,333",2008
"Los Angeles Dodgers","","6194","-54","9","-3","-12","61","1","-2.1","182","183","15.2",".500",".500","17.2","-1.5","195","$102,578,135",2008
"Milwaukee Brewers","","6252","-2","2","4","38","61","103","8.4","184","286","26.1",".505",".504","23.0","3.6","248","$76,687,499",2008
"Minnesota Twins","","6331","13","3","0","-30","-5","-19","-0.3","233","215","22.1",".499",".500","24.5","-2.3","244","$56,932,766",2008
"New York Mets","","6388","7","11","3","16","58","95","7.4","184","279","25.1",".504",".504","24.2","1.0","263","$129,984,376",2008
"New York Yankees","","6257","9","7","0","-39","-6","-29","-1.3","230","201","20.8",".498",".500","24.1","-3.2","240","$211,496,041",2008
"Oakland Athletics","","6138","-90","5","-1","43","-8","-51","-3.4","228","178","18.6",".497",".500","13.5","4.9","135","$47,967,126",2008
"Philadelphia Phillies","","6273","-19","16","3","74","57","131","11.1","183","314","28.5",".506",".505","21.8","6.9","240","$94,302,380",2008
"Pittsburgh Pirates","","6278","-59","2","0","-17","57","-17","-3.9","185","168","13.7",".499",".500","16.2","-2.0","185","$48,286,283",2008
"San Diego Padres","","6244","-19","-5","0","-2","52","26","0.5","185","211","18.2",".501",".502","19.1","-0.6","213","$72,286,416",2008
"Seattle Mariners","","6176","-68","-5","0","16","-4","-62","-4.7","226","164","17.0",".496",".500","14.7","2.4","148","$117,276,482",2008
"San Francisco Giants","","6145","-136","-13","2","-20","53","-114","-13.7","181","68","3.7",".495",".498","6.4","-2.7","88","$74,094,500",2008
"St. Louis Cardinals","","6370","47","-3","-3","61","57","159","13.8","187","346","31.7",".507",".507","26.3","5.6","285","$91,476,449",2008
"Tampa Bay Rays","","6312","20","1","5","23","-8","41","5.8","230","272","27.9",".502",".503","24.9","2.7","248","$44,569,897",2008
"Texas Rangers","","6478","115","9","2","-44","-7","75","9.2","235","311","31.8",".504",".504","35.5","-3.9","354","$67,316,996",2008
"Toronto Blue Jays","","6191","-28","-1","-7","40","-7","-3","1.4","230","227","23.5",".500",".502","18.8","4.7","186","$97,390,000",2008
"Washington Nationals","","6192","-103","-10","0","-6","48","-71","-9.4","183","112","8.2",".497",".499","9.5","-1.3","118","$54,511,000",2008
"","0","187631","-716","0","0","-23","811","70","-4.3","6164","6236","586.7",".500",".501","591.3","-0.5","6256","$2,610,426,618",2008
"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary",2008
"Arizona Diamondbacks","","6269","-80","3","7","4","56","-9","-2.1","184","174","15.9",".500",".501","15.4","0.7","170","$75,920,666",2009
"Atlanta Braves","","6335","-22","-10","-3","-11","60","14","0.2","185","199","18.3",".501",".501","19.4","-0.8","210","$97,788,166",2009
"Baltimore Orioles","","6233","-49","-18","2","-20","-4","-90","-8.2","229","139","13.5",".495",".497","15.6","-1.9","159","$69,504,166",2009
"Boston Red Sox","","6344","62","3","-4","-18","-4","39","4.6","233","272","26.6",".502",".504","28.5","-1.6","290","$125,009,499",2009
"Chicago Cubs","","6244","-81","-11","-5","-23","58","-62","-7.6","182","120","10.3",".497",".498","12.6","-2.2","143","$139,652,000",2009
"Chicago White Sox","","6132","-92","-6","-2","-25","-7","-132","-12.3","228","96","9.3",".492",".496","11.9","-2.6","121","$100,081,000",2009
"Cincinnati Reds","","6187","-105","-4","3","20","56","-29","-4.1","182","153","13.6",".499",".500","11.4","2.3","133","$78,159,000",2009
"Cleveland Indians","","6320","37","0","-2","-22","-5","8","1.5","231","239","23.4",".500",".502","25.8","-2.2","261","$75,224,866",2009
"Colorado Rockies","","6241","-33","0","-2","7","58","29","2.0","183","213","20.0",".501",".502","19.1","0.8","206","$72,835,200",2009
"Detroit Tigers","","6234","-48","-5","1","33","-12","-32","-2.5","231","199","19.4",".498",".501","16.3","2.8","166","$119,510,145",2009
"Florida Marlins","","6312","-19","2","7","-53","53","-10","-2.2","186","176","16.0",".499",".500","21.4","-5.5","229","$38,879,000",2009
"Houston Astros","","6040","-81","4","-5","-1","55","-29","-4.1","178","149","13.4",".499",".501","13.4","0.1","150","$105,804,414",2009
"Kansas City Royals","","6103","-71","-7","-3","-105","-6","-191","-18.1","227","36","3.4",".489",".494","13.8","-10.4","141","$76,006,333",2009
"Los Angeles Angels of Anaheim","","6305","72","9","0","71","-5","147","15.3","232","379","37.3",".509",".508","30.4","7.1","308","$118,169,000",2009
"Los Angeles Dodgers","","6385","41","2","0","14","60","117","11.0","187","304","29.4",".505",".505","27.9","1.8","290","$101,711,592",2009
"Milwaukee Brewers","","6296","26","-6","0","2","58","80","7.1","183","264","25.1",".504",".504","24.7","0.5","262","$81,384,502",2009
"Minnesota Twins","","6346","32","8","1","-45","-4","-9","-0.3","233","224","21.8",".499",".501","26.4","-4.4","269","$66,914,266",2009
"New York Mets","","6159","-36","5","0","-2","52","19","1.0","181","201","18.9",".501",".501","18.9","-0.2","203","$151,192,237",2009
"New York Yankees","","6449","125","7","4","-24","-5","106","11.2","236","341","33.5",".506",".507","36.0","-2.5","365","$206,330,039",2009
"Oakland Athletics","","6247","-58","7","-3","-30","-9","-93","-8.4","231","138","13.5",".495",".498","16.6","-3.2","168","$61,635,000",2009
"Philadelphia Phillies","","6338","28","5","5","17","61","117","10.8","183","299","28.7",".505",".505","26.9","2.0","282","$114,679,046",2009
"Pittsburgh Pirates","","6058","-100","-2","5","26","58","-13","-2.4","176","163","14.8",".499",".500","12.0","3.1","137","$51,112,500",2009
"San Diego Padres","","6179","-44","-5","-5","-14","51","-17","-2.9","183","166","15.1",".499",".501","16.4","-1.2","180","$49,722,800",2009
"Seattle Mariners","","6113","-73","-8","0","76","-6","-11","-0.3","225","215","21.0",".499",".502","13.5","7.6","139","$98,919,166",2009
"San Francisco Giants","","6057","-150","7","0","9","57","-77","-9.1","178","101","8.3",".496",".499","7.3","1.1","92","$79,483,950",2009
"St. Louis Cardinals","","6168","-17","7","0","23","61","74","6.5","180","255","24.2",".503",".504","21.6","2.8","232","$90,128,409",2009
"Tampa Bay Rays","","6223","43","12","0","44","-5","94","10.0","231","326","31.9",".505",".507","27.6","4.4","281","$65,663,434",2009
"Texas Rangers","","6127","-42","4","4","5","-4","-32","-2.4","227","195","19.0",".498",".500","18.6","0.6","190","$69,170,548",2009
"Toronto Blue Jays","","6362","15","7","-3","59","-4","74","8.1","231","305","29.9",".504",".504","24.2","6.0","246","$82,733,700",2009
"Washington Nationals","","6273","-30","-11","0","-52","52","-40","-5.2","185","144","12.9",".498",".500","18.0","-5.2","197","$58,553,000",2009
"","0","187079","-750","1","0","-35","828","42","-2.8","6141","6184","588.4",".500",".501","591.5","0.0","6218","$2,721,877,644",2009
"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary",2009
"Arizona Diamondbacks","","6183","-51","-14","-4","25","55","9","-0.4","181","191","17.2",".500",".501","14.8","2.6","166","$52,868,166",2010
"Atlanta Braves","","6252","17","-1","-4","11","56","78","6.9","181","260","24.4",".503",".503","23.5","1.1","248","$84,021,166",2010
"Baltimore Orioles","","6109","-64","-7","-3","-27","-4","-105","-10.1","226","121","12.0",".493",".497","14.6","-2.5","148","$81,612,500",2010
"Boston Red Sox","","6356","60","5","-4","27","-5","83","9.6","233","317","32.3",".505",".505","29.3","3.1","289","$161,347,333",2010
"Chicago Cubs","","6140","-71","-3","0","-41","55","-60","-7.7","180","120","9.7",".497",".499","14.3","-4.5","161","$146,184,001",2010
"Chicago White Sox","","6118","13","-3","-3","-62","-6","-61","-5.3","226","166","16.7",".496",".498","23.0","-6.3","227","$107,195,000",2010
"Cincinnati Reds","","6285","53","-2","0","32","58","142","13.6","183","325","31.3",".506",".505","28.1","3.4","293","$71,455,542",2010
"Cleveland Indians","","6165","-23","-4","2","-18","-6","-49","-4.1","228","179","18.1",".497",".499","19.7","-1.7","197","$60,778,966",2010
"Colorado Rockies","","6265","-69","9","1","30","54","25","1.2","183","208","19.0",".501",".502","16.1","3.0","179","$84,674,000",2010
"Detroit Tigers","","6312","18","-1","2","22","-7","34","4.6","234","267","27.3",".502",".503","24.8","2.5","246","$119,439,928",2010
"Florida Marlins","","6194","-64","8","0","-22","54","-23","-3.9","181","158","13.6",".499",".500","16.2","-2.3","180","$57,454,719",2010
"Houston Astros","","6005","-135","1","-4","-28","52","-115","-13.3","177","63","3.7",".495",".498","6.9","-3.0","90","$92,400,500",2010
"Kansas City Royals","","6209","-4","-10","-4","-102","-5","-126","-12.0","230","104","10.4",".492",".495","20.8","-10.4","206","$71,405,210",2010
"Los Angeles Angels of Anaheim","","6089","-41","-4","2","-16","-6","-65","-5.8","226","162","16.3",".496",".498","17.8","-1.6","178","$104,163,866",2010
"Los Angeles Dodgers","","6140","-50","-2","-4","-61","56","-61","-7.8","180","119","9.7",".497",".499","16.3","-6.5","180","$94,953,516",2010
"Milwaukee Brewers","","6304","36","-5","3","8","57","99","9.1","182","281","26.6",".505",".503","26.0","1.1","273","$80,708,278",2010
"Minnesota Twins","","6257","62","-5","-7","-16","-5","30","4.0","230","260","26.4",".502",".501","27.9","-1.3","275","$85,409,166",2010
"New York Mets","","6144","-81","6","3","26","55","8","-0.4","180","188","16.9",".500",".502","14.4","2.7","162","$132,753,942",2010
"New York Yankees","","6379","64","3","7","44","-7","110","12.6","232","343","35.2",".507",".508","30.4","4.8","299","$206,733,389",2010
"Oakland Athletics","","6117","-43","15","2","57","-8","23","3.4","228","251","25.6",".501",".503","19.4","6.1","194","$52,932,400",2010
"Philadelphia Phillies","","6291","-11","13","5","-6","60","61","5.0","181","241","22.4",".503",".503","23.3","-0.5","247","$141,928,379",2010
"Pittsburgh Pirates","","5974","-113","-11","0","-80","50","-155","-17.8","176","22","-0.8",".493",".497","7.9","-8.6","101","$35,033,000",2010
"San Diego Padres","","6148","-51","-9","9","64","52","64","5.6","181","245","23.0",".503",".503","16.5","6.5","181","$37,799,300",2010
"Seattle Mariners","","5989","-143","4","4","11","-5","-129","-12.7","221","92","8.9",".491",".496","7.6","1.4","81","$84,593,500",2010
"San Francisco Giants","","6143","-17","1","-10","30","55","59","4.9","180","239","22.3",".503",".503","19.4","2.9","209","$98,186,333",2010
"St. Louis Cardinals","","6241","0","3","-1","32","57","90","8.1","182","272","25.7",".504",".505","22.5","3.3","240","$93,540,751",2010
"Tampa Bay Rays","","6270","44","18","9","53","-6","119","13.5","232","351","36.2",".507",".507","30.4","5.9","298","$70,123,471",2010
"Texas Rangers","","6302","-17","13","5","-8","-5","-13","-0.6","230","217","21.8",".499",".502","22.5","-0.6","225","$55,668,644",2010
"Toronto Blue Jays","","6072","23","-9","-3","-1","-3","7","1.6","226","233","23.6",".500",".501","23.6","0.3","234","$60,919,100",2010
"Washington Nationals","","6100","-68","-8","-1","-3","46","-35","-5.0","180","146","12.4",".498",".500","13.0","-1.0","149","$63,900,000",2010
"","0","185553","-726","0","0","-19","793","47","-3.0","6089","6140","587.7",".500",".501","590.7","0.0","6156","$2,690,184,066",2010
"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary",2010
"Arizona Diamondbacks","","6096","-24","2","5","44","54","80","8.2","179","259","25.9",".504",".504","20.5","5.7","215","$53,639,833",2011
"Atlanta Braves","","6169","-77","-10","0","3","53","-31","-4.0","179","148","13.6",".498",".500","12.7","1.1","145","$87,188,132",2011
"Baltimore Orioles","","6156","-30","8","-14","-3","-4","-44","-4.3","227","183","17.4",".497",".500","18.4","-0.8","187","$84,604,038",2011
"Boston Red Sox","","6414","118","-6","-3","31","-5","133","14.1","233","367","36.3",".508",".509","33.8","2.7","335","$166,662,475",2011
"Chicago Cubs","","6130","-36","-5","-1","-29","47","-25","-3.3","179","155","14.4",".499",".500","17.0","-2.8","184","$125,047,329",2011
"Chicago White Sox","","6159","-89","-6","-3","-7","-7","-112","-11.6","227","116","10.2",".493",".494","11.6","-1.5","123","$127,789,000",2011
"Cincinnati Reds","","6329","-8","-5","2","42","50","80","8.1","185","265","26.4",".504",".503","21.2","5.5","223","$76,547,134",2011
"Cleveland Indians","","6142","-7","-5","0","-20","-7","-39","-3.9","227","188","17.9",".497",".500","20.7","-2.8","209","$48,776,566",2011
"Colorado Rockies","","6275","-87","-1","1","17","52","-18","-2.7","184","166","15.4",".499",".501","13.0","2.5","149","$88,148,071",2011
"Detroit Tigers","","6231","67","-10","-4","12","-9","56","6.0","231","288","28.2",".503",".505","27.6","0.3","275","$105,475,231",2011
"Florida Marlins","","6232","-55","-2","1","-71","51","-77","-8.9","183","106","9.2",".496",".499","16.3","-7.0","177","$57,694,000",2011
"Houston Astros","","6150","-81","2","2","17","48","-12","-1.9","180","169","15.9",".499",".501","13.4","2.5","152","$69,524,500",2011
"Kansas City Royals","","6267","30","-3","-1","17","-4","38","4.3","229","267","26.2",".502",".503","25.1","1.4","250","$31,962,000",2011
"Los Angeles Angels of Anaheim","","6088","20","11","-3","26","-5","48","5.3","227","276","27.1",".503",".504","25.0","2.1","250","$135,154,166",2011
"Los Angeles Dodgers","","6094","-45","4","5","-2","52","14","0.8","179","193","18.5",".501",".502","18.1","0.6","195","$103,785,477",2011
"Milwaukee Brewers","","6113","14","0","0","7","53","75","7.3","179","254","25.2",".503",".503","23.9","1.6","247","$85,022,333",2011
"Minnesota Twins","","6020","-114","4","2","-54","-7","-170","-17.6","224","55","3.9",".489",".494","10.1","-6.4","108","$112,737,000",2011
"New York Mets","","6335","23","3","1","-62","49","14","0.9","185","199","19.1",".501",".501","25.3","-6.1","261","$100,252,602",2011
"New York Yankees","","6306","71","3","-7","15","-6","75","8.1","230","305","30.1",".504",".505","29.2","0.8","291","$194,104,628",2011
"Oakland Athletics","","6104","-81","0","-2","-23","-5","-111","-11.4","227","116","10.3",".493",".497","13.4","-2.9","139","$67,094,000",2011
"Philadelphia Phillies","","6279","-26","6","11","-45","58","4","-0.2","181","186","17.6",".500",".500","22.0","-3.9","231","$172,148,379",2011
"Pittsburgh Pirates","","6064","-71","-14","-1","-34","49","-71","-8.4","178","107","9.1",".497",".499","12.3","-3.2","141","$44,180,000",2011
"San Diego Padres","","6074","-102","10","2","25","46","-19","-2.6","179","160","15.1",".499",".500","11.7","3.4","135","$45,040,240",2011
"Seattle Mariners","","5972","-110","-2","6","14","-4","-96","-9.9","221","125","11.4",".494",".497","10.5","0.9","111","$81,196,100",2011
"San Francisco Giants","","6091","-60","-4","1","7","50","-5","-1.2","179","174","16.5",".500",".500","15.1","1.3","166","$118,198,333",2011
"St. Louis Cardinals","","6242","76","-5","-11","-21","52","91","9.3","183","273","27.3",".504",".504","29.1","-1.7","295","$98,746,072",2011
"Tampa Bay Rays","","6152","45","1","7","65","-4","114","12.1","227","341","33.9",".507",".507","27.7","6.3","276","$41,053,571",2011
"Texas Rangers","","6261","85","15","1","16","-5","112","11.9","228","341","33.7",".507",".506","32.7","1.1","325","$90,384,264",2011
"Toronto Blue Jays","","6210","-30","7","1","-9","-4","-35","-3.7","229","194","18.3",".498",".500","19.8","-1.5","203","$62,117,800",2011
"Washington Nationals","","6090","-77","4","3","6","47","-17","-2.6","179","161","15.2",".499",".501","14.0","1.1","155","$66,192,928",2011
"","0","185245","-663","1","-1","-16","735","56","-2.0","6080","6137","589.1",".500",".501","591.0","0.4","6152","$2,740,466,202",2011
"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary",2011
"Arizona Diamondbacks","","6150","-21","-13","0","9","62","37","4.1","179","216","21.6",".502",".503","19.4","2.5","207","$67,069,833",2012
"Atlanta Braves","","6126","-78","11","4","73","59","69","7.7","177","246","24.9",".503",".505","15.7","9.5","173","$85,728,000",2012
"Baltimore Orioles","","6160","-33","-2","-8","-12","-4","-59","-6.7","227","168","15.4",".496",".500","18.0","-2.4","180","$77,149,000",2012
"Boston Red Sox","","6166","-40","1","3","51","-5","10","0.6","229","239","22.9",".501",".502","18.9","4.1","189","$89,136,000",2012
"Chicago Cubs","","5967","-113","5","-2","0","50","-60","-6.2","176","116","10.9",".497",".500","9.7","1.2","116","$79,937,700",2012
"Chicago White Sox","","6111","-11","3","-2","8","-7","-9","-1.4","227","218","20.7",".499",".500","21.3","-0.7","210","$118,208,000",2012
"Cincinnati Reds","","6115","-62","-3","4","18","62","20","2.2","178","197","19.5",".501",".502","16.3","3.5","179","$70,579,500",2012
"Cleveland Indians","","6195","4","-5","0","-34","-5","-41","-4.8","229","189","17.6",".497",".500","22.6","-4.9","223","$70,672,800",2012
"Colorado Rockies","","6183","-55","3","1","-91","53","-89","-9.4","182","92","8.4",".496",".498","16.8","-8.3","184","$75,005,000",2012
"Detroit Tigers","","6119","12","-11","-8","-30","-7","-44","-5.4","227","183","16.7",".497",".501","21.3","-4.7","213","$118,394,000",2012
"Houston Astros","","6014","-124","-5","0","-57","49","-137","-14.5","177","41","2.8",".494",".497","7.6","-4.9","98","$37,160,500",2012
