"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Year"
"Boston Red Sox","","6530","145","5","1","-23","-5","123","12.4","239","362","34.9",".507",".507","37.2","-2.2","385","$99,646,500",2003
"Chicago Cubs","","6187","-64","-8","-5","-25","61","-41","-5.6","181","140","12.0",".498",".499","14.9","-2.5","165","$79,258,333",2003
"Chicago White Sox","","6148","8","-6","-7","21","-6","9","1.4","229","239","23.0",".500",".502","21.0","2.0","218","$51,010,000",2003
"Cincinnati Reds","","6211","-81","10","-2","5","54","-15","-3.1","183","168","14.7",".499",".501","14.4","0.5","163","$58,965,667",2003
"Cleveland Indians","","6188","-52","-8","-1","27","-4","-38","-3.2","230","192","18.5",".498",".499","16.0","2.8","165","$39,984,834",2003
"Colorado Rockies","","6283","-43","10","-2","10","58","34","1.8","184","217","19.8",".501",".503","19.0","0.9","207","$67,179,667",2003
"Detroit Tigers","","6071","-130","-7","1","-30","-5","-171","-16.3","227","56","5.1",".490",".495","8.1","-2.8","86","$49,168,000",2003
"Florida Marlins","","6186","-24","1","-1","-16","62","22","0.7","178","200","18.1",".501",".502","20.0","-1.5","216","$49,150,000",2003
"Houston Astros","","6320","-24","2","2","64","57","100","8.6","183","283","26.6",".504",".505","20.3","6.7","219","$70,730,000",2003
"Kansas City Royals","","6239","-30","9","0","-50","-5","-76","-7.0","233","157","15.0",".495",".499","19.9","-4.8","207","$40,518,000",2003
"Los Angeles Dodgers","","6036","-159","-7","3","60","55","-49","-6.4","177","128","10.9",".498",".500","4.9","5.9","68","$105,572,620",2003
"Milwaukee Brewers","","6270","-32","-13","-11","-75","62","-70","-8.6","182","112","9.1",".497",".499","17.0","-7.6","187","$40,322,000",2003
"Minnesota Twins","","6324","19","3","7","-4","-6","19","2.5","235","254","24.7",".501",".501","25.0","-0.5","258","$55,505,000",2003
"Montreal Expos","","6116","-125","-1","-2","-6","57","-78","-9.5","179","102","8.0",".496",".499","8.9","-0.9","107","$47,848,500",2003
"New York Mets","","6007","-137","1","-4","-42","49","-132","-14.9","177","46","2.4",".494",".497","6.9","-4.7","87","$116,876,429",2003
"New York Yankees","","6431","135","0","-1","-43","-5","86","8.9","236","323","31.2",".505",".505","35.4","-4.1","366","$147,199,814",2003
